captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,candidates.2.candidateID,candidates.2.voteCount,candidates.2.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.1.colorIndex,candidates.0.winner,candidates.0.calledAt
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108AL1374,live,0.0,AL,Alabama,1,1,2022-11-09T01:00:00.000Z,state,0,2022-11-07T20:23:29.512Z,0,356,0.0,5826,0,0.0,6058,0,0.0,6256,0,0.0,206634,99,0,1127067,0,0,,,,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,20221108AL1374,live,0.15,AL,Alabama,1,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:36:57.576Z,0,356,0.0,6058,197,62.94,5826,111,35.46,6256,5,1.6,206634,99,313,1127067,0,1,0.0,,,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,20221108AL1374,live,0.16,AL,Alabama,1,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:43:04.312Z,0,356,0.0,6058,205,62.12,5826,120,36.36,6256,5,1.52,206634,99,330,1127067,0,1,0.0,1.0,,
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,20221108AL1374,live,0.74,AL,Alabama,1,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:53:43.168Z,3,356,0.84,5826,1148,75.13,6058,361,23.63,6256,19,1.24,206634,99,1528,1127067,3,3,1.0,0.0,,
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,20221108AL1374,live,1.0,AL,Alabama,1,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:56:18.229Z,4,356,1.12,5826,1644,79.46,6058,402,19.43,6256,23,1.11,206634,99,2069,1127067,4,4,1.0,0.0,,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,20221108AL1374,live,2.76,AL,Alabama,1,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:02:03.198Z,15,356,4.21,5826,4145,72.62,6058,1483,25.98,6256,80,1.4,206634,99,5708,1127067,15,10,1.0,0.0,,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,20221108AL1374,live,9.06,AL,Alabama,1,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:06:42.830Z,32,356,8.99,5826,14264,76.17,6058,4115,21.97,6256,348,1.86,206634,99,18727,1127067,32,32,1.0,0.0,,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,20221108AL1374,live,10.26,AL,Alabama,1,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:09:13.864Z,36,356,10.11,5826,16319,76.97,6058,4486,21.16,6256,397,1.87,206634,99,21202,1127067,36,37,1.0,0.0,,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,20221108AL1374,live,12.94,AL,Alabama,1,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:13:46.377Z,46,356,12.92,5826,20199,75.57,6058,6040,22.6,6256,491,1.84,206634,99,26730,1127067,46,46,1.0,,,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,20221108AL1374,live,13.05,AL,Alabama,1,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:21:02.358Z,48,356,13.48,5826,20359,75.47,6058,6122,22.7,6256,494,1.83,206634,99,26975,1127067,48,46,1.0,,X,2022-11-09T02:20:56.493Z
