captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.4781.first,candidates.4781.last,candidates.4781.incumbent,candidates.4781.party,candidates.4781.candidateID,candidates.4781.ballotOrder,candidates.4781.polID,candidates.4781.polNum,candidates.4781.electWon,candidates.6261.first,candidates.6261.last,candidates.6261.party,candidates.6261.candidateID,candidates.6261.ballotOrder,candidates.6261.polID,candidates.6261.polNum,candidates.6261.electWon,candidates.4781.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,AL-20221108_Eday80,1,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 6,6,227230,99,0,570194,True,20221108AL1377,2022-11-08,AL,4781,Gary,Palmer,True,GOP,4781,1,63532,3315,0,Andria,Chieffo,Lib,6261,2,71676,4191,0,
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,AL-20221108_Eday80,1,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,227230,99,135,570194,True,20221108AL1377,2022-11-08,AL,4781,Gary,Palmer,True,GOP,4781,1,63532,3315,0,Andria,Chieffo,Lib,6261,2,71676,4191,0,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,AL-20221108_Eday80,1,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,227230,99,3206,570194,True,20221108AL1377,2022-11-08,AL,4781,Gary,Palmer,True,GOP,4781,1,63532,3315,0,Andria,Chieffo,Lib,6261,2,71676,4191,0,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,AL-20221108_Eday80,1,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,227230,99,7054,570194,True,20221108AL1377,2022-11-08,AL,4781,Gary,Palmer,True,GOP,4781,1,63532,3315,0,Andria,Chieffo,Lib,6261,2,71676,4191,0,
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,227230,99,13743,570194,True,20221108AL1377,2022-11-08,AL,4781,Gary,Palmer,True,GOP,4781,1,63532,3315,0,Andria,Chieffo,Lib,6261,2,71676,4191,0,2022-11-09T02:39:36.239Z
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,227230,99,34363,570194,True,20221108AL1377,2022-11-08,AL,4781,Gary,Palmer,True,GOP,4781,1,63532,3315,0,Andria,Chieffo,Lib,6261,2,71676,4191,0,2022-11-09T02:39:36.239Z
1667965148,2022-11-09 03:39:08 +0000,6fdfe90630de6ba7d3077daaa37563b39e419cfc,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,226339,99,44717,570194,True,20221108AL1377,2022-11-08,AL,4781,Gary,Palmer,True,GOP,4781,1,63532,3315,0,Andria,Chieffo,Lib,6261,2,71676,4191,0,2022-11-09T02:39:36.239Z
1667966001,2022-11-09 03:53:21 +0000,cee0a612753351ddb30fde2a157613da20f2be01,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,226339,99,73009,570194,True,20221108AL1377,2022-11-08,AL,4781,Gary,Palmer,True,GOP,4781,1,63532,3315,0,Andria,Chieffo,Lib,6261,2,71676,4191,0,2022-11-09T02:39:36.239Z
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,226339,99,78245,570194,True,20221108AL1377,2022-11-08,AL,4781,Gary,Palmer,True,GOP,4781,1,63532,3315,0,Andria,Chieffo,Lib,6261,2,71676,4191,0,2022-11-09T02:39:36.239Z
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,AL-20221108_Eday80,1,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,226339,99,108392,570194,True,20221108AL1377,2022-11-08,AL,4781,Gary,Palmer,True,GOP,4781,1,63532,3315,0,Andria,Chieffo,Lib,6261,2,71676,4191,0,2022-11-09T02:39:36.239Z
