captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,candidates.2.candidateID,candidates.2.voteCount,candidates.2.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.1.colorIndex,candidates.2.colorIndex,candidates.0.winner,candidates.0.calledAt
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108AR5107,live,0.0,AR,Arkansas,4,1,2022-11-09T01:30:00.000Z,state,0,2022-11-07T22:52:30.616Z,0,898,0.0,12191,0,0.0,14277,0,0.0,13970,0,0.0,212226,99,0,969438,0,0,,,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108AR5107,live,0.0,AR,Arkansas,4,1,2022-11-09T01:30:00.000Z,state,0,2022-11-08T20:50:13.710Z,0,898,0.0,12191,0,0.0,14277,0,0.0,13970,0,0.0,212226,99,0,969438,0,0,,,,,
1667949842,2022-11-08 23:24:02 +0000,e733c733b3b3c33f13905f9501db69cb94a55a64,20221108AR5107,live,0.0,AR,Arkansas,4,1,2022-11-09T01:30:00.000Z,state,0,2022-11-08T23:15:13.825Z,0,898,0.0,12191,0,0.0,14277,0,0.0,13970,0,0.0,212226,99,0,969438,0,0,,,,,
1667954884,2022-11-09 00:48:04 +0000,8f544a76833fbb21dc3fbc0ce7b73e3714be8529,20221108AR5107,live,0.0,AR,Arkansas,4,1,2022-11-09T01:30:00.000Z,state,0,2022-11-09T00:42:37.495Z,0,898,0.0,12191,0,0.0,14277,0,0.0,13970,0,0.0,212226,99,0,969438,0,0,,,,,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,20221108AR5107,live,0.0,AR,Arkansas,4,1,2022-11-09T01:30:00.000Z,state,0,2022-11-09T01:31:46.819Z,0,898,0.0,12191,0,0.0,14277,0,0.0,13970,0,0.0,212226,99,0,969438,0,0,,,,,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,20221108AR5107,live,1.04,AR,Arkansas,4,1,2022-11-09T01:30:00.000Z,state,0,2022-11-09T01:40:17.801Z,0,898,0.0,12191,1591,71.83,13970,579,26.14,14277,45,2.03,212226,99,2215,969438,0,9,0.0,,,,
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,20221108AR5107,live,2.5,AR,Arkansas,4,1,2022-11-09T01:30:00.000Z,state,0,2022-11-09T01:47:04.117Z,0,898,0.0,12191,3951,74.34,13970,1274,23.97,14277,90,1.69,212226,99,5315,969438,0,22,0.0,,,,
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,20221108AR5107,live,2.5,AR,Arkansas,4,1,2022-11-09T01:30:00.000Z,state,0,2022-11-09T01:53:35.440Z,0,898,0.0,12191,3951,74.34,13970,1274,23.97,14277,90,1.69,212226,99,5315,969438,0,22,0.0,,,,
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,20221108AR5107,live,8.37,AR,Arkansas,4,1,2022-11-09T01:30:00.000Z,state,0,2022-11-09T01:56:53.816Z,2,898,0.22,12191,11072,62.32,13970,6338,35.67,14277,356,2.0,212226,99,17766,969438,2,75,0.0,1.0,,,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,20221108AR5107,live,8.37,AR,Arkansas,4,1,2022-11-09T01:30:00.000Z,state,0,2022-11-09T01:57:33.886Z,2,898,0.22,12191,11072,62.32,13970,6338,35.67,14277,356,2.0,212226,99,17766,969438,2,75,0.0,1.0,,,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,20221108AR5107,live,11.55,AR,Arkansas,4,1,2022-11-09T01:30:00.000Z,state,0,2022-11-09T02:05:49.302Z,2,898,0.22,12191,16594,67.68,13970,7392,30.15,14277,534,2.18,212226,99,24520,969438,2,104,0.0,1.0,,,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,20221108AR5107,live,11.55,AR,Arkansas,4,1,2022-11-09T01:30:00.000Z,state,0,2022-11-09T02:10:44.847Z,2,898,0.22,12191,16594,67.68,13970,7392,30.15,14277,534,2.18,212226,99,24520,969438,2,104,0.0,1.0,,,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,20221108AR5107,live,11.55,AR,Arkansas,4,1,2022-11-09T01:30:00.000Z,state,0,2022-11-09T02:15:14.947Z,2,898,0.22,12191,16594,67.68,13970,7392,30.15,14277,534,2.18,212226,99,24520,969438,2,104,0.0,1.0,,,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,20221108AR5107,live,23.87,AR,Arkansas,4,1,2022-11-09T01:30:00.000Z,state,0,2022-11-09T02:20:08.696Z,2,898,0.22,12191,35100,69.27,13970,14206,28.04,14277,1362,2.69,212226,99,50668,969438,2,214,0.0,1.0,,,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,20221108AR5107,live,25.39,AR,Arkansas,4,1,2022-11-09T01:30:00.000Z,state,0,2022-11-09T02:24:18.967Z,2,898,0.22,12191,36970,68.61,13970,15469,28.71,14277,1449,2.69,212226,99,53888,969438,2,228,0.0,1.0,,,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,20221108AR5107,live,32.31,AR,Arkansas,4,1,2022-11-09T01:30:00.000Z,state,0,2022-11-09T02:35:24.431Z,6,898,0.67,12191,47848,69.78,13970,18830,27.46,14277,1887,2.75,212226,99,68565,969438,6,290,0.0,1.0,,,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,20221108AR5107,live,32.31,AR,Arkansas,4,1,2022-11-09T01:30:00.000Z,state,0,2022-11-09T02:36:43.971Z,6,898,0.67,12191,47848,69.78,13970,18830,27.46,14277,1887,2.75,212226,99,68565,969438,6,290,0.0,1.0,,,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,20221108AR5107,live,32.45,AR,Arkansas,4,1,2022-11-09T01:30:00.000Z,state,0,2022-11-09T02:44:00.991Z,56,898,6.24,12191,48062,69.79,13970,18912,27.46,14277,1892,2.75,212226,99,68866,969438,56,291,0.0,1.0,,,
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,20221108AR5107,live,34.66,AR,Arkansas,4,1,2022-11-09T01:30:00.000Z,state,0,2022-11-09T02:48:32.737Z,66,898,7.35,12191,51633,70.19,13970,19908,27.06,14277,2024,2.75,212226,99,73565,969438,66,311,0.0,1.0,,,
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,20221108AR5107,live,35.49,AR,Arkansas,4,1,2022-11-09T01:30:00.000Z,state,0,2022-11-09T02:54:37.465Z,66,898,7.35,12191,53016,70.39,13970,20241,26.87,14277,2060,2.74,212226,99,75317,969438,66,319,0.0,1.0,,,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,20221108AR5107,live,37.8,AR,Arkansas,4,1,2022-11-09T01:30:00.000Z,state,0,2022-11-09T02:55:21.475Z,46,898,5.12,12191,56438,70.35,13970,21486,26.78,14277,2304,2.87,212226,99,80228,969438,46,339,0.0,1.0,,,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,20221108AR5107,live,41.36,AR,Arkansas,4,1,2022-11-09T01:30:00.000Z,state,0,2022-11-09T03:00:35.256Z,46,898,5.12,12191,58850,67.04,13970,26449,30.13,14277,2483,2.83,212226,99,87782,969438,46,371,0.0,1.0,,,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,20221108AR5107,live,48.72,AR,Arkansas,4,1,2022-11-09T01:30:00.000Z,state,0,2022-11-09T03:08:06.866Z,124,898,13.81,12191,69446,67.16,13970,31059,30.04,14277,2900,2.8,212226,99,103405,969438,124,438,0.0,1.0,,,
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,20221108AR5107,live,50.05,AR,Arkansas,4,1,2022-11-09T01:30:00.000Z,state,0,2022-11-09T03:11:43.535Z,145,898,16.15,12191,71317,67.14,13970,31925,30.05,14277,2982,2.81,212226,99,106224,969438,145,449,0.0,1.0,,,
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,20221108AR5107,live,58.72,AR,Arkansas,4,1,2022-11-09T01:30:00.000Z,state,0,2022-11-09T03:18:35.329Z,157,898,17.48,12191,85967,68.68,13970,35630,28.47,14277,3565,2.85,213148,99,125162,969438,157,527,0.0,1.0,,,
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,20221108AR5107,live,59.05,AR,Arkansas,4,1,2022-11-09T01:30:00.000Z,state,0,2022-11-09T03:23:03.032Z,157,898,17.48,12191,86574,68.79,13970,35696,28.36,14277,3590,2.85,213148,99,125860,969438,157,530,0.0,1.0,,,
1667965148,2022-11-09 03:39:08 +0000,6fdfe90630de6ba7d3077daaa37563b39e419cfc,20221108AR5107,live,66.48,AR,Arkansas,4,1,2022-11-09T01:30:00.000Z,state,0,2022-11-09T03:33:46.255Z,176,898,19.6,12191,98015,69.17,13970,39648,27.98,14277,4034,2.85,213148,99,141697,969438,176,597,0.0,1.0,,,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,20221108AR5107,live,68.97,AR,Arkansas,4,1,2022-11-09T01:30:00.000Z,state,0,2022-11-09T03:42:34.646Z,182,898,20.27,12191,95356,64.86,13970,40864,27.8,14277,10788,7.34,213148,99,147008,969438,182,619,0.0,1.0,2.0,,
1667966001,2022-11-09 03:53:21 +0000,cee0a612753351ddb30fde2a157613da20f2be01,20221108AR5107,live,80.31,AR,Arkansas,4,1,2022-11-09T01:30:00.000Z,state,0,2022-11-09T03:49:06.030Z,234,898,26.06,12191,114287,66.69,13970,45712,26.67,14277,11376,6.64,213383,99,171375,969438,234,721,0.0,1.0,2.0,,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,20221108AR5107,live,86.79,AR,Arkansas,4,1,2022-11-09T01:30:00.000Z,state,0,2022-11-09T03:58:14.818Z,263,898,29.29,12191,124020,66.97,13970,49428,26.69,14277,11753,6.35,213383,99,185201,969438,263,779,0.0,1.0,2.0,,
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,20221108AR5107,live,86.79,AR,Arkansas,4,1,2022-11-09T01:30:00.000Z,state,0,2022-11-09T04:09:32.874Z,263,898,29.29,12191,124020,66.97,13970,49428,26.69,14277,11753,6.35,213383,99,185201,969438,263,779,0.0,1.0,2.0,,
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,20221108AR5107,live,86.64,AR,Arkansas,4,1,2022-11-09T01:30:00.000Z,state,0,2022-11-09T04:09:58.357Z,263,898,29.29,12191,124020,66.97,13970,49428,26.69,14277,11753,6.35,213759,99,185201,969438,263,778,0.0,1.0,2.0,,
1667968538,2022-11-08 22:35:38 -0600,921a14073c0a588fcddcb6fa0c38955a3a5e6401,20221108AR5107,live,86.4,AR,Arkansas,4,1,2022-11-09T01:30:00.000Z,state,0,2022-11-09T04:34:22.138Z,263,898,29.29,12191,124020,66.97,13970,49428,26.69,14277,11753,6.35,214357,99,185201,969438,263,776,0.0,1.0,2.0,,
1667968757,2022-11-08 22:39:17 -0600,444e7baf756125a86bedac9f7455307c41fed63a,20221108AR5107,live,87.82,AR,Arkansas,4,1,2022-11-09T01:30:00.000Z,state,0,2022-11-09T04:37:10.783Z,294,898,32.74,12191,126526,67.21,13970,49866,26.49,14277,11849,6.29,214357,99,188241,969438,294,789,0.0,1.0,2.0,,
1667969116,2022-11-08 22:45:16 -0600,79682069eac6cae3840febac265b40363b9c51ff,20221108AR5107,live,87.44,AR,Arkansas,4,1,2022-11-09T01:30:00.000Z,state,0,2022-11-09T04:43:11.086Z,294,898,32.74,12191,126526,67.21,13970,49866,26.49,14277,11849,6.29,215272,99,188241,969438,294,785,0.0,1.0,2.0,,
