captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,candidates.2.candidateID,candidates.2.voteCount,candidates.2.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.1.colorIndex,candidates.0.winner,candidates.0.calledAt
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108AZ3002,live,0.0,AZ,Arizona,3,1,2022-11-09T02:00:00.000Z,state,0,2022-11-07T20:24:46.576Z,0,1732,0.0,10801,0,0.0,10393,0,0.0,10521,0,0.0,2789446,99,0,4184169,0,0,,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108AZ3002,live,0.0,AZ,Arizona,3,1,2022-11-09T02:00:00.000Z,state,0,2022-11-08T19:25:19.178Z,0,1732,0.0,10801,0,0.0,10393,0,0.0,10521,0,0.0,2789446,99,0,4184169,0,0,,,,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,20221108AZ3002,live,0.0,AZ,Arizona,3,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T03:00:30.398Z,0,1732,0.0,10801,0,0.0,10393,0,0.0,10521,0,0.0,2789446,99,0,4184169,0,0,,,,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,20221108AZ3002,live,37.95,AZ,Arizona,3,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T03:06:27.479Z,56,1732,3.23,10393,597337,56.42,10521,436875,41.27,10801,24452,2.31,2789446,99,1058664,4184169,56,657,0.0,1.0,,
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,20221108AZ3002,live,37.95,AZ,Arizona,3,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T03:15:05.514Z,56,1732,3.23,10393,597337,56.42,10521,436875,41.27,10801,24452,2.31,2789446,99,1058664,4184169,56,657,0.0,1.0,,
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,20221108AZ3002,live,38.99,AZ,Arizona,3,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T03:24:06.263Z,56,1732,3.23,10393,611618,56.24,10521,450662,41.44,10801,25270,2.32,2789446,99,1087550,4184169,56,675,0.0,1.0,,
1667965148,2022-11-09 03:39:08 +0000,6fdfe90630de6ba7d3077daaa37563b39e419cfc,20221108AZ3002,live,39.36,AZ,Arizona,3,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T03:29:25.644Z,77,1732,4.45,10393,614887,56.01,10521,457460,41.67,10801,25553,2.33,2789446,99,1097900,4184169,77,682,0.0,1.0,,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,20221108AZ3002,live,40.45,AZ,Arizona,3,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T03:40:50.730Z,77,1732,4.45,10393,632768,56.09,10521,468974,41.57,10801,26468,2.35,2789446,99,1128210,4184169,77,701,0.0,1.0,,
1667966001,2022-11-09 03:53:21 +0000,cee0a612753351ddb30fde2a157613da20f2be01,20221108AZ3002,live,47.28,AZ,Arizona,3,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T03:44:57.296Z,77,1732,4.45,10393,766669,58.13,10521,522070,39.59,10801,30080,2.28,2789446,99,1318819,4184169,77,819,0.0,1.0,,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,20221108AZ3002,live,47.55,AZ,Arizona,3,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T04:00:27.825Z,77,1732,4.45,10393,770448,58.09,10521,525633,39.63,10801,30298,2.28,2789446,99,1326379,4184169,77,824,0.0,1.0,,
