captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.22933.first,candidates.22933.last,candidates.22933.party,candidates.22933.candidateID,candidates.22933.polID,candidates.22933.ballotOrder,candidates.22933.polNum,candidates.22933.electWon,candidates.22936.first,candidates.22936.last,candidates.22936.party,candidates.22936.candidateID,candidates.22936.polID,candidates.22936.ballotOrder,candidates.22936.polNum,candidates.22936.electWon,candidates.22936.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,CA-20221108_Eday62,5,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 15,15,252363,99,0,508053,True,20221108CA5705,2022-11-08,CA,David,Canepa,Dem,22933,70550,1,13768,0,Kevin,Mullin,Dem,22936,70553,2,11957,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,CA-20221108_Eday80,5,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 15,15,265235,99,0,507936,True,20221108CA5705,2022-11-08,CA,David,Canepa,Dem,22933,70550,1,13768,0,Kevin,Mullin,Dem,22936,70553,2,11957,0,
1667949842,2022-11-08 23:24:02 +0000,e733c733b3b3c33f13905f9501db69cb94a55a64,CA-20221108_Eday80,5,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 15,15,265235,90,0,507936,True,20221108CA5705,2022-11-08,CA,David,Canepa,Dem,22933,70550,1,13768,0,Kevin,Mullin,Dem,22936,70553,2,11957,0,
1667968798,2022-11-08 22:39:58 -0600,a5f602864fc4763e8a6bc6f82d3436a01320e3bc,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 15,15,265235,90,72009,507936,True,20221108CA5705,2022-11-08,CA,David,Canepa,Dem,22933,70550,1,13768,0,Kevin,Mullin,Dem,22936,70553,2,11957,0,
1667970504,2022-11-08 23:08:24 -0600,218805bf82c018e2091a699549a3db0180a36d98,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 15,15,265235,90,83176,507936,True,20221108CA5705,2022-11-08,CA,David,Canepa,Dem,22933,70550,1,13768,0,Kevin,Mullin,Dem,22936,70553,2,11957,0,
1667971304,2022-11-08 23:21:44 -0600,1425fca56a9abad3e92162e44d8c52f320121f3e,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 15,15,265235,90,83691,507936,True,20221108CA5705,2022-11-08,CA,David,Canepa,Dem,22933,70550,1,13768,0,Kevin,Mullin,Dem,22936,70553,2,11957,0,
1667974664,2022-11-09 00:17:44 -0600,d987a91643923201706646f74ed6cc4da6a088a6,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 15,15,265235,90,84212,507936,True,20221108CA5705,2022-11-08,CA,David,Canepa,Dem,22933,70550,1,13768,0,Kevin,Mullin,Dem,22936,70553,2,11957,0,
1667976875,2022-11-09 00:54:35 -0600,aef5a4a9a30b34f946f3098786ce9297f77ec589,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 15,15,265235,90,84957,507936,True,20221108CA5705,2022-11-08,CA,David,Canepa,Dem,22933,70550,1,13768,0,Kevin,Mullin,Dem,22936,70553,2,11957,0,
1667977730,2022-11-09 01:08:50 -0600,eb7c135f53880b948a2c1d8d800428a5719cefdc,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 15,15,265235,90,85756,507936,True,20221108CA5705,2022-11-08,CA,David,Canepa,Dem,22933,70550,1,13768,0,Kevin,Mullin,Dem,22936,70553,2,11957,0,
1667983677,2022-11-09 02:47:57 -0600,9b7838a280f19cbb6fbc0c7b4c210c0b0c878b69,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 15,15,265235,90,86495,507936,True,20221108CA5705,2022-11-08,CA,David,Canepa,Dem,22933,70550,1,13768,0,Kevin,Mullin,Dem,22936,70553,2,11957,0,
1667983719,2022-11-09 02:48:39 -0600,a8d889d3e1698c6a2e70070696b60b41396d5c92,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 15,15,265235,90,85756,507936,True,20221108CA5705,2022-11-08,CA,David,Canepa,Dem,22933,70550,1,13768,0,Kevin,Mullin,Dem,22936,70553,2,11957,0,
1667983760,2022-11-09 02:49:20 -0600,4ed2d8add795cb81b92bf39e25df171a596e9b4c,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 15,15,265235,90,86495,507936,True,20221108CA5705,2022-11-08,CA,David,Canepa,Dem,22933,70550,1,13768,0,Kevin,Mullin,Dem,22936,70553,2,11957,0,
1667985436,2022-11-09 03:17:16 -0600,3424d47f5341c2a346e8a3799f78a52faeab6c0b,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 15,15,265235,90,88818,507936,True,20221108CA5705,2022-11-08,CA,David,Canepa,Dem,22933,70550,1,13768,0,Kevin,Mullin,Dem,22936,70553,2,11957,0,
1667988683,2022-11-09 04:11:23 -0600,730aa85a41cde9ade0ab0457bb30546a32d14e79,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 15,15,230546,90,88818,507936,True,20221108CA5705,2022-11-08,CA,David,Canepa,Dem,22933,70550,1,13768,0,Kevin,Mullin,Dem,22936,70553,2,11957,0,
1667992755,2022-11-09 05:19:15 -0600,aa073a8669354367273bc7e055647b18c3516fb7,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 15,15,230546,90,93541,507936,True,20221108CA5705,2022-11-08,CA,David,Canepa,Dem,22933,70550,1,13768,0,Kevin,Mullin,Dem,22936,70553,2,11957,0,
1667993637,2022-11-09 05:33:57 -0600,c466fc7296c61cf151348ec0cdbb5d5ac3aad22f,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 15,15,230546,90,94226,507936,True,20221108CA5705,2022-11-08,CA,David,Canepa,Dem,22933,70550,1,13768,0,Kevin,Mullin,Dem,22936,70553,2,11957,0,
1668048586,2022-11-09 20:49:46 -0600,7fa1ca52590c29a1eb13af88f305d2ed425aec48,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 15,15,205127,95,94226,507936,True,20221108CA5705,2022-11-08,CA,David,Canepa,Dem,22933,70550,1,13768,0,Kevin,Mullin,Dem,22936,70553,2,11957,0,
1668133245,2022-11-10 20:20:45 -0600,1d10c4ad4b4920ad4487c55de852cc25fde4a4ee,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 15,15,205127,95,98654,507936,True,20221108CA5705,2022-11-08,CA,David,Canepa,Dem,22933,70550,1,13768,0,Kevin,Mullin,Dem,22936,70553,2,11957,0,
1668134311,2022-11-10 20:38:31 -0600,368bb1e3339aa4e3a67e05f34381d7c240200f91,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 15,15,205127,99,98654,507936,True,20221108CA5705,2022-11-08,CA,David,Canepa,Dem,22933,70550,1,13768,0,Kevin,Mullin,Dem,22936,70553,2,11957,0,
1668136021,2022-11-10 21:07:01 -0600,699bfd7bc646f3d2d2bad714f744167de119cbeb,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 15,15,206840,99,98654,507936,True,20221108CA5705,2022-11-08,CA,David,Canepa,Dem,22933,70550,1,13768,0,Kevin,Mullin,Dem,22936,70553,2,11957,0,
1668137672,2022-11-10 21:34:32 -0600,95469088ded6a5ec8bd38b66b17f547c5d14b770,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 15,15,206840,99,99504,507936,True,20221108CA5705,2022-11-08,CA,David,Canepa,Dem,22933,70550,1,13768,0,Kevin,Mullin,Dem,22936,70553,2,11957,0,
1668221289,2022-11-11 20:48:09 -0600,b6998645c74a6103d3e93fb3af3a34101b7c912d,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 15,15,206238,99,99504,507936,True,20221108CA5705,2022-11-08,CA,David,Canepa,Dem,22933,70550,1,13768,0,Kevin,Mullin,Dem,22936,70553,2,11957,0,
1668224322,2022-11-11 21:38:42 -0600,9a3fe43e62183a0cf526f602a256230573e76275,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 15,15,206238,99,116097,507936,True,20221108CA5705,2022-11-08,CA,David,Canepa,Dem,22933,70550,1,13768,0,Kevin,Mullin,Dem,22936,70553,2,11957,0,
1668299917,2022-11-12 18:38:37 -0600,209ee9e6e0f5f281bb6691f4394b71fb29b58470,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 15,15,206238,99,117917,507936,True,20221108CA5705,2022-11-08,CA,David,Canepa,Dem,22933,70550,1,13768,0,Kevin,Mullin,Dem,22936,70553,2,11957,0,
1668303256,2022-11-12 19:34:16 -0600,181ad17160bf10c143e74ab624d4539d10f3f216,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 15,15,207419,99,117917,507936,True,20221108CA5705,2022-11-08,CA,David,Canepa,Dem,22933,70550,1,13768,0,Kevin,Mullin,Dem,22936,70553,2,11957,0,2022-11-13T01:28:34.908Z
1668387437,2022-11-13 18:57:17 -0600,495de7ef1425a2fa951ad86fd2c69e093924875e,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 15,15,207419,99,119886,507936,True,20221108CA5705,2022-11-08,CA,David,Canepa,Dem,22933,70550,1,13768,0,Kevin,Mullin,Dem,22936,70553,2,11957,0,2022-11-13T01:28:34.908Z
1668472304,2022-11-14 18:31:44 -0600,daba8e3a19f8e11f960d341b022137a343743a42,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 15,15,207419,99,149127,507936,True,20221108CA5705,2022-11-08,CA,David,Canepa,Dem,22933,70550,1,13768,0,Kevin,Mullin,Dem,22936,70553,2,11957,0,2022-11-13T01:28:34.908Z
1668480069,2022-11-14 20:41:09 -0600,0e0e0e801178d8301b5e0bd71286f33505f0b715,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 15,15,201922,99,149127,507936,True,20221108CA5705,2022-11-08,CA,David,Canepa,Dem,22933,70550,1,13768,0,Kevin,Mullin,Dem,22936,70553,2,11957,0,2022-11-13T01:28:34.908Z
1668526800,2022-11-15 09:40:00 -0600,0b1a5db9bd3cf9e68a59a2a1ab84d9e764f1854b,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 15,15,201922,99,151207,507936,True,20221108CA5705,2022-11-08,CA,David,Canepa,Dem,22933,70550,1,13768,0,Kevin,Mullin,Dem,22936,70553,2,11957,0,2022-11-13T01:28:34.908Z
1668558994,2022-11-15 18:36:34 -0600,4cf75ec3861a924487586b13c744ce987f4b9005,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 15,15,201922,99,165847,507936,True,20221108CA5705,2022-11-08,CA,David,Canepa,Dem,22933,70550,1,13768,0,Kevin,Mullin,Dem,22936,70553,2,11957,0,2022-11-13T01:28:34.908Z
1668645165,2022-11-16 18:32:45 -0600,f300001d2a29851180c9e095657731687307590d,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 15,15,201922,99,175023,507936,True,20221108CA5705,2022-11-08,CA,David,Canepa,Dem,22933,70550,1,13768,0,Kevin,Mullin,Dem,22936,70553,2,11957,0,2022-11-13T01:28:34.908Z
1668647830,2022-11-16 19:17:10 -0600,4d838eaa35e38ad4149e5ad6a5f805571446cafa,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 15,15,200871,99,175023,507936,True,20221108CA5705,2022-11-08,CA,David,Canepa,Dem,22933,70550,1,13768,0,Kevin,Mullin,Dem,22936,70553,2,11957,0,2022-11-13T01:28:34.908Z
1668654616,2022-11-16 21:10:16 -0600,3cee5ea87c446b2960849215517985c9b1e500f2,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 15,15,200776,99,175604,507936,True,20221108CA5705,2022-11-08,CA,David,Canepa,Dem,22933,70550,1,13768,0,Kevin,Mullin,Dem,22936,70553,2,11957,0,2022-11-13T01:28:34.908Z
1668733575,2022-11-17 19:06:15 -0600,24d89c3cc295fe24453369d7585eeccad2c9af46,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 15,15,200776,99,181326,507936,True,20221108CA5705,2022-11-08,CA,David,Canepa,Dem,22933,70550,1,13768,0,Kevin,Mullin,Dem,22936,70553,2,11957,0,2022-11-13T01:28:34.908Z
1668816447,2022-11-18 18:07:27 -0600,ef8ea0384923313afb8d6a8dd0cb0805b3307b24,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 15,15,197377,99,181647,507936,True,20221108CA5705,2022-11-08,CA,David,Canepa,Dem,22933,70550,1,13768,0,Kevin,Mullin,Dem,22936,70553,2,11957,0,2022-11-13T01:28:34.908Z
1668820344,2022-11-18 19:12:24 -0600,5263b4c935a884de085a0ba2de9ff22751912749,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 15,15,197454,99,194010,507936,True,20221108CA5705,2022-11-08,CA,David,Canepa,Dem,22933,70550,1,13768,0,Kevin,Mullin,Dem,22936,70553,2,11957,0,2022-11-13T01:28:34.908Z
1668823843,2022-11-18 20:10:43 -0600,be765542324dca358751556f29194f1d6dc079b4,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 15,15,195969,99,194010,507936,True,20221108CA5705,2022-11-08,CA,David,Canepa,Dem,22933,70550,1,13768,0,Kevin,Mullin,Dem,22936,70553,2,11957,0,2022-11-13T01:28:34.908Z
