captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.22968.first,candidates.22968.last,candidates.22968.abbrv,candidates.22968.party,candidates.22968.incumbent,candidates.22968.candidateID,candidates.22968.polID,candidates.22968.ballotOrder,candidates.22968.polNum,candidates.22968.electWon,candidates.22970.first,candidates.22970.last,candidates.22970.party,candidates.22970.candidateID,candidates.22970.polID,candidates.22970.ballotOrder,candidates.22970.polNum,candidates.22970.electWon,candidates.22968.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,CA-20221108_Eday62,5,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 23,23,199478,99,0,2538834,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,CA-20221108_Eday80,5,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 23,23,224452,99,0,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,,
1667949842,2022-11-08 23:24:02 +0000,e733c733b3b3c33f13905f9501db69cb94a55a64,CA-20221108_Eday80,5,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 23,23,224452,90,0,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,,
1667969292,2022-11-08 22:48:12 -0600,27c0128769cb9950dd2d2f7b010376c6821eb8bd,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 23,23,224452,90,58771,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,,
1667970071,2022-11-08 23:01:11 -0600,dbae837cbbaf1f3aaf9390e6aaa3521af778ad97,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 23,23,224452,90,58998,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,,
1667974664,2022-11-09 00:17:44 -0600,d987a91643923201706646f74ed6cc4da6a088a6,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 23,23,224452,90,60074,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,,
1667975773,2022-11-09 00:36:13 -0600,deab40fdc8485b2c990cf91d96e98447d46f3b20,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 23,23,224452,90,60183,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,,
1667983719,2022-11-09 02:48:39 -0600,a8d889d3e1698c6a2e70070696b60b41396d5c92,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 23,23,224452,90,63571,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,,
1667985436,2022-11-09 03:17:16 -0600,3424d47f5341c2a346e8a3799f78a52faeab6c0b,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 23,23,224452,90,63572,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,,
1667986312,2022-11-09 03:31:52 -0600,247a3d1d50873ce12e852fc2d9d50fa5f45ffbf7,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 23,23,224452,90,63574,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,,
1667988045,2022-11-09 04:00:45 -0600,f9afc4942e53b5b1b333210f3a236d56363229e8,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 23,23,224452,90,63740,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,,
1667988922,2022-11-09 04:15:22 -0600,f2fa14f9c9cdc4848abee151cdeb35c28ce0f80a,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 23,23,253630,90,64940,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,,
1667990763,2022-11-09 04:46:03 -0600,2b5173ede90d3526057063cf26c1127c856e73ce,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 23,23,253630,90,64941,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,,
1667991528,2022-11-09 04:58:48 -0600,a13f4801288cc4ef524408203909300f4668df64,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 23,23,253630,90,65018,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,,
1667996070,2022-11-09 06:14:30 -0600,9a70a1aae2765cd9a1b05877084cc0d5efa0a61a,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 23,23,253630,90,71733,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,,
1668003296,2022-11-09 08:14:56 -0600,27bd104633a13ea8a56b4077741996784ab1340c,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 23,23,253630,90,76024,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,,
1668010662,2022-11-09 10:17:42 -0600,157b7cfb643c54368a013a4322403d0b44c3c968,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 23,23,253630,90,82698,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,,
1668042803,2022-11-09 19:13:23 -0600,be00e9dd455824427f1d8d961d5e948c31b74514,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 23,23,253630,90,88134,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,,
1668048586,2022-11-09 20:49:46 -0600,7fa1ca52590c29a1eb13af88f305d2ed425aec48,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 23,23,221498,95,88134,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,,
1668103905,2022-11-10 12:11:45 -0600,3df4084644962aa4dcacf495cfc66456066fd570,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,221498,95,88134,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,2022-11-10T17:55:34.033Z,
1668125915,2022-11-10 18:18:35 -0600,2afef8e7ccb7308abeeb3501e95851c2bbf1799e,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,220820,95,88134,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,2022-11-10T17:55:34.033Z,
1668133245,2022-11-10 20:20:45 -0600,1d10c4ad4b4920ad4487c55de852cc25fde4a4ee,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,220820,95,98737,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,2022-11-10T17:55:34.033Z,
1668134056,2022-11-10 20:34:16 -0600,bba257aec71ca7bb708a385492aa2c497586a609,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,220820,99,98737,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,2022-11-10T17:55:34.033Z,
1668134872,2022-11-10 20:47:52 -0600,e120aff305050b22a747790f908a7d0e7e5ce8e9,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,220678,99,98737,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,2022-11-10T17:55:34.033Z,
1668135681,2022-11-10 21:01:21 -0600,9133ae5e8bb8f952215412a4b45367eb0b4e948a,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,188511,99,98737,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,2022-11-10T17:55:34.033Z,
1668135766,2022-11-10 21:02:46 -0600,80d4e3caceda6a442a6185bd683fbce098cac946,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,220678,99,98737,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,2022-11-10T17:55:34.033Z,
1668135809,2022-11-10 21:03:29 -0600,78a47f079f7d5745a3642977458421f6d9034fc2,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,188511,99,98737,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,2022-11-10T17:55:34.033Z,
1668213527,2022-11-11 18:38:47 -0600,25378c1608cd90089cd28b67e469887156096a0f,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,188511,99,104263,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,2022-11-10T17:55:34.033Z,
1668215949,2022-11-11 19:19:09 -0600,07635e638103e3cd053351214746b74f3758d4c6,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 23,23,188511,99,104716,2538274,True,20221108CA5713,2022-11-08,CA,22968,Jay,Obernolte,Obernolt,GOP,True,22968,67998,1,12251,0,Derek,Marshall,Dem,22970,70575,2,13785,0,2022-11-10T17:55:34.033Z,
