captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.23056.first,candidates.23056.last,candidates.23056.party,candidates.23056.candidateID,candidates.23056.polID,candidates.23056.ballotOrder,candidates.23056.polNum,candidates.23056.electWon,candidates.23059.first,candidates.23059.last,candidates.23059.party,candidates.23059.incumbent,candidates.23059.candidateID,candidates.23059.polID,candidates.23059.ballotOrder,candidates.23059.polNum,candidates.23059.electWon,candidates.23059.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,CA-20221108_Eday62,5,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 41,41,255454,99,0,775307,True,20221108CA5731,2022-11-08,CA,23059,Will,Rollins,Dem,23056,70639,1,13841,0,Ken,Calvert,GOP,True,23059,132,2,6357,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,CA-20221108_Eday80,5,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 41,41,287903,99,0,775129,True,20221108CA5731,2022-11-08,CA,23059,Will,Rollins,Dem,23056,70639,1,13841,0,Ken,Calvert,GOP,True,23059,132,2,6357,0,
1667949842,2022-11-08 23:24:02 +0000,e733c733b3b3c33f13905f9501db69cb94a55a64,CA-20221108_Eday80,5,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 41,41,287903,90,0,775129,True,20221108CA5731,2022-11-08,CA,23059,Will,Rollins,Dem,23056,70639,1,13841,0,Ken,Calvert,GOP,True,23059,132,2,6357,0,
1667968885,2022-11-08 22:41:25 -0600,5c24a01105c8e263f0bd136533d71002afb61845,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 41,41,287903,90,68874,775129,True,20221108CA5731,2022-11-08,CA,23059,Will,Rollins,Dem,23056,70639,1,13841,0,Ken,Calvert,GOP,True,23059,132,2,6357,0,
1667970594,2022-11-08 23:09:54 -0600,d4f30f0656d3b91d4423d751f85b9496715af7d9,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 41,41,287903,90,70001,775129,True,20221108CA5731,2022-11-08,CA,23059,Will,Rollins,Dem,23056,70639,1,13841,0,Ken,Calvert,GOP,True,23059,132,2,6357,0,
1667974664,2022-11-09 00:17:44 -0600,d987a91643923201706646f74ed6cc4da6a088a6,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 41,41,287903,90,71954,775129,True,20221108CA5731,2022-11-08,CA,23059,Will,Rollins,Dem,23056,70639,1,13841,0,Ken,Calvert,GOP,True,23059,132,2,6357,0,
1667982517,2022-11-09 02:28:37 -0600,646431433e93fe970b24a70347fe4d3180275034,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 41,41,287903,90,73242,775129,True,20221108CA5731,2022-11-08,CA,23059,Will,Rollins,Dem,23056,70639,1,13841,0,Ken,Calvert,GOP,True,23059,132,2,6357,0,
1667984283,2022-11-09 02:58:03 -0600,0170dd1ad3b2504037f68d6f19c85fd52c958ac5,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 41,41,287903,90,74964,775129,True,20221108CA5731,2022-11-08,CA,23059,Will,Rollins,Dem,23056,70639,1,13841,0,Ken,Calvert,GOP,True,23059,132,2,6357,0,
1667985904,2022-11-09 03:25:04 -0600,9a93968822f66fb5ab1446dd87e58d49f4859b6e,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 41,41,287903,90,75983,775129,True,20221108CA5731,2022-11-08,CA,23059,Will,Rollins,Dem,23056,70639,1,13841,0,Ken,Calvert,GOP,True,23059,132,2,6357,0,
1667988483,2022-11-09 04:08:03 -0600,b99ee37363001dc42795606d7cbfeb6079fbcce4,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 41,41,253277,90,75983,775129,True,20221108CA5731,2022-11-08,CA,23059,Will,Rollins,Dem,23056,70639,1,13841,0,Ken,Calvert,GOP,True,23059,132,2,6357,0,
