captureTimestamp,captureDateTime,captureRevision,statePostal,reportingunitID,reportingunitLevel,pollClosingTime,level,fipsCode,electTotal,lastUpdated,precinctsReporting,eevp,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,CA,6073,2,2022-11-09T03:00:00.000Z,FIPSCode,06073,0,2022-11-07T03:00:37.268Z,0,0.0,528,0.0,23101,0,0.0,23102,0,0.0,261217,99,0,433076,0,0
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,CA,6073,2,2022-11-09T04:00:00.000Z,FIPSCode,06073,0,2022-11-08T18:37:01.935Z,0,0.0,528,0.0,23101,0,0.0,23102,0,0.0,273790,99,0,433076,0,0
1667949842,2022-11-08 23:24:02 +0000,e733c733b3b3c33f13905f9501db69cb94a55a64,CA,6073,2,2022-11-09T04:00:00.000Z,FIPSCode,06073,0,2022-11-08T23:18:51.672Z,0,0.0,528,0.0,23101,0,0.0,23102,0,0.0,273790,90,0,433076,0,0
1667950106,2022-11-08 23:28:26 +0000,03bd9b09dc6ae9d95766d3877a273fc07c395a68,CA,6073,2,2022-11-09T04:00:00.000Z,FIPSCode,06073,0,2022-11-08T23:20:08.611Z,0,0.0,528,0.0,23101,0,0.0,23102,0,0.0,273790,90,0,433076,0,0
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,CA,6073,2,2022-11-09T04:00:00.000Z,FIPSCode,06073,0,2022-11-09T03:02:39.155Z,0,0.0,528,0.0,23101,0,0.0,23102,0,0.0,273790,90,0,433076,0,0
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,CA,6073,2,2022-11-09T04:00:00.000Z,FIPSCode,06073,0,2022-11-09T04:10:07.827Z,0,0.0,528,0.0,23101,0,0.0,23102,0,0.0,273790,90,0,433076,0,0
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,CA,6073,2,2022-11-09T04:00:00.000Z,FIPSCode,06073,0,2022-11-09T04:11:14.649Z,0,38.93,528,0.0,23101,65253,61.22,23102,41332,38.78,273790,90,106585,433076,0,206
1667969505,2022-11-08 22:51:45 -0600,ffc1def8f9e2bf7a494bb8b128a38f199b58da48,CA,6073,2,2022-11-09T04:00:00.000Z,FIPSCode,06073,0,2022-11-09T04:50:47.263Z,0,38.93,528,0.0,23101,65253,61.22,23102,41332,38.78,273790,90,106585,433076,0,206
1667970723,2022-11-08 23:12:03 -0600,c9be1e43f4fd7fd7004c00409f7a589f170f0784,CA,6073,2,2022-11-09T04:00:00.000Z,FIPSCode,06073,0,2022-11-09T05:11:01.445Z,0,38.93,528,0.0,23101,65253,61.22,23102,41332,38.78,273790,90,106585,433076,0,206
1667975114,2022-11-09 00:25:14 -0600,7de9a48755736c6c6b0e73777ec236e813c5ce50,CA,6073,2,2022-11-09T04:00:00.000Z,FIPSCode,06073,0,2022-11-09T06:24:04.555Z,208,39.3,528,0.0,23101,65700,61.06,23102,41898,38.94,273790,90,107598,433076,0,208
1667975815,2022-11-09 00:36:55 -0600,bd9ec1a9bacd26e63399e24cdeba1aa1e9b2608a,CA,6073,2,2022-11-09T04:00:00.000Z,FIPSCode,06073,0,2022-11-09T06:35:40.728Z,208,39.3,528,0.0,23101,65700,61.06,23102,41898,38.94,273790,90,107598,433076,0,208
1667979231,2022-11-09 01:33:51 -0600,0aac9649608b65a23e9855cf5cacd405130eb626,CA,6073,2,2022-11-09T04:00:00.000Z,FIPSCode,06073,0,2022-11-09T07:32:24.367Z,214,40.61,528,0.0,23101,67264,60.49,23102,43935,39.51,273790,90,111199,433076,0,214
1667982557,2022-11-09 02:29:17 -0600,5e236ebaa7ca1e499bf98e18c0b29e2f61478c37,CA,6073,2,2022-11-09T04:00:00.000Z,FIPSCode,06073,0,2022-11-09T08:28:10.345Z,221,41.84,528,0.0,23101,68754,60.01,23102,45809,39.99,273790,90,114563,433076,0,221
1667983595,2022-11-09 02:46:35 -0600,2dd0aebbae72cb28f364a323cce9d6d3c29ae669,CA,6073,2,2022-11-09T04:00:00.000Z,FIPSCode,06073,0,2022-11-09T08:43:07.179Z,221,41.84,528,0.0,23101,68754,60.01,23102,45809,39.99,273790,90,114563,433076,0,221
1667985945,2022-11-09 03:25:45 -0600,ccf1c188a3cd33e1e940a35bdccf1b24a50383f8,CA,6073,2,2022-11-09T04:00:00.000Z,FIPSCode,06073,0,2022-11-09T09:24:17.267Z,231,43.76,528,0.0,23101,70923,59.2,23102,48882,40.8,273790,90,119805,433076,0,231
1667986148,2022-11-09 03:29:08 -0600,825565b33fc8f2e2b543fd07b19c543069fa86c6,CA,6073,2,2022-11-09T04:00:00.000Z,FIPSCode,06073,0,2022-11-09T09:27:40.442Z,231,43.76,528,0.0,23101,70923,59.2,23102,48882,40.8,273790,90,119805,433076,0,231
1667988367,2022-11-09 04:06:07 -0600,569f912dbebdb6a9fd0dc530b121779cb6ef9407,CA,6073,2,2022-11-09T04:00:00.000Z,FIPSCode,06073,0,2022-11-09T10:03:39.194Z,238,45.0,528,0.0,23101,70923,59.2,23102,48882,40.8,266233,90,119805,433076,0,238
1667990763,2022-11-09 04:46:03 -0600,2b5173ede90d3526057063cf26c1127c856e73ce,CA,6073,2,2022-11-09T04:00:00.000Z,FIPSCode,06073,0,2022-11-09T10:45:12.895Z,238,45.0,528,0.0,23101,70923,59.2,23102,48882,40.8,266233,90,119805,433076,0,238
1667993561,2022-11-09 05:32:41 -0600,8b8cd077dc0f33daeaa77d1f141ebc244de360ef,CA,6073,2,2022-11-09T04:00:00.000Z,FIPSCode,06073,0,2022-11-09T11:30:57.167Z,528,46.28,528,100.0,23101,72735,59.03,23102,50476,40.97,266233,90,123211,433076,528,244
