captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,candidates.2.candidateID,candidates.2.voteCount,candidates.2.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.1.colorIndex,candidates.0.winner,candidates.0.calledAt
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108CT7007,live,0.0,CT,Connecticut,7,1,2022-11-09T01:00:00.000Z,state,0,2022-11-07T20:30:20.697Z,0,137,0.0,18825,0,0.0,22979,0,0.0,22550,0,0.0,299505,95,0,765176,0,0,,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108CT7007,live,0.0,CT,Connecticut,7,1,2022-11-09T01:00:00.000Z,state,0,2022-11-08T15:23:15.796Z,0,137,0.0,18825,0,0.0,22979,0,0.0,22550,0,0.0,299505,95,0,765176,0,0,,,,
1667951715,2022-11-08 23:55:15 +0000,faab8f07ee94099dfc5995c0bbfcebae02c81c74,20221108CT7007,live,0.0,CT,Connecticut,7,1,2022-11-09T01:00:00.000Z,state,0,2022-11-08T23:50:05.772Z,0,137,0.0,18825,0,0.0,22979,0,0.0,22550,0,0.0,299505,95,0,765176,0,0,,,,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,20221108CT7007,live,0.1,CT,Connecticut,7,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:14:32.171Z,1,137,0.73,18825,262,90.34,22550,19,6.55,22979,9,3.1,299505,95,290,765176,1,0,0.0,,,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,20221108CT7007,live,0.69,CT,Connecticut,7,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:30:24.677Z,2,137,1.46,18825,1178,57.1,22550,865,41.93,22979,20,0.97,299505,95,2063,765176,2,1,0.0,,,
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,20221108CT7007,live,0.94,CT,Connecticut,7,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:55:07.031Z,3,137,2.19,18825,1506,53.59,22550,1275,45.37,22979,29,1.03,299505,95,2810,765176,3,1,0.0,1.0,,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,20221108CT7007,live,0.94,CT,Connecticut,7,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:00:23.373Z,3,137,2.19,18825,1506,53.59,22550,1275,45.37,22979,29,1.03,299551,95,2810,765176,3,1,0.0,1.0,,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,20221108CT7007,live,1.79,CT,Connecticut,7,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:07:55.650Z,7,137,5.11,18825,3055,57.09,22550,2246,41.97,22979,50,0.93,299551,95,5351,765176,7,2,0.0,1.0,,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,20221108CT7007,live,1.8,CT,Connecticut,7,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:12:19.645Z,7,137,5.11,18825,3055,57.09,22550,2246,41.97,22979,50,0.93,297017,95,5351,765176,7,2,0.0,1.0,,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,20221108CT7007,live,3.77,CT,Connecticut,7,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:24:18.046Z,11,137,8.03,18825,7181,64.04,22550,3917,34.93,22979,115,1.03,297050,95,11213,765176,11,5,0.0,1.0,,
