captureTimestamp,captureDateTime,captureRevision,statePostal,reportingunitID,reportingunitLevel,pollClosingTime,level,fipsCode,electTotal,lastUpdated,precinctsReporting,eevp,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,CT,9001,2,2022-11-09T01:00:00.000Z,FIPSCode,09001,0,2022-11-07T20:30:21.356Z,0,0.0,133,0.0,18828,0,0.0,22553,0,0.0,289340,95.0,0,474330,0,0
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,CT,9001,2,2022-11-09T01:00:00.000Z,FIPSCode,09001,0,2022-11-08T15:23:15.990Z,0,0.0,133,0.0,18828,0,0.0,22553,0,0.0,289340,96.75,0,474330,0,0
1667949299,2022-11-08 23:14:59 +0000,b334f05b75bafb94958f7797e615fb57e746d9de,CT,9001,2,2022-11-09T01:00:00.000Z,FIPSCode,09001,0,2022-11-08T23:10:49.581Z,0,0.0,133,0.0,18828,0,0.0,22553,0,0.0,289340,95.0,0,474330,0,0
1667951715,2022-11-08 23:55:15 +0000,faab8f07ee94099dfc5995c0bbfcebae02c81c74,CT,9001,2,2022-11-09T01:00:00.000Z,FIPSCode,09001,0,2022-11-08T23:48:28.069Z,0,0.0,133,0.0,18828,0,0.0,22553,0,0.0,289340,95.0,0,474330,0,0
1667952254,2022-11-09 00:04:14 +0000,01f078a675119f6cdf4e095b5cc2a41189aff91c,CT,9001,2,2022-11-09T01:00:00.000Z,FIPSCode,09001,0,2022-11-08T23:54:49.024Z,0,0.0,133,0.0,18828,0,0.0,22553,0,0.0,289340,95.0,0,474330,0,0
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,CT,9001,2,2022-11-09T01:00:00.000Z,FIPSCode,09001,0,2022-11-09T01:25:58.254Z,2,1.22,133,1.5,18828,2136,60.49,22553,1395,39.51,289340,95.0,3531,474330,2,2
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,CT,9001,2,2022-11-09T01:00:00.000Z,FIPSCode,09001,0,2022-11-09T01:28:56.365Z,4,2.19,133,3.01,18828,3981,62.68,22553,2370,37.32,289340,95.0,6351,474330,4,3
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,CT,9001,2,2022-11-09T01:00:00.000Z,FIPSCode,09001,0,2022-11-09T01:34:18.209Z,6,3.13,133,4.51,18828,5930,65.47,22553,3128,34.53,289340,95.0,9058,474330,6,4
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,CT,9001,2,2022-11-09T01:00:00.000Z,FIPSCode,09001,0,2022-11-09T01:34:18.209Z,6,3.13,133,4.51,18828,5930,65.47,22553,3128,34.53,289340,95.0,9058,474330,6,4
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,CT,9001,2,2022-11-09T01:00:00.000Z,FIPSCode,09001,0,2022-11-09T01:42:01.183Z,9,4.57,133,6.77,18828,8857,66.93,22553,4376,33.07,289340,95.0,13233,474330,9,7
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,CT,9001,2,2022-11-09T01:00:00.000Z,FIPSCode,09001,0,2022-11-09T01:49:12.315Z,11,5.35,133,8.27,18828,10587,68.35,22553,4902,31.65,289340,95.0,15489,474330,11,7
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,CT,9001,2,2022-11-09T01:00:00.000Z,FIPSCode,09001,0,2022-11-09T01:53:55.718Z,16,7.73,133,12.03,18828,14753,66.0,22553,7600,34.0,289340,95.0,22353,474330,16,11
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,CT,9001,2,2022-11-09T01:00:00.000Z,FIPSCode,09001,0,2022-11-09T02:03:04.718Z,18,8.51,133,13.53,18828,15901,64.58,22553,8723,35.42,289340,95.0,24624,474330,18,12
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,CT,9001,2,2022-11-09T01:00:00.000Z,FIPSCode,09001,0,2022-11-09T02:08:42.960Z,20,10.22,133,15.04,18828,18929,64.02,22553,10639,35.98,289340,95.0,29568,474330,20,15
