captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.1.colorIndex,candidates.0.winner,candidates.0.calledAt
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108CT7013,live,0.0,CT,Connecticut,7,1,2022-11-09T01:00:00.000Z,state,0,2022-11-07T20:30:21.306Z,0,134,0.0,18828,0,0.0,22553,0,0.0,295702,95,0,751244,0,0,,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108CT7013,live,0.0,CT,Connecticut,7,1,2022-11-09T01:00:00.000Z,state,0,2022-11-08T15:23:15.968Z,0,134,0.0,18828,0,0.0,22553,0,0.0,295702,95,0,751244,0,0,,,,
1667949299,2022-11-08 23:14:59 +0000,b334f05b75bafb94958f7797e615fb57e746d9de,20221108CT7013,live,0.0,CT,Connecticut,7,1,2022-11-09T01:00:00.000Z,state,0,2022-11-08T23:10:49.582Z,0,134,0.0,18828,0,0.0,22553,0,0.0,295702,95,0,751244,0,0,,,,
1667951715,2022-11-08 23:55:15 +0000,faab8f07ee94099dfc5995c0bbfcebae02c81c74,20221108CT7013,live,0.0,CT,Connecticut,7,1,2022-11-09T01:00:00.000Z,state,0,2022-11-08T23:48:28.069Z,0,134,0.0,18828,0,0.0,22553,0,0.0,295702,95,0,751244,0,0,,,,
1667952254,2022-11-09 00:04:14 +0000,01f078a675119f6cdf4e095b5cc2a41189aff91c,20221108CT7013,live,0.0,CT,Connecticut,7,1,2022-11-09T01:00:00.000Z,state,0,2022-11-08T23:54:49.025Z,0,134,0.0,18828,0,0.0,22553,0,0.0,295702,95,0,751244,0,0,,,,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,20221108CT7013,live,1.19,CT,Connecticut,7,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:25:58.254Z,2,134,1.49,18828,2136,60.49,22553,1395,39.51,295702,95,3531,751244,2,2,0.0,,,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,20221108CT7013,live,2.15,CT,Connecticut,7,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:28:56.365Z,4,134,2.99,18828,3981,62.68,22553,2370,37.32,295702,95,6351,751244,4,3,0.0,,,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,20221108CT7013,live,5.08,CT,Connecticut,7,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:34:31.577Z,7,134,5.22,18828,7917,52.74,22553,7094,47.26,295353,95,15011,751244,7,7,0.0,1.0,,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,20221108CT7013,live,5.08,CT,Connecticut,7,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:40:19.631Z,7,134,5.22,18828,7917,52.74,22553,7094,47.26,295353,95,15011,751244,7,7,0.0,1.0,,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,20221108CT7013,live,6.5,CT,Connecticut,7,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:42:01.183Z,10,134,7.46,18828,10844,56.52,22553,8342,43.48,295353,95,19186,751244,10,9,0.0,1.0,,
