captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,candidates.2.candidateID,candidates.2.voteCount,candidates.2.votePct,candidates.3.candidateID,candidates.3.voteCount,candidates.3.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.0.winner,candidates.0.calledAt,candidates.1.colorIndex
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108DE8074,live,0.0,DE,Delaware,8,1,2022-11-09T00:00:00.000Z,state,0,2022-11-07T03:02:31.283Z,0,513,0,10970,0,0.0,10568,0,0.0,10971,0,0.0,11021,0,0.0,441590,99,0,735293,0,0,,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108DE8074,live,0.0,DE,Delaware,8,1,2022-11-09T01:00:00.000Z,state,0,2022-11-08T19:52:08.387Z,0,513,0,10970,0,0.0,10568,0,0.0,10971,0,0.0,11021,0,0.0,441590,99,0,735293,0,0,,,,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,20221108DE8074,live,0.0,DE,Delaware,8,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:03:22.193Z,0,513,0,10970,0,0.0,10568,0,0.0,10971,0,0.0,11021,0,0.0,441590,99,0,735293,0,0,,,,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,20221108DE8074,live,17.45,DE,Delaware,8,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:15:50.109Z,0,513,0,10568,50839,65.96,10970,25508,33.1,11021,387,0.5,10971,338,0.44,441590,99,77072,735293,0,90,0.0,,,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,20221108DE8074,live,17.52,DE,Delaware,8,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:31:07.562Z,0,513,0,10568,50936,65.82,10970,25713,33.23,11021,392,0.51,10971,343,0.44,441590,99,77384,735293,0,90,0.0,,,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,20221108DE8074,live,17.52,DE,Delaware,8,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:32:11.575Z,0,513,0,10568,50936,65.82,10970,25713,33.23,11021,392,0.51,10971,343,0.44,441590,99,77384,735293,0,90,0.0,X,2022-11-09T01:32:11.410Z,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,20221108DE8074,live,18.35,DE,Delaware,8,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:40:24.913Z,0,513,0,10568,52829,65.18,10970,27425,33.84,11021,411,0.51,10971,387,0.48,441590,99,81052,735293,0,94,0.0,X,2022-11-09T01:32:11.410Z,
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,20221108DE8074,live,19.75,DE,Delaware,8,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:45:41.527Z,0,513,0,10568,55698,63.86,10970,30618,35.1,10971,458,0.53,11021,449,0.51,441590,99,87223,735293,0,101,0.0,X,2022-11-09T01:32:11.410Z,
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,20221108DE8074,live,24.67,DE,Delaware,8,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:50:43.386Z,0,513,0,10568,67235,61.72,10970,40400,37.08,10971,691,0.63,11021,616,0.57,441590,99,108942,735293,0,127,0.0,X,2022-11-09T01:32:11.410Z,
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,20221108DE8074,live,27.37,DE,Delaware,8,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:56:00.497Z,0,513,0,10568,73002,60.4,10970,46362,38.36,10971,812,0.67,11021,695,0.57,441590,99,120871,735293,0,140,0.0,X,2022-11-09T01:32:11.410Z,1.0
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,20221108DE8074,live,30.25,DE,Delaware,8,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:05:18.097Z,0,513,0,10568,79999,59.9,10970,51827,38.8,10971,954,0.71,11021,781,0.58,441590,99,133561,735293,0,155,0.0,X,2022-11-09T01:32:11.410Z,1.0
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,20221108DE8074,live,36.73,DE,Delaware,8,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:10:19.915Z,0,513,0,10568,95330,58.78,10970,64601,39.83,10971,1275,0.79,11021,969,0.6,441590,99,162175,735293,0,188,0.0,X,2022-11-09T01:32:11.410Z,1.0
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,20221108DE8074,live,40.53,DE,Delaware,8,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:20:37.134Z,0,513,0,10568,103809,58.01,10970,72631,40.58,10971,1458,0.81,11021,1066,0.6,441590,99,178964,735293,0,208,0.0,X,2022-11-09T01:32:11.410Z,1.0
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,20221108DE8074,live,43.63,DE,Delaware,8,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:25:55.008Z,0,513,0,10568,110983,57.6,10970,78922,40.96,10971,1604,0.83,11021,1164,0.6,441590,99,192673,735293,0,224,0.0,X,2022-11-09T01:32:11.410Z,1.0
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,20221108DE8074,live,53.25,DE,Delaware,8,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:36:13.310Z,0,513,0,10568,131646,55.99,10970,99992,42.53,10971,2079,0.88,11021,1413,0.6,441590,99,235130,735293,0,273,0.0,X,2022-11-09T01:32:11.410Z,1.0
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,20221108DE8074,live,56.51,DE,Delaware,8,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:45:30.571Z,0,513,0,10568,139076,55.73,10970,106750,42.78,10971,2241,0.9,11021,1493,0.6,441590,99,249560,735293,0,290,0.0,X,2022-11-09T01:32:11.410Z,1.0
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,20221108DE8074,live,62.38,DE,Delaware,8,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:50:47.142Z,0,513,0,10568,152613,55.4,10970,118610,43.06,10971,2548,0.93,11021,1681,0.61,441590,99,275452,735293,0,320,0.0,X,2022-11-09T01:32:11.410Z,1.0
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,20221108DE8074,live,64.57,DE,Delaware,8,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:55:49.435Z,0,513,0,10568,157155,55.12,10970,123599,43.35,10971,2643,0.93,11021,1735,0.61,441590,99,285132,735293,0,331,0.0,X,2022-11-09T01:32:11.410Z,1.0
