captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,description,national,state,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.10568.first,candidates.10568.last,candidates.10568.abbrv,candidates.10568.party,candidates.10568.incumbent,candidates.10568.candidateID,candidates.10568.polID,candidates.10568.ballotOrder,candidates.10568.polNum,candidates.10568.electWon,candidates.10970.first,candidates.10970.last,candidates.10970.party,candidates.10970.candidateID,candidates.10970.polID,candidates.10970.ballotOrder,candidates.10970.polNum,candidates.10970.electWon,candidates.10971.first,candidates.10971.last,candidates.10971.party,candidates.10971.candidateID,candidates.10971.polID,candidates.10971.ballotOrder,candidates.10971.polNum,candidates.10971.electWon,candidates.11021.first,candidates.11021.last,candidates.11021.party,candidates.11021.candidateID,candidates.11021.polID,candidates.11021.ballotOrder,candidates.11021.polNum,candidates.11021.electWon,candidates.10568.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,DE-20221108_Eday62,8,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,Delaware at large,True,True,District 1,1,441590,99,0,735293,True,20221108DE8074,2022-11-08,DE,10568,Lisa,Rochester,Rochestr,Dem,True,10568,65591,1,8976,0,Lee,Murphy,GOP,10970,10275,2,8970,0,Cody,McNutt,Lib,10971,71746,3,9074,0,David,Rogers,NP,11021,69625,4,9106,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,DE-20221108_Eday82,8,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,Delaware at large,True,True,District 1,1,441590,99,0,735293,True,20221108DE8074,2022-11-08,DE,10568,Lisa,Rochester,Rochestr,Dem,True,10568,65591,1,8976,0,Lee,Murphy,GOP,10970,10275,2,8970,0,Cody,McNutt,Lib,10971,71746,3,9074,0,David,Rogers,NP,11021,69625,4,9106,0,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,DE-20221108_Eday82,8,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,Delaware at large,True,True,District 1,1,441590,99,0,735293,True,20221108DE8074,2022-11-08,DE,10568,Lisa,Rochester,Rochestr,Dem,True,10568,65591,1,8976,0,Lee,Murphy,GOP,10970,10275,2,8970,0,Cody,McNutt,Lib,10971,71746,3,9074,0,David,Rogers,NP,11021,69625,4,9106,0,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,DE-20221108_Eday82,8,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Delaware at large,True,True,District 1,1,441590,99,77072,735293,True,20221108DE8074,2022-11-08,DE,10568,Lisa,Rochester,Rochestr,Dem,True,10568,65591,1,8976,0,Lee,Murphy,GOP,10970,10275,2,8970,0,Cody,McNutt,Lib,10971,71746,3,9074,0,David,Rogers,NP,11021,69625,4,9106,0,
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,DE-20221108_Eday82,8,General,G,Active Tabulation,Called,H,U.S. House,Delaware at large,True,True,District 1,1,441590,99,77384,735293,True,20221108DE8074,2022-11-08,DE,10568,Lisa,Rochester,Rochestr,Dem,True,10568,65591,1,8976,0,Lee,Murphy,GOP,10970,10275,2,8970,0,Cody,McNutt,Lib,10971,71746,3,9074,0,David,Rogers,NP,11021,69625,4,9106,0,2022-11-09T01:32:11.410Z
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,DE-20221108_Eday82,8,General,G,Active Tabulation,Called,H,U.S. House,Delaware at large,True,True,District 1,1,441590,99,108942,735293,True,20221108DE8074,2022-11-08,DE,10568,Lisa,Rochester,Rochestr,Dem,True,10568,65591,1,8976,0,Lee,Murphy,GOP,10970,10275,2,8970,0,Cody,McNutt,Lib,10971,71746,3,9074,0,David,Rogers,NP,11021,69625,4,9106,0,2022-11-09T01:32:11.410Z
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,DE-20221108_Eday82,8,General,G,Active Tabulation,Called,H,U.S. House,Delaware at large,True,True,District 1,1,441590,99,87223,735293,True,20221108DE8074,2022-11-08,DE,10568,Lisa,Rochester,Rochestr,Dem,True,10568,65591,1,8976,0,Lee,Murphy,GOP,10970,10275,2,8970,0,Cody,McNutt,Lib,10971,71746,3,9074,0,David,Rogers,NP,11021,69625,4,9106,0,2022-11-09T01:32:11.410Z
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,DE-20221108_Eday82,8,General,G,Active Tabulation,Called,H,U.S. House,Delaware at large,True,True,District 1,1,441590,99,108942,735293,True,20221108DE8074,2022-11-08,DE,10568,Lisa,Rochester,Rochestr,Dem,True,10568,65591,1,8976,0,Lee,Murphy,GOP,10970,10275,2,8970,0,Cody,McNutt,Lib,10971,71746,3,9074,0,David,Rogers,NP,11021,69625,4,9106,0,2022-11-09T01:32:11.410Z
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,DE-20221108_Eday82,8,General,G,Active Tabulation,Called,H,U.S. House,Delaware at large,True,True,District 1,1,441590,99,120871,735293,True,20221108DE8074,2022-11-08,DE,10568,Lisa,Rochester,Rochestr,Dem,True,10568,65591,1,8976,0,Lee,Murphy,GOP,10970,10275,2,8970,0,Cody,McNutt,Lib,10971,71746,3,9074,0,David,Rogers,NP,11021,69625,4,9106,0,2022-11-09T01:32:11.410Z
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,DE-20221108_Eday82,8,General,G,Active Tabulation,Called,H,U.S. House,Delaware at large,True,True,District 1,1,441590,99,133561,735293,True,20221108DE8074,2022-11-08,DE,10568,Lisa,Rochester,Rochestr,Dem,True,10568,65591,1,8976,0,Lee,Murphy,GOP,10970,10275,2,8970,0,Cody,McNutt,Lib,10971,71746,3,9074,0,David,Rogers,NP,11021,69625,4,9106,0,2022-11-09T01:32:11.410Z
