captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,candidates.2.candidateID,candidates.2.voteCount,candidates.2.votePct,candidates.3.candidateID,candidates.3.voteCount,candidates.3.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.1.colorIndex,candidates.0.winner,candidates.0.calledAt
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108FL10398,live,0.0,FL,Florida,10,1,2022-11-08T23:00:00.000Z,state,0,2022-11-07T03:02:45.190Z,0,187,0.0,23294,0,0.0,23297,0,0.0,23726,0,0.0,23728,0,0.0,298811,99,0,915630,0,0,,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108FL10398,live,0.0,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-08T21:05:44.720Z,0,187,0.0,23294,0,0.0,23297,0,0.0,23726,0,0.0,23728,0,0.0,312107,99,0,915630,0,0,,,,
1667952254,2022-11-09 00:04:14 +0000,01f078a675119f6cdf4e095b5cc2a41189aff91c,20221108FL10398,live,0.0,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-08T23:55:50.882Z,0,187,0.0,23294,0,0.0,23297,0,0.0,23726,0,0.0,23728,0,0.0,262934,99,0,915630,0,0,,,,
1667952515,2022-11-09 00:08:35 +0000,b696a55e80164ecdcb71059e68ae6204a1f65e5b,20221108FL10398,live,49.1,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T00:04:42.991Z,0,187,0.0,23294,75609,58.57,23297,51547,39.93,23728,1338,1.04,23726,607,0.47,262934,99,129101,915630,0,92,0.0,,,
1667954061,2022-11-09 00:34:21 +0000,f42b15f4268586407ce223466d2394d526a81df4,20221108FL10398,live,49.1,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T00:28:02.133Z,0,187,0.0,23294,75609,58.57,23297,51547,39.93,23728,1338,1.04,23726,607,0.47,262934,99,129101,915630,0,92,0.0,,,
1667954328,2022-11-09 00:38:48 +0000,bfe97281aaab58d7c74edee2f505906bcc18daea,20221108FL10398,live,49.1,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T00:33:37.821Z,0,187,0.0,23294,75609,58.57,23297,51547,39.93,23728,1338,1.04,23726,607,0.47,262934,99,129101,915630,0,92,0.0,,,
1667954620,2022-11-09 00:43:40 +0000,390deeca213dc77033625c9727e9139ac530f13c,20221108FL10398,live,70.55,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T00:39:27.577Z,0,187,0.0,23294,106079,57.18,23297,76814,41.41,23728,1819,0.98,23726,796,0.43,262934,99,185508,915630,0,132,0.0,,,
1667954884,2022-11-09 00:48:04 +0000,8f544a76833fbb21dc3fbc0ce7b73e3714be8529,20221108FL10398,live,70.55,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T00:43:34.205Z,0,187,0.0,23294,106079,57.18,23297,76814,41.41,23728,1819,0.98,23726,796,0.43,262934,99,185508,915630,0,132,0.0,,,
1667955153,2022-11-09 00:52:33 +0000,5dbf5007b88cfdc60ec0e8e538e0df6eb1e86637,20221108FL10398,live,74.8,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T00:44:17.528Z,27,187,14.44,23294,109883,55.87,23297,84038,42.73,23728,1899,0.97,23726,847,0.43,262934,99,196667,915630,27,140,0.0,,,
1667955430,2022-11-09 00:57:10 +0000,e9bf9bc2954735d2abe72015bd1ac602b27e7679,20221108FL10398,live,75.16,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T00:49:43.475Z,27,187,14.44,23294,110547,55.94,23297,84317,42.66,23728,1909,0.97,23726,854,0.43,262934,99,197627,915630,27,141,0.0,,,
