captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.0.winner,candidates.0.calledAt
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108FL11128,live,0.0,FL,Florida,10,1,2022-11-08T23:00:00.000Z,state,0,2022-11-07T03:02:45.215Z,0,230,0.0,18786,0,0.0,23305,0,0.0,237416,99,0,1118091,0,0,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108FL11128,live,0.0,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-08T21:05:44.755Z,0,231,0.0,18786,0,0.0,23305,0,0.0,247452,99,0,1118091,0,0,,,
1667952254,2022-11-09 00:04:14 +0000,01f078a675119f6cdf4e095b5cc2a41189aff91c,20221108FL11128,live,0.0,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-08T23:55:46.381Z,0,231,0.0,18786,0,0.0,23305,0,0.0,212474,99,0,1118091,0,0,,,
1667952515,2022-11-09 00:08:35 +0000,b696a55e80164ecdcb71059e68ae6204a1f65e5b,20221108FL11128,live,0.0,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T00:01:19.075Z,0,231,0.0,18786,0,0.0,23305,0,0.0,212474,99,0,1118091,0,0,,,
1667952827,2022-11-09 00:13:47 +0000,e67364b5505081c4cca0f28ef8e8d84768d1cc02,20221108FL11128,live,57.25,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T00:08:37.665Z,0,231,0.0,18786,89885,73.89,23305,31765,26.11,212474,99,121650,1118091,0,132,0.0,,
1667953197,2022-11-09 00:19:57 +0000,4752cb39f35c63d02e72237179350aec6f014171,20221108FL11128,live,57.25,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T00:13:20.580Z,0,231,0.0,18786,89885,73.89,23305,31765,26.11,212474,99,121650,1118091,0,132,0.0,,
1667954061,2022-11-09 00:34:21 +0000,f42b15f4268586407ce223466d2394d526a81df4,20221108FL11128,live,57.25,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T00:29:26.198Z,0,231,0.0,18786,89885,73.89,23305,31765,26.11,212474,99,121650,1118091,0,132,0.0,,
1667954328,2022-11-09 00:38:48 +0000,bfe97281aaab58d7c74edee2f505906bcc18daea,20221108FL11128,live,60.48,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T00:33:38.017Z,45,231,19.48,18786,94755,73.73,23305,33753,26.27,212474,99,128508,1118091,45,140,0.0,,
1667954620,2022-11-09 00:43:40 +0000,390deeca213dc77033625c9727e9139ac530f13c,20221108FL11128,live,60.48,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T00:38:59.499Z,45,231,19.48,18786,94755,73.73,23305,33753,26.27,212474,99,128508,1118091,45,140,0.0,,
1667954884,2022-11-09 00:48:04 +0000,8f544a76833fbb21dc3fbc0ce7b73e3714be8529,20221108FL11128,live,60.48,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T00:43:01.111Z,45,231,19.48,18786,94755,73.73,23305,33753,26.27,212474,99,128508,1118091,45,140,0.0,,
1667955153,2022-11-09 00:52:33 +0000,5dbf5007b88cfdc60ec0e8e538e0df6eb1e86637,20221108FL11128,live,67.99,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T00:47:39.691Z,124,231,53.68,18786,106299,73.59,23305,38154,26.41,212474,99,144453,1118091,124,157,0.0,,
1667955430,2022-11-09 00:57:10 +0000,e9bf9bc2954735d2abe72015bd1ac602b27e7679,20221108FL11128,live,68.04,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T00:49:51.539Z,124,231,53.68,18786,106403,73.6,23305,38167,26.4,212474,99,144570,1118091,124,157,0.0,,
1667956006,2022-11-09 01:06:46 +0000,01cc2f6d0039b2fcb59e03eced60e58dcb253844,20221108FL11128,live,79.53,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:00:39.028Z,217,231,93.94,18786,121175,71.71,23305,47816,28.29,212474,99,168991,1118091,217,184,0.0,X,2022-11-09T00:13:19.148Z
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,20221108FL11128,live,79.53,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:05:46.761Z,231,231,100.0,18786,121175,71.71,23305,47816,28.29,212474,99,168991,1118091,231,184,0.0,X,2022-11-09T00:13:19.148Z
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,20221108FL11128,live,75.75,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:15:11.122Z,231,231,100.0,18786,121175,71.71,23305,47816,28.29,223098,99,168991,1118091,231,175,0.0,X,2022-11-09T00:13:19.148Z
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,20221108FL11128,live,78.78,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:17:36.918Z,231,231,100.0,18786,126293,71.85,23305,49473,28.15,223098,99,175766,1118091,231,182,0.0,X,2022-11-09T00:13:19.148Z
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,20221108FL11128,live,78.78,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:24:38.922Z,231,231,100.0,18786,126293,71.85,23305,49473,28.15,223098,99,175766,1118091,231,182,0.0,X,2022-11-09T00:13:19.148Z
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,20221108FL11128,live,79.44,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:30:37.919Z,231,231,100.0,18786,126935,71.62,23305,50296,28.38,223098,99,177231,1118091,231,184,0.0,X,2022-11-09T00:13:19.148Z
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,20221108FL11128,live,79.44,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:35:59.484Z,231,231,100.0,18786,126935,71.62,23305,50296,28.38,223098,99,177231,1118091,231,184,0.0,X,2022-11-09T00:13:19.148Z
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,20221108FL11128,live,79.45,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:43:43.503Z,231,231,100.0,18786,126948,71.62,23305,50298,28.38,223098,99,177246,1118091,231,184,0.0,X,2022-11-09T00:13:19.148Z
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,20221108FL11128,live,79.66,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:54:36.788Z,231,231,100.0,18786,127201,71.57,23305,50524,28.43,223098,99,177725,1118091,231,184,0.0,X,2022-11-09T00:13:19.148Z
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,20221108FL11128,live,81.96,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T02:18:25.192Z,229,231,99.13,18786,131262,71.79,23305,51590,28.21,223098,99,182852,1118091,229,189,0.0,X,2022-11-09T00:13:19.148Z
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,20221108FL11128,live,81.96,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T02:18:25.192Z,229,231,99.13,18786,131262,71.79,23305,51590,28.21,223098,99,182852,1118091,229,189,0.0,X,2022-11-09T00:13:19.148Z
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,20221108FL11128,live,82.11,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T02:23:27.696Z,231,231,100.0,18786,131563,71.82,23305,51626,28.18,223098,99,183189,1118091,231,190,0.0,X,2022-11-09T00:13:19.148Z
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,20221108FL11128,live,82.11,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T02:37:54.017Z,228,231,98.7,18786,131563,71.82,23305,51626,28.18,223098,99,183189,1118091,228,190,0.0,X,2022-11-09T00:13:19.148Z
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,20221108FL11128,live,82.11,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T02:40:38.727Z,228,231,98.7,18786,131563,71.82,23305,51626,28.18,223098,99,183189,1118091,228,190,0.0,X,2022-11-09T00:13:19.148Z
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,20221108FL11128,live,82.42,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T02:45:39.895Z,231,231,100.0,18786,131906,71.74,23305,51961,28.26,223098,99,183867,1118091,231,190,0.0,X,2022-11-09T00:13:19.148Z
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,20221108FL11128,live,82.42,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T02:52:37.268Z,231,231,100.0,18786,131906,71.74,23305,51961,28.26,223098,99,183867,1118091,231,190,0.0,X,2022-11-09T00:13:19.148Z
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,20221108FL11128,live,82.75,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T02:58:43.617Z,231,231,100.0,18786,132477,71.76,23305,52135,28.24,223098,99,184612,1118091,231,191,0.0,X,2022-11-09T00:13:19.148Z
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,20221108FL11128,live,82.75,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T03:06:38.684Z,231,231,100.0,18786,132477,71.76,23305,52135,28.24,223098,99,184612,1118091,231,191,0.0,X,2022-11-09T00:13:19.148Z
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,20221108FL11128,live,82.75,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T03:14:34.887Z,231,231,100.0,18786,132477,71.76,23305,52135,28.24,223098,99,184612,1118091,231,191,0.0,X,2022-11-09T00:13:19.148Z
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,20221108FL11128,live,82.75,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T03:17:32.319Z,231,231,100.0,18786,132477,71.76,23305,52135,28.24,223098,99,184612,1118091,231,191,0.0,X,2022-11-09T00:13:19.148Z
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,20221108FL11128,live,82.75,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T03:21:16.839Z,231,231,100.0,18786,132477,71.76,23305,52135,28.24,223098,99,184612,1118091,231,191,0.0,X,2022-11-09T00:13:19.148Z
1667965148,2022-11-09 03:39:08 +0000,6fdfe90630de6ba7d3077daaa37563b39e419cfc,20221108FL11128,live,96.02,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T03:29:27.363Z,231,231,100.0,18786,132477,71.76,23305,52135,28.24,192264,99,184612,1118091,231,222,0.0,X,2022-11-09T00:13:19.148Z
1667968844,2022-11-08 22:40:44 -0600,9af6e1ce44325ca43504ad5e0ccab8e9f14ef964,20221108FL11128,live,96.08,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T04:39:43.257Z,231,231,100.0,18786,132572,71.77,23305,52149,28.23,192264,99,184721,1118091,231,222,0.0,X,2022-11-09T00:13:19.148Z
1667968974,2022-11-08 22:42:54 -0600,6782d2843c55794bd70cb628b0a71e22fe48f3f5,20221108FL11128,live,96.08,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T04:40:56.081Z,231,231,100.0,18786,132572,71.77,23305,52149,28.23,192264,99,184721,1118091,231,222,0.0,X,2022-11-09T00:13:19.148Z
1667972308,2022-11-08 23:38:28 -0600,ba9f5f7b5ce443fdefcabab3b6292f3cd1310af6,20221108FL11128,live,96.08,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T05:34:39.175Z,231,231,100.0,18786,132572,71.77,23305,52149,28.23,192264,99,184721,1118091,231,222,0.0,X,2022-11-09T00:13:19.148Z
1667972541,2022-11-08 23:42:21 -0600,d38f954f3e6be3d250d58a04e08655875ea7700c,20221108FL11128,live,96.62,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T05:41:07.657Z,231,231,100.0,18786,133352,71.79,23305,52413,28.21,192264,99,185765,1118091,231,223,0.0,X,2022-11-09T00:13:19.148Z
1667972810,2022-11-08 23:46:50 -0600,aa61daf8417c040e13c56de238053c966d7a0302,20221108FL11128,live,96.09,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T05:44:54.999Z,231,231,100.0,18786,133352,71.79,23305,52413,28.21,193319,99,185765,1118091,231,222,0.0,X,2022-11-09T00:13:19.148Z
1667976713,2022-11-09 00:51:53 -0600,e706274cafb1c1dca67fd185b843624ee37dec41,20221108FL11128,live,83.27,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T06:50:49.416Z,231,231,100.0,18786,133352,71.79,23305,52413,28.21,223098,99,185765,1118091,231,192,0.0,X,2022-11-09T00:13:19.148Z
1667977529,2022-11-09 01:05:29 -0600,41a86a702268ec57df877a606f8777dfeb75024d,20221108FL11128,live,83.27,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T07:04:29.381Z,228,231,98.7,18786,133352,71.79,23305,52413,28.21,223098,99,185765,1118091,228,192,0.0,X,2022-11-09T00:13:19.148Z
1667985515,2022-11-09 03:18:35 -0600,31dd34586ab7b0bee9484705570a9db12d11e661,20221108FL11128,live,96.09,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T09:17:02.765Z,228,231,98.7,18786,133352,71.79,23305,52413,28.21,193319,99,185765,1118091,228,222,0.0,X,2022-11-09T00:13:19.148Z
1667985591,2022-11-09 03:19:51 -0600,483b045d8eb45553d1fc158eaa878605708e5845,20221108FL11128,live,98.9,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T09:18:19.956Z,228,231,98.7,18786,133352,71.79,23305,52413,28.21,187835,99,185765,1118091,228,228,0.0,X,2022-11-09T00:13:19.148Z
1668015106,2022-11-09 11:31:46 -0600,90d3e1c1335a8931b636e29c902643ff6eccbab9,20221108FL11128,live,98.58,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T17:30:57.549Z,228,231,98.7,18786,133352,71.79,23305,52413,28.21,188437,99,185765,1118091,228,228,0.0,X,2022-11-09T00:13:19.148Z
1668015276,2022-11-09 11:34:36 -0600,dcda9d10235f87ec4665b5c918b5272474a1d6ee,20221108FL11128,live,98.79,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T17:33:17.829Z,228,231,98.7,18786,133352,71.79,23305,52413,28.21,188031,99,185765,1118091,228,228,0.0,X,2022-11-09T00:13:19.148Z
1668016663,2022-11-09 11:57:43 -0600,46e82c144552097453731f775f0650c1d62e5e96,20221108FL11128,live,98.79,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T17:56:36.644Z,228,231,98.7,18786,133352,71.79,23305,52413,28.21,188031,99,185765,1118091,228,228,0.0,X,2022-11-09T00:13:19.148Z
1668017165,2022-11-09 12:06:05 -0600,082aa88b5912cef98698929006425a7c1aa446a4,20221108FL11128,live,98.79,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T18:05:01.253Z,231,231,100.0,18786,133352,71.79,23305,52413,28.21,188031,99,185765,1118091,231,228,0.0,X,2022-11-09T00:13:19.148Z
1668022686,2022-11-09 13:38:06 -0600,cb56a4b22d1b4e3f8ed536ce0e6bcb83a8e9f35e,20221108FL11128,live,98.79,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T19:37:20.138Z,231,231,100.0,18786,133352,71.79,23305,52413,28.21,188031,99,185765,1118091,231,228,0.0,X,2022-11-09T00:13:19.148Z
1668033008,2022-11-09 16:30:08 -0600,472c6572149aad4c40b593e8275726a67dbbd71b,20221108FL11128,live,99.0,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T22:28:56.316Z,231,231,100.0,18786,133352,71.79,23305,52413,28.21,187642,99,185765,1118091,231,229,0.0,X,2022-11-09T00:13:19.148Z
1668039811,2022-11-09 18:23:31 -0600,5c08b47e4f685cb50f92b349d1fbd25d05708a9b,20221108FL11128,live,99.0,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-10T00:22:40.146Z,231,231,100.0,18786,133352,71.79,23305,52413,28.21,187642,99,185765,1118091,231,229,0.0,X,2022-11-09T00:13:19.148Z
1668043140,2022-11-09 19:19:00 -0600,9e222f73939c5b6d80153ab798d2943be282471d,20221108FL11128,live,99.0,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-10T01:17:32.741Z,231,231,100.0,18786,133352,71.79,23305,52413,28.21,187642,99,185765,1118091,231,229,0.0,X,2022-11-09T00:13:19.148Z
1668043856,2022-11-09 19:30:56 -0600,c97480a45186bd91a3cceb854e88993fe1b120a3,20221108FL11128,live,99.0,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-10T01:29:32.283Z,231,231,100.0,18786,133370,71.79,23305,52415,28.21,187642,99,185785,1118091,231,229,0.0,X,2022-11-09T00:13:19.148Z
1668116688,2022-11-10 15:44:48 -0600,aec1482f53fed895be9d6558f2764c91a206da86,20221108FL11128,live,99.0,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-10T21:43:42.250Z,231,231,100.0,18786,133370,71.79,23305,52415,28.21,187642,99,185785,1118091,231,229,0.0,X,2022-11-09T00:13:19.148Z
1668124690,2022-11-10 17:58:10 -0600,9c765b49f8c66153097719ed3f31367c8822f316,20221108FL11128,live,99.0,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-10T23:56:48.820Z,231,231,100.0,18786,133372,71.79,23305,52415,28.21,187642,99,185787,1118091,231,229,0.0,X,2022-11-09T00:13:19.148Z
1668184917,2022-11-11 10:41:57 -0600,a87e487687ee012b01db44c5bb053a16f7e3be93,20221108FL11128,live,99.0,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-11T16:41:08.406Z,231,231,100.0,18786,133372,71.79,23305,52415,28.21,187642,99,185787,1118091,231,229,0.0,X,2022-11-09T00:13:19.148Z
1668211558,2022-11-11 18:05:58 -0600,eb59cbea94ea39fec8ebcc032c6fc06a14cdcb64,20221108FL11128,live,99.0,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-12T00:04:40.449Z,229,231,99.13,18786,133377,71.79,23305,52419,28.21,187642,99,185796,1118091,231,229,0.0,X,2022-11-09T00:13:19.148Z
1668302375,2022-11-12 19:19:35 -0600,f3a168ecfdafe3e4db02dcc5d53c4a5d15db62c0,20221108FL11128,live,99.0,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-13T01:18:39.592Z,229,231,99.13,18786,133410,71.78,23305,52442,28.22,187642,99,185852,1118091,231,229,0.0,X,2022-11-09T00:13:19.148Z
1668438623,2022-11-14 09:10:23 -0600,09e4232a1c7729d136971bbe3f7b2e0068252630,20221108FL11128,live,99.0,FL,Florida,10,1,2022-11-09T00:00:00.000Z,state,0,2022-11-14T15:09:44.050Z,229,231,99.13,18786,133410,71.78,23305,52442,28.22,187642,99,185852,1118091,231,229,0.0,X,2022-11-09T00:13:19.148Z
