captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.18786.first,candidates.18786.last,candidates.18786.party,candidates.18786.incumbent,candidates.18786.candidateID,candidates.18786.polID,candidates.18786.ballotOrder,candidates.18786.polNum,candidates.18786.electWon,candidates.23305.first,candidates.23305.last,candidates.23305.party,candidates.23305.candidateID,candidates.23305.polID,candidates.23305.ballotOrder,candidates.23305.polNum,candidates.23305.electWon,candidates.18786.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,FL-20221108_Eday62,10,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 24,24,237416,99,0,1118091,True,20221108FL11128,2022-11-08,FL,18786,Frederica,Wilson,Dem,True,18786,53086,1,11718,0,Jesus,Navarro,GOP,23305,71627,2,15760,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,FL-20221108_Eday80,10,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 24,24,247452,99,0,1118091,True,20221108FL11128,2022-11-08,FL,18786,Frederica,Wilson,Dem,True,18786,53086,1,11718,0,Jesus,Navarro,GOP,23305,71627,2,15760,0,
1667953197,2022-11-09 00:19:57 +0000,4752cb39f35c63d02e72237179350aec6f014171,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 24,24,212474,99,121650,1118091,True,20221108FL11128,2022-11-08,FL,18786,Frederica,Wilson,Dem,True,18786,53086,1,11718,0,Jesus,Navarro,GOP,23305,71627,2,15760,0,
1667954884,2022-11-09 00:48:04 +0000,8f544a76833fbb21dc3fbc0ce7b73e3714be8529,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 24,24,212474,99,128508,1118091,True,20221108FL11128,2022-11-08,FL,18786,Frederica,Wilson,Dem,True,18786,53086,1,11718,0,Jesus,Navarro,GOP,23305,71627,2,15760,0,
1667955430,2022-11-09 00:57:10 +0000,e9bf9bc2954735d2abe72015bd1ac602b27e7679,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 24,24,212474,99,144570,1118091,True,20221108FL11128,2022-11-08,FL,18786,Frederica,Wilson,Dem,True,18786,53086,1,11718,0,Jesus,Navarro,GOP,23305,71627,2,15760,0,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 24,24,212474,99,168991,1118091,True,20221108FL11128,2022-11-08,FL,18786,Frederica,Wilson,Dem,True,18786,53086,1,11718,0,Jesus,Navarro,GOP,23305,71627,2,15760,0,2022-11-09T00:13:19.148Z
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 24,24,223098,99,175766,1118091,True,20221108FL11128,2022-11-08,FL,18786,Frederica,Wilson,Dem,True,18786,53086,1,11718,0,Jesus,Navarro,GOP,23305,71627,2,15760,0,2022-11-09T00:13:19.148Z
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 24,24,223098,99,177231,1118091,True,20221108FL11128,2022-11-08,FL,18786,Frederica,Wilson,Dem,True,18786,53086,1,11718,0,Jesus,Navarro,GOP,23305,71627,2,15760,0,2022-11-09T00:13:19.148Z
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 24,24,223098,99,177246,1118091,True,20221108FL11128,2022-11-08,FL,18786,Frederica,Wilson,Dem,True,18786,53086,1,11718,0,Jesus,Navarro,GOP,23305,71627,2,15760,0,2022-11-09T00:13:19.148Z
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 24,24,223098,99,177725,1118091,True,20221108FL11128,2022-11-08,FL,18786,Frederica,Wilson,Dem,True,18786,53086,1,11718,0,Jesus,Navarro,GOP,23305,71627,2,15760,0,2022-11-09T00:13:19.148Z
