captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.22632.first,candidates.22632.last,candidates.22632.abbrv,candidates.22632.party,candidates.22632.candidateID,candidates.22632.polID,candidates.22632.ballotOrder,candidates.22632.polNum,candidates.22632.electWon,candidates.22638.first,candidates.22638.last,candidates.22638.abbrv,candidates.22638.party,candidates.22638.candidateID,candidates.22638.polID,candidates.22638.ballotOrder,candidates.22638.polNum,candidates.22638.electWon,candidates.22638.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,GA-20221108_Eday62,11,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 6,6,384154,99,0,846667,True,20221108GA12547,2022-11-08,GA,Bob,Christian,Christin,Dem,22632,70389,2,15996,0,Rich,McCormick,McCormck,GOP,22638,68907,1,15686,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,GA-20221108_Eday81,11,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 6,6,363087,99,0,847099,True,20221108GA12547,2022-11-08,GA,Bob,Christian,Christin,Dem,22632,70389,2,15996,0,Rich,McCormick,McCormck,GOP,22638,68907,1,15686,0,
1667952827,2022-11-09 00:13:47 +0000,e67364b5505081c4cca0f28ef8e8d84768d1cc02,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,363087,99,66566,847099,True,20221108GA12547,2022-11-08,GA,Bob,Christian,Christin,Dem,22632,70389,2,15996,0,Rich,McCormick,McCormck,GOP,22638,68907,1,15686,0,
1667953197,2022-11-09 00:19:57 +0000,4752cb39f35c63d02e72237179350aec6f014171,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,363087,99,0,847099,True,20221108GA12547,2022-11-08,GA,Bob,Christian,Christin,Dem,22632,70389,2,15996,0,Rich,McCormick,McCormck,GOP,22638,68907,1,15686,0,
1667953518,2022-11-09 00:25:18 +0000,c5fd4e03c2339afc5fd044a64f91f261b7e7cfa1,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,363087,99,66566,847099,True,20221108GA12547,2022-11-08,GA,Bob,Christian,Christin,Dem,22632,70389,2,15996,0,Rich,McCormick,McCormck,GOP,22638,68907,1,15686,0,
1667954620,2022-11-09 00:43:40 +0000,390deeca213dc77033625c9727e9139ac530f13c,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,363087,99,67455,847099,True,20221108GA12547,2022-11-08,GA,Bob,Christian,Christin,Dem,22632,70389,2,15996,0,Rich,McCormick,McCormck,GOP,22638,68907,1,15686,0,
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,363087,99,82297,847099,True,20221108GA12547,2022-11-08,GA,Bob,Christian,Christin,Dem,22632,70389,2,15996,0,Rich,McCormick,McCormck,GOP,22638,68907,1,15686,0,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,363087,99,83209,847099,True,20221108GA12547,2022-11-08,GA,Bob,Christian,Christin,Dem,22632,70389,2,15996,0,Rich,McCormick,McCormck,GOP,22638,68907,1,15686,0,
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,363087,99,113674,847099,True,20221108GA12547,2022-11-08,GA,Bob,Christian,Christin,Dem,22632,70389,2,15996,0,Rich,McCormick,McCormck,GOP,22638,68907,1,15686,0,
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,363087,99,114343,847099,True,20221108GA12547,2022-11-08,GA,Bob,Christian,Christin,Dem,22632,70389,2,15996,0,Rich,McCormick,McCormck,GOP,22638,68907,1,15686,0,
