captureTimestamp,captureDateTime,captureRevision,statePostal,reportingunitID,reportingunitLevel,pollClosingTime,level,fipsCode,electTotal,lastUpdated,precinctsReporting,eevp,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,candidates.2.candidateID,candidates.2.voteCount,candidates.2.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,HI,15007,2,2022-11-09T05:00:00.000Z,FIPSCode,15007,0,2022-11-07T03:04:01.709Z,0,0.0,16,0,20041,0,0.0,20383,0,0.0,20004,0,0.0,25172,99,0,44594,0,0
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,HI,15007,2,2022-11-09T05:00:00.000Z,FIPSCode,15007,0,2022-11-08T20:52:44.769Z,0,0.0,16,0,20041,0,0.0,20383,0,0.0,20004,0,0.0,25172,99,0,44594,0,0
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,HI,15007,2,2022-11-09T05:00:00.000Z,FIPSCode,15007,0,2022-11-09T01:25:17.000Z,0,0.0,16,0,20041,0,0.0,20383,0,0.0,20004,0,0.0,29087,99,0,44594,0,0
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,HI,15007,2,2022-11-09T05:00:00.000Z,FIPSCode,15007,0,2022-11-09T01:25:17.000Z,0,0.0,16,0,20041,0,0.0,20383,0,0.0,20004,0,0.0,29087,99,0,44594,0,0
1667970071,2022-11-08 23:01:11 -0600,dbae837cbbaf1f3aaf9390e6aaa3521af778ad97,HI,15007,2,2022-11-09T05:00:00.000Z,FIPSCode,15007,0,2022-11-09T01:25:17.000Z,0,0.0,16,0,20041,0,0.0,20383,0,0.0,20004,0,0.0,29087,99,0,44594,0,0
1667975154,2022-11-09 00:25:54 -0600,e385cf3ed45230deb4315fbba874f4f4144f56b6,HI,15007,2,2022-11-09T05:00:00.000Z,FIPSCode,15007,0,2022-11-09T06:24:39.966Z,7,45.47,16,0,20041,9373,70.87,20004,3627,27.42,20383,226,1.71,29087,99,13226,44594,0,7
1667975609,2022-11-09 00:33:29 -0600,62fa28ab1db323241f81f05574f15005f7d100fe,HI,15007,2,2022-11-09T05:00:00.000Z,FIPSCode,15007,0,2022-11-09T06:32:01.723Z,7,45.47,16,0,20041,9373,70.87,20004,3627,27.42,20383,226,1.71,29087,99,13226,44594,0,7
1667976061,2022-11-09 00:41:01 -0600,2426095677e6aeddf8c3a2913a97b500b67dca61,HI,15007,2,2022-11-09T05:00:00.000Z,FIPSCode,15007,0,2022-11-09T06:40:03.034Z,16,98.0,16,0,20041,9373,70.87,20004,3627,27.42,20383,226,1.71,13496,99,13226,44594,0,16
1667976590,2022-11-09 00:49:50 -0600,94cc860afa532570fe1eea1ef2140983ffb9d8e8,HI,15007,2,2022-11-09T05:00:00.000Z,FIPSCode,15007,0,2022-11-09T06:40:03.034Z,16,98.0,16,0,20041,9373,70.87,20004,3627,27.42,20383,226,1.71,13496,99,13226,44594,0,16
1667980452,2022-11-09 01:54:12 -0600,8582b289a5585f5144f1456aab265e4a7ab9ddc5,HI,15007,2,2022-11-09T05:00:00.000Z,FIPSCode,15007,0,2022-11-09T07:49:44.913Z,0,99.0,16,0,20041,10795,66.91,20004,5053,31.32,20383,286,1.77,13496,99,16134,44594,0,16
1667981123,2022-11-09 02:05:23 -0600,cab57d2c03fab6367d8f4209c67e475f346b5a09,HI,15007,2,2022-11-09T05:00:00.000Z,FIPSCode,15007,0,2022-11-09T07:49:44.913Z,0,99.0,16,0,20041,10795,66.91,20004,5053,31.32,20383,286,1.77,13496,99,16134,44594,0,16
1667981603,2022-11-09 02:13:23 -0600,3310dbe8867ffe9b16ad80e27a2817750d56a0d9,HI,15007,2,2022-11-09T05:00:00.000Z,FIPSCode,15007,0,2022-11-09T08:12:21.991Z,0,99.0,16,0,20041,10795,66.91,20004,5053,31.32,20383,286,1.77,13496,99,16134,44594,0,16
1667981845,2022-11-09 02:17:25 -0600,7e68193d40ccd008289f64ac07d8a8176d00c571,HI,15007,2,2022-11-09T05:00:00.000Z,FIPSCode,15007,0,2022-11-09T08:16:18.038Z,0,90.0,16,0,20041,10795,66.91,20004,5053,31.32,20383,286,1.77,17927,99,16134,44594,0,14
1667981884,2022-11-09 02:18:04 -0600,1d01d3e7b1a7d975fd5163dbde647aabc94b3598,HI,15007,2,2022-11-09T05:00:00.000Z,FIPSCode,15007,0,2022-11-09T08:16:18.038Z,0,90.0,16,0,20041,10795,66.91,20004,5053,31.32,20383,286,1.77,17927,99,16134,44594,0,14
1667982557,2022-11-09 02:29:17 -0600,5e236ebaa7ca1e499bf98e18c0b29e2f61478c37,HI,15007,2,2022-11-09T05:00:00.000Z,FIPSCode,15007,0,2022-11-09T08:17:06.818Z,0,90.0,16,0,20041,10795,66.91,20004,5053,31.32,20383,286,1.77,17927,99,16134,44594,0,14
1667983190,2022-11-09 02:39:50 -0600,33d66fac29e7b6dbaed9d0c4d2c158e412e07a74,HI,15007,2,2022-11-09T05:00:00.000Z,FIPSCode,15007,0,2022-11-09T08:17:06.818Z,0,90.0,16,0,20041,10795,66.91,20004,5053,31.32,20383,286,1.77,17927,99,16134,44594,0,14
1668083769,2022-11-10 06:36:09 -0600,0d91a51a70e9adff04f14bf612e249dd60f2c99b,HI,15007,2,2022-11-09T05:00:00.000Z,FIPSCode,15007,0,2022-11-09T08:17:06.818Z,0,90.0,16,0,20041,10795,66.91,20004,5053,31.32,20383,286,1.77,17927,99,16134,44594,0,14
1668083849,2022-11-10 06:37:29 -0600,6296bff6087e1efaaeae83549b78a9298df6cba2,HI,15007,2,2022-11-09T05:00:00.000Z,FIPSCode,15007,0,2022-11-09T08:17:06.818Z,0,90.0,16,0,20041,10795,66.91,20004,5053,31.32,20383,286,1.77,17927,99,16134,44594,0,14
1668084020,2022-11-10 06:40:20 -0600,7dc22af1c3fcb42b88c354a9369067b3382a8860,HI,15007,2,2022-11-09T05:00:00.000Z,FIPSCode,15007,0,2022-11-09T08:17:06.818Z,0,90.0,16,0,20041,10795,66.91,20004,5053,31.32,20383,286,1.77,17927,99,16134,44594,0,14
