captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,candidates.2.candidateID,candidates.2.voteCount,candidates.2.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.0.winner,candidates.0.calledAt
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108HI12008,live,0.0,HI,Hawaii,12,1,2022-11-09T05:00:00.000Z,state,0,2022-11-07T03:04:01.705Z,0,171,0,20041,0,0.0,20383,0,0.0,20004,0,0.0,203665,99,0,601447,0,0,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108HI12008,live,0.0,HI,Hawaii,12,1,2022-11-09T05:00:00.000Z,state,0,2022-11-08T20:52:44.776Z,0,171,0,20041,0,0.0,20383,0,0.0,20004,0,0.0,203665,99,0,601447,0,0,,,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,20221108HI12008,live,0.0,HI,Hawaii,12,1,2022-11-09T05:00:00.000Z,state,0,2022-11-09T01:25:17.358Z,0,171,0,20041,0,0.0,20383,0,0.0,20004,0,0.0,205531,99,0,601447,0,0,,,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,20221108HI12008,live,0.0,HI,Hawaii,12,1,2022-11-09T05:00:00.000Z,state,0,2022-11-09T01:31:49.989Z,0,171,0,20041,0,0.0,20383,0,0.0,20004,0,0.0,204246,99,0,601447,0,0,,,
1667970071,2022-11-08 23:01:11 -0600,dbae837cbbaf1f3aaf9390e6aaa3521af778ad97,20221108HI12008,live,0.0,HI,Hawaii,12,1,2022-11-09T05:00:00.000Z,state,0,2022-11-09T05:00:05.981Z,0,171,0,20041,0,0.0,20383,0,0.0,20004,0,0.0,204246,99,0,601447,0,0,,,
1667975154,2022-11-09 00:25:54 -0600,e385cf3ed45230deb4315fbba874f4f4144f56b6,20221108HI12008,live,72.59,HI,Hawaii,12,1,2022-11-09T05:00:00.000Z,state,0,2022-11-09T06:24:39.980Z,0,171,0,20041,98827,66.66,20004,45971,31.01,20383,3462,2.34,204246,99,148260,601447,0,124,0.0,,
1667975609,2022-11-09 00:33:29 -0600,62fa28ab1db323241f81f05574f15005f7d100fe,20221108HI12008,live,72.59,HI,Hawaii,12,1,2022-11-09T05:00:00.000Z,state,0,2022-11-09T06:32:01.723Z,0,171,0,20041,98827,66.66,20004,45971,31.01,20383,3462,2.34,204246,99,148260,601447,0,124,0.0,X,2022-11-09T06:32:00.488Z
1667976061,2022-11-09 00:41:01 -0600,2426095677e6aeddf8c3a2913a97b500b67dca61,20221108HI12008,live,82.82,HI,Hawaii,12,1,2022-11-09T05:00:00.000Z,state,0,2022-11-09T06:40:09.707Z,0,171,0,20041,98827,66.66,20004,45971,31.01,20383,3462,2.34,179024,99,148260,601447,0,142,0.0,X,2022-11-09T06:32:00.488Z
1667976590,2022-11-09 00:49:50 -0600,94cc860afa532570fe1eea1ef2140983ffb9d8e8,20221108HI12008,live,82.82,HI,Hawaii,12,1,2022-11-09T05:00:00.000Z,state,0,2022-11-09T06:48:53.134Z,0,171,0,20041,98827,66.66,20004,45971,31.01,20383,3462,2.34,179024,99,148260,601447,0,142,0.0,X,2022-11-09T06:32:00.488Z
1667980452,2022-11-09 01:54:12 -0600,8582b289a5585f5144f1456aab265e4a7ab9ddc5,20221108HI12008,live,93.08,HI,Hawaii,12,1,2022-11-09T05:00:00.000Z,state,0,2022-11-09T07:50:47.058Z,0,171,0,20041,106774,64.07,20004,55932,33.56,20383,3936,2.36,179024,99,166642,601447,0,159,0.0,X,2022-11-09T06:32:00.488Z
1667981123,2022-11-09 02:05:23 -0600,cab57d2c03fab6367d8f4209c67e475f346b5a09,20221108HI12008,live,93.08,HI,Hawaii,12,1,2022-11-09T05:00:00.000Z,state,0,2022-11-09T08:03:17.925Z,0,171,0,20041,106774,64.07,20004,55932,33.56,20383,3936,2.36,179024,99,166642,601447,0,159,0.0,X,2022-11-09T06:32:00.488Z
1667981603,2022-11-09 02:13:23 -0600,3310dbe8867ffe9b16ad80e27a2817750d56a0d9,20221108HI12008,live,93.08,HI,Hawaii,12,1,2022-11-09T05:00:00.000Z,state,0,2022-11-09T08:12:21.935Z,0,171,0,20041,106774,64.07,20004,55932,33.56,20383,3936,2.36,179024,99,166642,601447,0,159,0.0,X,2022-11-09T06:32:00.488Z
1667981845,2022-11-09 02:17:25 -0600,7e68193d40ccd008289f64ac07d8a8176d00c571,20221108HI12008,live,89.94,HI,Hawaii,12,1,2022-11-09T05:00:00.000Z,state,0,2022-11-09T08:16:18.038Z,0,171,0,20041,106774,64.07,20004,55932,33.56,20383,3936,2.36,185273,99,166642,601447,0,154,0.0,X,2022-11-09T06:32:00.488Z
1667981884,2022-11-09 02:18:04 -0600,1d01d3e7b1a7d975fd5163dbde647aabc94b3598,20221108HI12008,live,89.94,HI,Hawaii,12,1,2022-11-09T05:00:00.000Z,state,0,2022-11-09T08:17:04.830Z,0,171,0,20041,106774,64.07,20004,55932,33.56,20383,3936,2.36,185273,99,166642,601447,0,154,0.0,X,2022-11-09T06:32:00.488Z
1667982557,2022-11-09 02:29:17 -0600,5e236ebaa7ca1e499bf98e18c0b29e2f61478c37,20221108HI12008,live,89.94,HI,Hawaii,12,1,2022-11-09T05:00:00.000Z,state,0,2022-11-09T08:28:27.311Z,0,171,0,20041,106774,64.07,20004,55932,33.56,20383,3936,2.36,185273,99,166642,601447,0,154,0.0,X,2022-11-09T06:32:00.488Z
1667983190,2022-11-09 02:39:50 -0600,33d66fac29e7b6dbaed9d0c4d2c158e412e07a74,20221108HI12008,live,89.94,HI,Hawaii,12,1,2022-11-09T05:00:00.000Z,state,0,2022-11-09T08:34:44.150Z,0,171,0,20041,106774,64.07,20004,55932,33.56,20383,3936,2.36,185273,99,166642,601447,0,154,0.0,X,2022-11-09T06:32:00.488Z
1668083769,2022-11-10 06:36:09 -0600,0d91a51a70e9adff04f14bf612e249dd60f2c99b,20221108HI12008,live,89.94,HI,Hawaii,12,1,2022-11-09T05:00:00.000Z,state,0,2022-11-10T12:35:03.786Z,0,171,0,20041,106774,64.07,20004,55932,33.56,20383,3936,2.36,185273,99,166642,601447,0,154,0.0,X,2022-11-09T06:32:00.488Z
1668083849,2022-11-10 06:37:29 -0600,6296bff6087e1efaaeae83549b78a9298df6cba2,20221108HI12008,live,95.39,HI,Hawaii,12,1,2022-11-09T05:00:00.000Z,state,0,2022-11-10T12:36:37.955Z,0,171,0,20041,111494,63.09,20004,61067,34.55,20383,4174,2.36,185273,99,176735,601447,0,163,0.0,X,2022-11-09T06:32:00.488Z
1668084020,2022-11-10 06:40:20 -0600,7dc22af1c3fcb42b88c354a9369067b3382a8860,20221108HI12008,live,95.39,HI,Hawaii,12,1,2022-11-09T05:00:00.000Z,state,0,2022-11-10T12:39:11.208Z,0,171,0,20041,111494,63.09,20004,61067,34.55,20383,4174,2.36,185273,99,176735,601447,0,163,0.0,X,2022-11-09T06:32:00.488Z
1668084942,2022-11-10 06:55:42 -0600,daf6a68e3f13774ff01d46d5f6a3aa2fa79f25af,20221108HI12008,live,99.0,HI,Hawaii,12,1,2022-11-09T05:00:00.000Z,state,0,2022-11-10T12:54:48.459Z,0,171,0,20041,120541,62.68,20004,67103,34.89,20383,4677,2.43,185273,99,192321,601447,0,169,0.0,X,2022-11-09T06:32:00.488Z
1668085235,2022-11-10 07:00:35 -0600,5c516e089efda7aaeb6cfb0c7afd6fa8428e5a90,20221108HI12008,live,99.0,HI,Hawaii,12,1,2022-11-09T05:00:00.000Z,state,0,2022-11-10T12:59:31.717Z,0,171,0,20041,120541,62.68,20004,67103,34.89,20383,4677,2.43,185273,99,192321,601447,0,169,0.0,X,2022-11-09T06:32:00.488Z
1668085494,2022-11-10 07:04:54 -0600,edf2549419bc69215ba6a02dbc0c2745e2f0c5a5,20221108HI12008,live,99.0,HI,Hawaii,12,1,2022-11-09T05:00:00.000Z,state,0,2022-11-10T13:03:32.188Z,0,171,0,20041,124311,62.38,20004,70037,35.14,20383,4936,2.48,185273,99,199284,601447,0,169,0.0,X,2022-11-09T06:32:00.488Z
1668085656,2022-11-10 07:07:36 -0600,dc470b67adea63da06451aab9a2e7e49e46371ef,20221108HI12008,live,99.0,HI,Hawaii,12,1,2022-11-09T05:00:00.000Z,state,0,2022-11-10T13:06:19.332Z,0,171,0,20041,127995,62.27,20004,72455,35.25,20383,5108,2.48,185273,99,205558,601447,0,169,0.0,X,2022-11-09T06:32:00.488Z
