captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.18740.first,candidates.18740.last,candidates.18740.incumbent,candidates.18740.party,candidates.18740.candidateID,candidates.18740.ballotOrder,candidates.18740.polID,candidates.18740.polNum,candidates.18740.electWon,candidates.19997.first,candidates.19997.last,candidates.19997.abbrv,candidates.19997.party,candidates.19997.candidateID,candidates.19997.ballotOrder,candidates.19997.polID,candidates.19997.polNum,candidates.19997.electWon,candidates.20380.first,candidates.20380.last,candidates.20380.party,candidates.20380.candidateID,candidates.20380.ballotOrder,candidates.20380.polID,candidates.20380.polNum,candidates.20380.electWon,candidates.20381.first,candidates.20381.last,candidates.20381.party,candidates.20381.candidateID,candidates.20381.ballotOrder,candidates.20381.polID,candidates.20381.polNum,candidates.20381.electWon,candidates.20382.first,candidates.20382.last,candidates.20382.party,candidates.20382.candidateID,candidates.20382.ballotOrder,candidates.20382.polID,candidates.20382.polNum,candidates.20382.electWon,candidates.18740.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,HI-20221108_Eday80,12,General,G,Awaiting Poll Close,Too Early to Call,S,U.S. Senate,Brian,Schatz,Dem,18740,53354,13221,True,True,True,440000,99,0,853874,True,20221108HI12211,2022-11-08,HI,18740,Brian,Schatz,True,Dem,18740,1,53354,13221,0,Bob,McDermott,McDrmtt,GOP,19997,2,1591,14662,0,Feena,Bonoan,Lib,20380,3,71491,15326,0,Emma,Pohlman,Grn,20381,5,71492,15482,0,Dan,Decker,AAP,20382,4,71799,15548,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,HI-20221108_Eday82,12,General,G,Awaiting Poll Close,Too Early to Call,S,U.S. Senate,Brian,Schatz,Dem,18740,53354,13221,True,True,True,410386,99,0,780343,True,20221108HI12211,2022-11-08,HI,18740,Brian,Schatz,True,Dem,18740,1,53354,13221,0,Bob,McDermott,McDrmtt,GOP,19997,2,1591,14662,0,Feena,Bonoan,Lib,20380,3,71491,15326,0,Emma,Pohlman,Grn,20381,5,71492,15482,0,Dan,Decker,AAP,20382,4,71799,15548,0,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,HI-20221108_Eday82,12,General,G,Awaiting Poll Close,Too Early to Call,S,U.S. Senate,Brian,Schatz,Dem,18740,53354,13221,True,True,True,425000,99,0,853874,True,20221108HI12211,2022-11-08,HI,18740,Brian,Schatz,True,Dem,18740,1,53354,13221,0,Bob,McDermott,McDrmtt,GOP,19997,2,1591,14662,0,Feena,Bonoan,Lib,20380,3,71491,15326,0,Emma,Pohlman,Grn,20381,5,71492,15482,0,Dan,Decker,AAP,20382,4,71799,15548,0,
1667970327,2022-11-08 23:05:27 -0600,1b6c4725cf9e59e40e1d6792336f8520d5b10b5b,HI-20221108_Eday82,12,General,G,Polls Closed/Waiting First Report,Called,S,U.S. Senate,Brian,Schatz,Dem,18740,53354,13221,True,True,True,425000,99,0,853874,True,20221108HI12211,2022-11-08,HI,18740,Brian,Schatz,True,Dem,18740,1,53354,13221,0,Bob,McDermott,McDrmtt,GOP,19997,2,1591,14662,0,Feena,Bonoan,Lib,20380,3,71491,15326,0,Emma,Pohlman,Grn,20381,5,71492,15482,0,Dan,Decker,AAP,20382,4,71799,15548,0,2022-11-09T05:00:05.214Z
1667975484,2022-11-09 00:31:24 -0600,81d3631081e4e7b24b990567f86cc67079a95e6c,HI-20221108_Eday82,12,General,G,Active Tabulation,Called,S,U.S. Senate,Brian,Schatz,Dem,18740,53354,13221,True,True,True,425000,99,304131,853874,True,20221108HI12211,2022-11-08,HI,18740,Brian,Schatz,True,Dem,18740,1,53354,13221,0,Bob,McDermott,McDrmtt,GOP,19997,2,1591,14662,0,Feena,Bonoan,Lib,20380,3,71491,15326,0,Emma,Pohlman,Grn,20381,5,71492,15482,0,Dan,Decker,AAP,20382,4,71799,15548,0,2022-11-09T05:00:05.214Z
1667976306,2022-11-09 00:45:06 -0600,a65306ebcf7e41c11b1557bbe78229c6107820ce,HI-20221108_Eday82,12,General,G,Active Tabulation,Called,S,U.S. Senate,Brian,Schatz,Dem,18740,53354,13221,True,True,True,394975,99,304131,853874,True,20221108HI12211,2022-11-08,HI,18740,Brian,Schatz,True,Dem,18740,1,53354,13221,0,Bob,McDermott,McDrmtt,GOP,19997,2,1591,14662,0,Feena,Bonoan,Lib,20380,3,71491,15326,0,Emma,Pohlman,Grn,20381,5,71492,15482,0,Dan,Decker,AAP,20382,4,71799,15548,0,2022-11-09T05:00:05.214Z
1667980588,2022-11-09 01:56:28 -0600,0c7fd85934c29b9de74f428a2225a74f565ce18c,HI-20221108_Eday82,12,General,G,Active Tabulation,Called,S,U.S. Senate,Brian,Schatz,Dem,18740,53354,13221,True,True,True,394975,99,341945,853874,True,20221108HI12211,2022-11-08,HI,18740,Brian,Schatz,True,Dem,18740,1,53354,13221,0,Bob,McDermott,McDrmtt,GOP,19997,2,1591,14662,0,Feena,Bonoan,Lib,20380,3,71491,15326,0,Emma,Pohlman,Grn,20381,5,71492,15482,0,Dan,Decker,AAP,20382,4,71799,15548,0,2022-11-09T05:00:05.214Z
1667981483,2022-11-09 02:11:23 -0600,71b7e139fa561afc8a43f66a3db53706a14f3cc6,HI-20221108_Eday82,12,General,G,Active Tabulation,Called,S,U.S. Senate,Brian,Schatz,Dem,18740,53354,13221,True,True,True,394975,99,345008,853874,True,20221108HI12211,2022-11-08,HI,18740,Brian,Schatz,True,Dem,18740,1,53354,13221,0,Bob,McDermott,McDrmtt,GOP,19997,2,1591,14662,0,Feena,Bonoan,Lib,20380,3,71491,15326,0,Emma,Pohlman,Grn,20381,5,71492,15482,0,Dan,Decker,AAP,20382,4,71799,15548,0,2022-11-09T05:00:05.214Z
1668084521,2022-11-10 06:48:41 -0600,1b055e6448619f258bc6e115abb634ab0228b4de,HI-20221108_Eday82,12,General,G,Active Tabulation,Called,S,U.S. Senate,Brian,Schatz,Dem,18740,53354,13221,True,True,True,394975,99,376830,853874,True,20221108HI12211,2022-11-08,HI,18740,Brian,Schatz,True,Dem,18740,1,53354,13221,0,Bob,McDermott,McDrmtt,GOP,19997,2,1591,14662,0,Feena,Bonoan,Lib,20380,3,71491,15326,0,Emma,Pohlman,Grn,20381,5,71492,15482,0,Dan,Decker,AAP,20382,4,71799,15548,0,2022-11-09T05:00:05.214Z
1668085357,2022-11-10 07:02:37 -0600,43aa92f06eda13a16081c40477b841ce23fa491f,HI-20221108_Eday82,12,General,G,Active Tabulation,Called,S,U.S. Senate,Brian,Schatz,Dem,18740,53354,13221,True,True,True,394975,99,392842,853874,True,20221108HI12211,2022-11-08,HI,18740,Brian,Schatz,True,Dem,18740,1,53354,13221,0,Bob,McDermott,McDrmtt,GOP,19997,2,1591,14662,0,Feena,Bonoan,Lib,20380,3,71491,15326,0,Emma,Pohlman,Grn,20381,5,71492,15482,0,Dan,Decker,AAP,20382,4,71799,15548,0,2022-11-09T05:00:05.214Z
