captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.23717.first,candidates.23717.last,candidates.23717.incumbent,candidates.23717.party,candidates.23717.candidateID,candidates.23717.ballotOrder,candidates.23717.polID,candidates.23717.polNum,candidates.23717.electWon,candidates.23718.first,candidates.23718.last,candidates.23718.party,candidates.23718.candidateID,candidates.23718.ballotOrder,candidates.23718.polID,candidates.23718.polNum,candidates.23718.electWon,candidates.23717.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,IA-20221108_Eday80,16,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 2,2,263497,99,0,871389,True,20221108IA17072,2022-11-08,IA,23717,Ashley,Hinson,True,GOP,23717,1,68744,18970,0,Liz,Mathis,Dem,23718,2,18570,18570,0,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,IA-20221108_Eday80,16,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,263497,99,0,871389,True,20221108IA17072,2022-11-08,IA,23717,Ashley,Hinson,True,GOP,23717,1,68744,18970,0,Liz,Mathis,Dem,23718,2,18570,18570,0,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,IA-20221108_Eday80,16,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,271344,99,22038,871389,True,20221108IA17072,2022-11-08,IA,23717,Ashley,Hinson,True,GOP,23717,1,68744,18970,0,Liz,Mathis,Dem,23718,2,18570,18570,0,
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,IA-20221108_Eday80,16,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,271344,99,24136,871389,True,20221108IA17072,2022-11-08,IA,23717,Ashley,Hinson,True,GOP,23717,1,68744,18970,0,Liz,Mathis,Dem,23718,2,18570,18570,0,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,IA-20221108_Eday80,16,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,271344,99,25783,871389,True,20221108IA17072,2022-11-08,IA,23717,Ashley,Hinson,True,GOP,23717,1,68744,18970,0,Liz,Mathis,Dem,23718,2,18570,18570,0,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,IA-20221108_Eday80,16,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,312912,99,39388,871389,True,20221108IA17072,2022-11-08,IA,23717,Ashley,Hinson,True,GOP,23717,1,68744,18970,0,Liz,Mathis,Dem,23718,2,18570,18570,0,
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,IA-20221108_Eday80,16,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,315845,99,56737,871389,True,20221108IA17072,2022-11-08,IA,23717,Ashley,Hinson,True,GOP,23717,1,68744,18970,0,Liz,Mathis,Dem,23718,2,18570,18570,0,
1667965148,2022-11-09 03:39:08 +0000,6fdfe90630de6ba7d3077daaa37563b39e419cfc,IA-20221108_Eday80,16,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,290078,99,73492,871389,True,20221108IA17072,2022-11-08,IA,23717,Ashley,Hinson,True,GOP,23717,1,68744,18970,0,Liz,Mathis,Dem,23718,2,18570,18570,0,
1667966001,2022-11-09 03:53:21 +0000,cee0a612753351ddb30fde2a157613da20f2be01,IA-20221108_Eday80,16,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,296072,99,89073,871389,True,20221108IA17072,2022-11-08,IA,23717,Ashley,Hinson,True,GOP,23717,1,68744,18970,0,Liz,Mathis,Dem,23718,2,18570,18570,0,
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,IA-20221108_Eday80,16,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,296072,99,197633,871389,True,20221108IA17072,2022-11-08,IA,23717,Ashley,Hinson,True,GOP,23717,1,68744,18970,0,Liz,Mathis,Dem,23718,2,18570,18570,0,
