captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.18860.first,candidates.18860.last,candidates.18860.incumbent,candidates.18860.party,candidates.18860.candidateID,candidates.18860.ballotOrder,candidates.18860.polID,candidates.18860.polNum,candidates.18860.electWon,candidates.19546.first,candidates.19546.last,candidates.19546.party,candidates.19546.candidateID,candidates.19546.ballotOrder,candidates.19546.polID,candidates.19546.polNum,candidates.19546.electWon,candidates.19732.first,candidates.19732.last,candidates.19732.party,candidates.19732.candidateID,candidates.19732.ballotOrder,candidates.19732.polID,candidates.19732.polNum,candidates.19732.electWon,candidates.19733.first,candidates.19733.last,candidates.19733.party,candidates.19733.candidateID,candidates.19733.ballotOrder,candidates.19733.polID,candidates.19733.polNum,candidates.19733.electWon,candidates.19822.first,candidates.19822.last,candidates.19822.party,candidates.19822.candidateID,candidates.19822.ballotOrder,candidates.19822.polID,candidates.19822.polNum,candidates.19822.electWon,candidates.18860.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,ID-20221108_Eday80,13,General,G,Awaiting Poll Close,Too Early to Call,G,Governor,Brad,Little,GOP,18860,53635,15061,True,True,True,650000,99,0,999384,True,20221108ID13676,2022-11-08,ID,18860,Brad,Little,True,GOP,18860,2,53635,15061,0,Stephen,Heidt,Dem,19546,1,70332,16509,0,Paul,Sand,Lib,19732,4,70344,16622,0,Chantyrose,Davison,CST,19733,3,70345,16623,0,Ammon,Bundy,Ind,19822,5,71538,16670,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,ID-20221108_Eday82,13,General,G,Awaiting Poll Close,Too Early to Call,G,Governor,Brad,Little,GOP,18860,53635,15061,True,True,True,635637,99,0,993982,True,20221108ID13676,2022-11-08,ID,18860,Brad,Little,True,GOP,18860,2,53635,15061,0,Stephen,Heidt,Dem,19546,1,70332,16509,0,Paul,Sand,Lib,19732,4,70344,16622,0,Chantyrose,Davison,CST,19733,3,70345,16623,0,Ammon,Bundy,Ind,19822,5,71538,16670,0,,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,ID-20221108_Eday82,13,General,G,Awaiting Poll Close,Too Early to Call,G,Governor,Brad,Little,GOP,18860,53635,15061,True,True,True,650000,99,0,999384,True,20221108ID13676,2022-11-08,ID,18860,Brad,Little,True,GOP,18860,2,53635,15061,0,Stephen,Heidt,Dem,19546,1,70332,16509,0,Paul,Sand,Lib,19732,4,70344,16622,0,Chantyrose,Davison,CST,19733,3,70345,16623,0,Ammon,Bundy,Ind,19822,5,71538,16670,0,,
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,ID-20221108_Eday82,13,General,G,Polls Closed/Waiting First Report,Called,G,Governor,Brad,Little,GOP,18860,53635,15061,True,True,True,650000,99,0,999384,True,20221108ID13676,2022-11-08,ID,18860,Brad,Little,True,GOP,18860,2,53635,15061,0,Stephen,Heidt,Dem,19546,1,70332,16509,0,Paul,Sand,Lib,19732,4,70344,16622,0,Chantyrose,Davison,CST,19733,3,70345,16623,0,Ammon,Bundy,Ind,19822,5,71538,16670,0,2022-11-09T04:00:13.484Z,
1667967681,2022-11-08 22:21:21 -0600,21dcb165d821d41661e7c4d6fbcc7bfbb94326bb,ID-20221108_Eday82,13,General,G,Active Tabulation,Called,G,Governor,Brad,Little,GOP,18860,53635,15061,True,True,True,650000,99,61573,999384,True,20221108ID13676,2022-11-08,ID,18860,Brad,Little,True,GOP,18860,2,53635,15061,0,Stephen,Heidt,Dem,19546,1,70332,16509,0,Paul,Sand,Lib,19732,4,70344,16622,0,Chantyrose,Davison,CST,19733,3,70345,16623,0,Ammon,Bundy,Ind,19822,5,71538,16670,0,2022-11-09T04:00:13.484Z,
1667968580,2022-11-08 22:36:20 -0600,8dda0f830e7e8651004cd9142ca946394c2bd364,ID-20221108_Eday82,13,General,G,Active Tabulation,Called,G,Governor,Brad,Little,GOP,18860,53635,15061,True,True,True,650000,99,92831,999384,True,20221108ID13676,2022-11-08,ID,18860,Brad,Little,True,GOP,18860,2,53635,15061,0,Stephen,Heidt,Dem,19546,1,70332,16509,0,Paul,Sand,Lib,19732,4,70344,16622,0,Chantyrose,Davison,CST,19733,3,70345,16623,0,Ammon,Bundy,Ind,19822,5,71538,16670,0,2022-11-09T04:00:13.484Z,
1667969292,2022-11-08 22:48:12 -0600,27c0128769cb9950dd2d2f7b010376c6821eb8bd,ID-20221108_Eday82,13,General,G,Active Tabulation,Called,G,Governor,Brad,Little,GOP,18860,53635,15061,True,True,True,650000,99,97124,999384,True,20221108ID13676,2022-11-08,ID,18860,Brad,Little,True,GOP,18860,2,53635,15061,0,Stephen,Heidt,Dem,19546,1,70332,16509,0,Paul,Sand,Lib,19732,4,70344,16622,0,Chantyrose,Davison,CST,19733,3,70345,16623,0,Ammon,Bundy,Ind,19822,5,71538,16670,0,2022-11-09T04:00:13.484Z,
1667970114,2022-11-08 23:01:54 -0600,68b6dbb0ab0b313af53b82f98636ce9a824bdc54,ID-20221108_Eday82,13,General,G,Active Tabulation,Called,G,Governor,Brad,Little,GOP,18860,53635,15061,True,True,True,650000,99,123380,999384,True,20221108ID13676,2022-11-08,ID,18860,Brad,Little,True,GOP,18860,2,53635,15061,0,Stephen,Heidt,Dem,19546,1,70332,16509,0,Paul,Sand,Lib,19732,4,70344,16622,0,Chantyrose,Davison,CST,19733,3,70345,16623,0,Ammon,Bundy,Ind,19822,5,71538,16670,0,2022-11-09T04:00:13.484Z,
1667970199,2022-11-08 23:03:19 -0600,f4db6dd16c878356c43dd19f6d680eb5acf90d34,ID-20221108_Eday82,13,General,G,Active Tabulation,Called,G,Governor,Brad,Little,GOP,18860,53635,15061,True,True,True,650000,99,97124,999384,True,20221108ID13676,2022-11-08,ID,18860,Brad,Little,True,GOP,18860,2,53635,15061,0,Stephen,Heidt,Dem,19546,1,70332,16509,0,Paul,Sand,Lib,19732,4,70344,16622,0,Chantyrose,Davison,CST,19733,3,70345,16623,0,Ammon,Bundy,Ind,19822,5,71538,16670,0,2022-11-09T04:00:13.484Z,
1667970241,2022-11-08 23:04:01 -0600,d53bae4b64596045c97e6eb2ac077f70fc0cec78,ID-20221108_Eday82,13,General,G,Active Tabulation,Called,G,Governor,Brad,Little,GOP,18860,53635,15061,True,True,True,650000,99,123380,999384,True,20221108ID13676,2022-11-08,ID,18860,Brad,Little,True,GOP,18860,2,53635,15061,0,Stephen,Heidt,Dem,19546,1,70332,16509,0,Paul,Sand,Lib,19732,4,70344,16622,0,Chantyrose,Davison,CST,19733,3,70345,16623,0,Ammon,Bundy,Ind,19822,5,71538,16670,0,2022-11-09T04:00:13.484Z,
1667970985,2022-11-08 23:16:25 -0600,458b8c029ed943a1966fd047ace4d102323e3185,ID-20221108_Eday82,13,General,G,Active Tabulation,Called,G,Governor,Brad,Little,GOP,18860,53635,15061,True,True,True,650000,99,146075,999384,True,20221108ID13676,2022-11-08,ID,18860,Brad,Little,True,GOP,18860,2,53635,15061,0,Stephen,Heidt,Dem,19546,1,70332,16509,0,Paul,Sand,Lib,19732,4,70344,16622,0,Chantyrose,Davison,CST,19733,3,70345,16623,0,Ammon,Bundy,Ind,19822,5,71538,16670,0,2022-11-09T04:00:13.484Z,
