captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.0.winner,candidates.0.calledAt
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108IL15998,live,0.0,IL,Illinois,14,1,2022-11-09T01:00:00.000Z,state,0,2022-11-07T20:38:22.087Z,0,437,0.0,25759,0,0.0,29265,0,0.0,246902,99,0,817568,0,0,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108IL15998,live,0.0,IL,Illinois,14,1,2022-11-09T01:00:00.000Z,state,0,2022-11-08T19:03:13.938Z,0,437,0.0,25759,0,0.0,29265,0,0.0,246902,99,0,817568,0,0,,,
1667950106,2022-11-08 23:28:26 +0000,03bd9b09dc6ae9d95766d3877a273fc07c395a68,20221108IL15998,live,0.0,IL,Illinois,14,1,2022-11-09T01:00:00.000Z,state,0,2022-11-08T23:21:53.990Z,0,437,0.0,25759,0,0.0,29265,0,0.0,246902,99,0,817568,0,0,,,
1667955153,2022-11-09 00:52:33 +0000,5dbf5007b88cfdc60ec0e8e538e0df6eb1e86637,20221108IL15998,live,0.0,IL,Illinois,14,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T00:47:35.171Z,0,437,0.0,25759,0,0.0,29265,0,0.0,246902,99,0,817568,0,0,,,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,20221108IL15998,live,0.0,IL,Illinois,14,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:04:06.097Z,0,437,0.0,25759,0,0.0,29265,0,0.0,246902,99,0,817568,0,0,,,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,20221108IL15998,live,0.0,IL,Illinois,14,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:14:27.503Z,0,437,0.0,25759,0,0.0,29265,0,0.0,246902,99,0,817568,0,0,,,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,20221108IL15998,live,0.0,IL,Illinois,14,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:28:24.231Z,0,437,0.0,25759,0,0.0,29265,0,0.0,246902,99,0,817568,0,0,,,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,20221108IL15998,live,27.63,IL,Illinois,14,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:03:10.178Z,110,437,25.17,25759,48432,70.99,29265,19789,29.01,246902,99,68221,817568,110,121,0.0,,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,20221108IL15998,live,30.59,IL,Illinois,14,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:17:39.038Z,123,437,28.15,25759,54674,72.38,29265,20860,27.62,246902,99,75534,817568,123,134,0.0,,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,20221108IL15998,live,56.34,IL,Illinois,14,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:30:50.801Z,245,437,56.06,25759,103846,74.65,29265,35269,25.35,246902,99,139115,817568,245,246,0.0,,
