captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.27492.first,candidates.27492.last,candidates.27492.abbrv,candidates.27492.incumbent,candidates.27492.party,candidates.27492.candidateID,candidates.27492.ballotOrder,candidates.27492.polID,candidates.27492.polNum,candidates.27492.electWon,candidates.29193.first,candidates.29193.last,candidates.29193.party,candidates.29193.candidateID,candidates.29193.ballotOrder,candidates.29193.polID,candidates.29193.polNum,candidates.29193.electWon,candidates.29587.first,candidates.29587.last,candidates.29587.party,candidates.29587.candidateID,candidates.29587.ballotOrder,candidates.29587.polID,candidates.29587.polNum,candidates.29587.electWon,candidates.27492.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,IL-20221108_Eday80,14,General,G,Awaiting Poll Close,Too Early to Call,S,U.S. Senate,Tammy,Duckworth,Dem,27492,51631,19437,True,True,True,4700000,99,0,8800708,True,20221108IL16413,2022-11-08,IL,27492,Tammy,Duckworth,Duckwrth,True,Dem,27492,2,51631,19437,0,Kathy,Salvi,GOP,29193,1,71040,22983,0,Bill,Redpath,Lib,29587,3,50496,22941,0,,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,IL-20221108_Eday80,14,General,G,Polls Closed/Waiting First Report,Called,S,U.S. Senate,Tammy,Duckworth,Dem,27492,51631,19437,True,True,True,4700000,99,0,8800708,True,20221108IL16413,2022-11-08,IL,27492,Tammy,Duckworth,Duckwrth,True,Dem,27492,2,51631,19437,0,Kathy,Salvi,GOP,29193,1,71040,22983,0,Bill,Redpath,Lib,29587,3,50496,22941,0,2022-11-09T01:00:04.280Z,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,IL-20221108_Eday80,14,General,G,Active Tabulation,Called,S,U.S. Senate,Tammy,Duckworth,Dem,27492,51631,19437,True,True,True,4700000,99,131355,8800708,True,20221108IL16413,2022-11-08,IL,27492,Tammy,Duckworth,Duckwrth,True,Dem,27492,2,51631,19437,0,Kathy,Salvi,GOP,29193,1,71040,22983,0,Bill,Redpath,Lib,29587,3,50496,22941,0,2022-11-09T01:00:04.280Z,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,IL-20221108_Eday80,14,General,G,Active Tabulation,Called,S,U.S. Senate,Tammy,Duckworth,Dem,27492,51631,19437,True,True,True,4700000,99,156956,8800708,True,20221108IL16413,2022-11-08,IL,27492,Tammy,Duckworth,Duckwrth,True,Dem,27492,2,51631,19437,0,Kathy,Salvi,GOP,29193,1,71040,22983,0,Bill,Redpath,Lib,29587,3,50496,22941,0,2022-11-09T01:00:04.280Z,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,IL-20221108_Eday80,14,General,G,Active Tabulation,Called,S,U.S. Senate,Tammy,Duckworth,Dem,27492,51631,19437,True,True,True,4700000,99,175601,8800708,True,20221108IL16413,2022-11-08,IL,27492,Tammy,Duckworth,Duckwrth,True,Dem,27492,2,51631,19437,0,Kathy,Salvi,GOP,29193,1,71040,22983,0,Bill,Redpath,Lib,29587,3,50496,22941,0,2022-11-09T01:00:04.280Z,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,IL-20221108_Eday80,14,General,G,Active Tabulation,Called,S,U.S. Senate,Tammy,Duckworth,Dem,27492,51631,19437,True,True,True,4700000,99,327894,8800708,True,20221108IL16413,2022-11-08,IL,27492,Tammy,Duckworth,Duckwrth,True,Dem,27492,2,51631,19437,0,Kathy,Salvi,GOP,29193,1,71040,22983,0,Bill,Redpath,Lib,29587,3,50496,22941,0,2022-11-09T01:00:04.280Z,
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,IL-20221108_Eday80,14,General,G,Active Tabulation,Called,S,U.S. Senate,Tammy,Duckworth,Dem,27492,51631,19437,True,True,True,4700000,99,347227,8800708,True,20221108IL16413,2022-11-08,IL,27492,Tammy,Duckworth,Duckwrth,True,Dem,27492,2,51631,19437,0,Kathy,Salvi,GOP,29193,1,71040,22983,0,Bill,Redpath,Lib,29587,3,50496,22941,0,2022-11-09T01:00:04.280Z,
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,IL-20221108_Eday80,14,General,G,Active Tabulation,Called,S,U.S. Senate,Tammy,Duckworth,Dem,27492,51631,19437,True,True,True,4700000,99,470187,8800708,True,20221108IL16413,2022-11-08,IL,27492,Tammy,Duckworth,Duckwrth,True,Dem,27492,2,51631,19437,0,Kathy,Salvi,GOP,29193,1,71040,22983,0,Bill,Redpath,Lib,29587,3,50496,22941,0,2022-11-09T01:00:04.280Z,
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,IL-20221108_Eday80,14,General,G,Active Tabulation,Called,S,U.S. Senate,Tammy,Duckworth,Dem,27492,51631,19437,True,True,True,4700000,99,430066,8800708,True,20221108IL16413,2022-11-08,IL,27492,Tammy,Duckworth,Duckwrth,True,Dem,27492,2,51631,19437,0,Kathy,Salvi,GOP,29193,1,71040,22983,0,Bill,Redpath,Lib,29587,3,50496,22941,0,2022-11-09T01:00:04.280Z,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,IL-20221108_Eday80,14,General,G,Active Tabulation,Called,S,U.S. Senate,Tammy,Duckworth,Dem,27492,51631,19437,True,True,True,4700000,99,470187,8800708,True,20221108IL16413,2022-11-08,IL,27492,Tammy,Duckworth,Duckwrth,True,Dem,27492,2,51631,19437,0,Kathy,Salvi,GOP,29193,1,71040,22983,0,Bill,Redpath,Lib,29587,3,50496,22941,0,2022-11-09T01:00:04.280Z,
