captureTimestamp,captureDateTime,captureRevision,statePostal,reportingunitID,reportingunitLevel,pollClosingTime,level,fipsCode,electTotal,lastUpdated,precinctsReporting,eevp,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,IN,18053,2,2022-11-08T23:00:00.000Z,FIPSCode,18053,0,2022-11-07T16:43:11.787Z,0,0.0,65,0,22558,0,0.0,22218,0,0.0,19459,99,0,40789,0,0
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,IN,18053,2,2022-11-08T23:00:00.000Z,FIPSCode,18053,0,2022-11-08T18:41:47.573Z,0,0.0,65,0,22558,0,0.0,22218,0,0.0,19459,99,0,40789,0,0
1667949299,2022-11-08 23:14:59 +0000,b334f05b75bafb94958f7797e615fb57e746d9de,IN,18053,2,2022-11-08T23:00:00.000Z,FIPSCode,18053,0,2022-11-08T23:08:13.546Z,0,0.0,65,0,22558,0,0.0,22218,0,0.0,19459,99,0,40789,0,0
1667951453,2022-11-08 23:50:53 +0000,51814c015a687d0f6e1b2067a56d2aa6de446931,IN,18053,2,2022-11-08T23:00:00.000Z,FIPSCode,18053,0,2022-11-08T23:39:07.618Z,0,0.0,65,0,22558,0,0.0,22218,0,0.0,19459,99,0,40789,0,0
1667953197,2022-11-09 00:19:57 +0000,4752cb39f35c63d02e72237179350aec6f014171,IN,18053,2,2022-11-08T23:00:00.000Z,FIPSCode,18053,0,2022-11-08T23:39:07.618Z,0,0.0,65,0,22558,0,0.0,22218,0,0.0,19459,99,0,40789,0,0
1667953518,2022-11-09 00:25:18 +0000,c5fd4e03c2339afc5fd044a64f91f261b7e7cfa1,IN,18053,2,2022-11-08T23:00:00.000Z,FIPSCode,18053,0,2022-11-09T00:15:38.465Z,0,24.77,65,0,22218,3223,66.87,22558,1597,33.13,19459,99,4820,40789,0,16
1667953790,2022-11-09 00:29:50 +0000,6070b11d4c3c0a9b2acaa63cc75a94579377e299,IN,18053,2,2022-11-08T23:00:00.000Z,FIPSCode,18053,0,2022-11-09T00:15:38.465Z,0,24.77,65,0,22218,3223,66.87,22558,1597,33.13,19459,99,4820,40789,0,16
1667954061,2022-11-09 00:34:21 +0000,f42b15f4268586407ce223466d2394d526a81df4,IN,18053,2,2022-11-08T23:00:00.000Z,FIPSCode,18053,0,2022-11-09T00:29:42.797Z,0,24.77,65,0,22218,3223,66.87,22558,1597,33.13,19459,99,4820,40789,0,16
1667954328,2022-11-09 00:38:48 +0000,bfe97281aaab58d7c74edee2f505906bcc18daea,IN,18053,2,2022-11-08T23:00:00.000Z,FIPSCode,18053,0,2022-11-09T00:29:42.797Z,0,24.77,65,0,22218,3223,66.87,22558,1597,33.13,19459,99,4820,40789,0,16
1667954884,2022-11-09 00:48:04 +0000,8f544a76833fbb21dc3fbc0ce7b73e3714be8529,IN,18053,2,2022-11-08T23:00:00.000Z,FIPSCode,18053,0,2022-11-09T00:42:53.539Z,0,24.77,65,0,22218,3223,66.87,22558,1597,33.13,19459,99,4820,40789,0,16
1667955153,2022-11-09 00:52:33 +0000,5dbf5007b88cfdc60ec0e8e538e0df6eb1e86637,IN,18053,2,2022-11-08T23:00:00.000Z,FIPSCode,18053,0,2022-11-09T00:47:35.958Z,41,63.57,65,0,22218,9278,75.0,22558,3093,25.0,19459,99,12371,40789,0,41
1667955430,2022-11-09 00:57:10 +0000,e9bf9bc2954735d2abe72015bd1ac602b27e7679,IN,18053,2,2022-11-08T23:00:00.000Z,FIPSCode,18053,0,2022-11-09T00:47:35.958Z,41,63.57,65,0,22218,9278,75.0,22558,3093,25.0,19459,99,12371,40789,0,41
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,IN,18053,2,2022-11-08T23:00:00.000Z,FIPSCode,18053,0,2022-11-09T01:16:33.025Z,43,66.77,65,0,22218,9531,73.36,22558,3461,26.64,19459,99,12992,40789,0,43
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,IN,18053,2,2022-11-08T23:00:00.000Z,FIPSCode,18053,0,2022-11-09T01:16:33.025Z,43,66.77,65,0,22218,9531,73.36,22558,3461,26.64,19459,99,12992,40789,0,43
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,IN,18053,2,2022-11-08T23:00:00.000Z,FIPSCode,18053,0,2022-11-09T01:16:33.025Z,43,66.77,65,0,22218,9531,73.36,22558,3461,26.64,19459,99,12992,40789,0,43
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,IN,18053,2,2022-11-08T23:00:00.000Z,FIPSCode,18053,0,2022-11-09T01:16:33.025Z,43,66.77,65,0,22218,9531,73.36,22558,3461,26.64,19459,99,12992,40789,0,43
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,IN,18053,2,2022-11-08T23:00:00.000Z,FIPSCode,18053,0,2022-11-09T01:33:58.797Z,43,66.77,65,0,22218,9531,73.36,22558,3461,26.64,19459,99,12992,40789,0,43
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,IN,18053,2,2022-11-08T23:00:00.000Z,FIPSCode,18053,0,2022-11-09T01:39:19.150Z,43,66.77,65,0,22218,9531,73.36,22558,3461,26.64,19459,99,12992,40789,0,43
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,IN,18053,2,2022-11-08T23:00:00.000Z,FIPSCode,18053,0,2022-11-09T01:44:02.872Z,43,66.77,65,0,22218,9531,73.36,22558,3461,26.64,19459,99,12992,40789,0,43
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,IN,18053,2,2022-11-08T23:00:00.000Z,FIPSCode,18053,0,2022-11-09T01:45:59.838Z,53,80.95,65,0,22218,11557,73.36,22558,4196,26.64,19459,99,15753,40789,0,53
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,IN,18053,2,2022-11-08T23:00:00.000Z,FIPSCode,18053,0,2022-11-09T01:45:59.838Z,53,80.95,65,0,22218,11557,73.36,22558,4196,26.64,19459,99,15753,40789,0,53
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,IN,18053,2,2022-11-08T23:00:00.000Z,FIPSCode,18053,0,2022-11-09T01:45:59.838Z,53,80.95,65,0,22218,11557,73.36,22558,4196,26.64,19459,99,15753,40789,0,53
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,IN,18053,2,2022-11-08T23:00:00.000Z,FIPSCode,18053,0,2022-11-09T03:04:53.043Z,53,80.95,65,0,22218,11557,73.36,22558,4196,26.64,19459,99,15753,40789,0,53
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,IN,18053,2,2022-11-08T23:00:00.000Z,FIPSCode,18053,0,2022-11-09T03:04:53.043Z,53,80.95,65,0,22218,11557,73.36,22558,4196,26.64,19459,99,15753,40789,0,53
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,IN,18053,2,2022-11-08T23:00:00.000Z,FIPSCode,18053,0,2022-11-09T03:04:53.043Z,53,80.95,65,0,22218,11557,73.36,22558,4196,26.64,19459,99,15753,40789,0,53
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,IN,18053,2,2022-11-08T23:00:00.000Z,FIPSCode,18053,0,2022-11-09T03:04:53.043Z,53,80.95,65,0,22218,11557,73.36,22558,4196,26.64,19459,99,15753,40789,0,53
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,IN,18053,2,2022-11-08T23:00:00.000Z,FIPSCode,18053,0,2022-11-09T03:04:53.043Z,53,80.95,65,0,22218,11557,73.36,22558,4196,26.64,19459,99,15753,40789,0,53
