captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.1.colorIndex,candidates.0.winner,candidates.0.calledAt
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108KS17355,live,0.0,KS,Kansas,17,1,2022-11-09T01:00:00.000Z,state,0,2022-11-07T20:48:59.194Z,0,1077,0.0,7226,0,0.0,7715,0,0.0,239494,99,0,712222,0,0,,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108KS17355,live,0.0,KS,Kansas,17,1,2022-11-09T01:00:00.000Z,state,0,2022-11-08T21:50:14.549Z,0,1077,0.0,7226,0,0.0,7715,0,0.0,238984,99,0,712222,0,0,,,,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,20221108KS17355,live,0.0,KS,Kansas,17,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:05:56.438Z,0,1077,0.0,7226,0,0.0,7715,0,0.0,238984,99,0,712222,0,0,,,,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,20221108KS17355,live,5.19,KS,Kansas,17,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:35:41.978Z,4,1077,0.37,7715,8000,64.51,7226,4401,35.49,239075,99,12401,712222,4,56,1.0,0.0,,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,20221108KS17355,live,13.98,KS,Kansas,17,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:38:04.702Z,6,1077,0.56,7715,21398,64.03,7226,12020,35.97,239075,99,33418,712222,6,151,1.0,0.0,,
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,20221108KS17355,live,13.98,KS,Kansas,17,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:58:21.819Z,7,1077,0.65,7715,21398,64.03,7226,12020,35.97,239075,99,33418,712222,7,151,1.0,0.0,,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,20221108KS17355,live,13.98,KS,Kansas,17,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:02:36.243Z,7,1077,0.65,7715,21398,64.03,7226,12020,35.97,239075,99,33418,712222,7,151,1.0,0.0,,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,20221108KS17355,live,13.98,KS,Kansas,17,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:06:24.346Z,7,1077,0.65,7715,21398,64.03,7226,12020,35.97,239075,99,33418,712222,7,151,1.0,0.0,,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,20221108KS17355,live,15.75,KS,Kansas,17,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:28:29.283Z,7,1077,0.65,7715,24518,65.1,7226,13145,34.9,239075,99,37663,712222,7,170,1.0,0.0,,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,20221108KS17355,live,21.37,KS,Kansas,17,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:34:04.517Z,24,1077,2.23,7715,30878,60.44,7226,20213,39.56,239075,99,51091,712222,24,230,1.0,0.0,,
