captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.4732.first,candidates.4732.last,candidates.4732.incumbent,candidates.4732.party,candidates.4732.candidateID,candidates.4732.ballotOrder,candidates.4732.polID,candidates.4732.polNum,candidates.4732.electWon,candidates.6569.first,candidates.6569.last,candidates.6569.party,candidates.6569.candidateID,candidates.6569.ballotOrder,candidates.6569.polID,candidates.6569.polNum,candidates.6569.electWon,candidates.4732.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,KY-20221108_Eday80,18,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 6,6,311626,99,0,972135,True,20221108KY18015,2022-11-08,KY,4732,Andy,Barr,True,GOP,4732,1,60705,19945,0,Geoffrey,Young,Dem,6569,2,63434,20091,0,
1667949842,2022-11-08 23:24:02 +0000,e733c733b3b3c33f13905f9501db69cb94a55a64,KY-20221108_Eday80,18,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 6,6,311626,99,0,972135,True,20221108KY18015,2022-11-08,KY,4732,Andy,Barr,True,GOP,4732,1,60705,19945,0,Geoffrey,Young,Dem,6569,2,63434,20091,0,
1667950106,2022-11-08 23:28:26 +0000,03bd9b09dc6ae9d95766d3877a273fc07c395a68,KY-20221108_Eday80,18,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,311626,99,0,972135,True,20221108KY18015,2022-11-08,KY,4732,Andy,Barr,True,GOP,4732,1,60705,19945,0,Geoffrey,Young,Dem,6569,2,63434,20091,0,
1667952254,2022-11-09 00:04:14 +0000,01f078a675119f6cdf4e095b5cc2a41189aff91c,KY-20221108_Eday80,18,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,311626,99,2475,972135,True,20221108KY18015,2022-11-08,KY,4732,Andy,Barr,True,GOP,4732,1,60705,19945,0,Geoffrey,Young,Dem,6569,2,63434,20091,0,
1667953790,2022-11-09 00:29:50 +0000,6070b11d4c3c0a9b2acaa63cc75a94579377e299,KY-20221108_Eday80,18,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,311626,99,10644,972135,True,20221108KY18015,2022-11-08,KY,4732,Andy,Barr,True,GOP,4732,1,60705,19945,0,Geoffrey,Young,Dem,6569,2,63434,20091,0,
1667954884,2022-11-09 00:48:04 +0000,8f544a76833fbb21dc3fbc0ce7b73e3714be8529,KY-20221108_Eday80,18,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,311626,99,10868,972135,True,20221108KY18015,2022-11-08,KY,4732,Andy,Barr,True,GOP,4732,1,60705,19945,0,Geoffrey,Young,Dem,6569,2,63434,20091,0,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,KY-20221108_Eday80,18,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,311626,99,128213,972135,True,20221108KY18015,2022-11-08,KY,4732,Andy,Barr,True,GOP,4732,1,60705,19945,0,Geoffrey,Young,Dem,6569,2,63434,20091,0,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,KY-20221108_Eday80,18,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,311626,99,142821,972135,True,20221108KY18015,2022-11-08,KY,4732,Andy,Barr,True,GOP,4732,1,60705,19945,0,Geoffrey,Young,Dem,6569,2,63434,20091,0,2022-11-09T01:15:56.999Z
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,KY-20221108_Eday80,18,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,311626,99,144009,972135,True,20221108KY18015,2022-11-08,KY,4732,Andy,Barr,True,GOP,4732,1,60705,19945,0,Geoffrey,Young,Dem,6569,2,63434,20091,0,2022-11-09T01:15:56.999Z
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,KY-20221108_Eday80,18,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,311626,99,158011,972135,True,20221108KY18015,2022-11-08,KY,4732,Andy,Barr,True,GOP,4732,1,60705,19945,0,Geoffrey,Young,Dem,6569,2,63434,20091,0,2022-11-09T01:15:56.999Z
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,KY-20221108_Eday80,18,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,311626,99,170746,972135,True,20221108KY18015,2022-11-08,KY,4732,Andy,Barr,True,GOP,4732,1,60705,19945,0,Geoffrey,Young,Dem,6569,2,63434,20091,0,2022-11-09T01:15:56.999Z
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,KY-20221108_Eday80,18,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,311626,99,164908,972135,True,20221108KY18015,2022-11-08,KY,4732,Andy,Barr,True,GOP,4732,1,60705,19945,0,Geoffrey,Young,Dem,6569,2,63434,20091,0,2022-11-09T01:15:56.999Z
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,KY-20221108_Eday80,18,General,G,Active Tabulation,Called,H,U.S. House,True,District 6,6,311626,99,170746,972135,True,20221108KY18015,2022-11-08,KY,4732,Andy,Barr,True,GOP,4732,1,60705,19945,0,Geoffrey,Young,Dem,6569,2,63434,20091,0,2022-11-09T01:15:56.999Z
