captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.0.winner,candidates.0.calledAt
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108KY18624,live,0.0,KY,Kentucky,18,1,2022-11-08T23:00:00.000Z,state,0,2022-11-07T20:49:17.138Z,0,530,0.0,4585,0,0.0,6548,0,0.0,287285,99,0,887910,0,0,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108KY18624,live,0.0,KY,Kentucky,18,1,2022-11-08T23:00:00.000Z,state,0,2022-11-08T20:21:32.627Z,0,530,0.0,4585,0,0.0,6548,0,0.0,287285,99,0,887910,0,0,,,
1667949028,2022-11-08 23:10:28 +0000,1af998fab4b75e7c8b2a13fbf0b3df6b3aab5232,20221108KY18624,live,0.0,KY,Kentucky,18,1,2022-11-08T23:00:00.000Z,state,0,2022-11-08T23:03:44.794Z,0,530,0.0,4585,0,0.0,6548,0,0.0,287285,99,0,887910,0,0,,,
1667949299,2022-11-08 23:14:59 +0000,b334f05b75bafb94958f7797e615fb57e746d9de,20221108KY18624,live,0.0,KY,Kentucky,18,1,2022-11-08T23:00:00.000Z,state,0,2022-11-08T23:11:10.155Z,0,530,0.0,4585,0,0.0,6548,0,0.0,287285,99,0,887910,0,0,,,
1667951453,2022-11-08 23:50:53 +0000,51814c015a687d0f6e1b2067a56d2aa6de446931,20221108KY18624,live,0.94,KY,Kentucky,18,1,2022-11-08T23:00:00.000Z,state,0,2022-11-08T23:46:40.934Z,0,530,0.0,4585,1596,59.26,6548,1097,40.74,287285,99,2693,887910,0,5,0.0,,
1667951715,2022-11-08 23:55:15 +0000,faab8f07ee94099dfc5995c0bbfcebae02c81c74,20221108KY18624,live,0.94,KY,Kentucky,18,1,2022-11-08T23:00:00.000Z,state,0,2022-11-08T23:52:02.833Z,0,530,0.0,4585,1596,59.26,6548,1097,40.74,287285,99,2693,887910,0,5,0.0,,
1667953790,2022-11-09 00:29:50 +0000,6070b11d4c3c0a9b2acaa63cc75a94579377e299,20221108KY18624,live,0.97,KY,Kentucky,18,1,2022-11-08T23:00:00.000Z,state,0,2022-11-09T00:24:42.036Z,1,530,0.19,4585,1657,59.67,6548,1120,40.33,287285,99,2777,887910,1,5,0.0,,
1667955702,2022-11-09 01:01:42 +0000,f6f1267e463cf8ecb93583f1dab12bfae681d775,20221108KY18624,live,2.31,KY,Kentucky,18,1,2022-11-08T23:00:00.000Z,state,0,2022-11-09T00:55:23.984Z,5,530,0.94,4585,4302,64.86,6548,2331,35.14,287285,99,6633,887910,5,12,0.0,,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,20221108KY18624,live,3.17,KY,Kentucky,18,1,2022-11-08T23:00:00.000Z,state,0,2022-11-09T01:03:46.979Z,9,530,1.7,4585,6159,67.58,6548,2955,32.42,287285,99,9114,887910,9,17,0.0,,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,20221108KY18624,live,6.54,KY,Kentucky,18,1,2022-11-08T23:00:00.000Z,state,0,2022-11-09T01:16:48.083Z,27,530,5.09,4585,13650,72.67,6548,5134,27.33,287285,99,18784,887910,27,35,0.0,,
