captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.5094.first,candidates.5094.last,candidates.5094.incumbent,candidates.5094.party,candidates.5094.candidateID,candidates.5094.ballotOrder,candidates.5094.polID,candidates.5094.polNum,candidates.5094.electWon,candidates.6559.first,candidates.6559.last,candidates.6559.party,candidates.6559.candidateID,candidates.6559.ballotOrder,candidates.6559.polID,candidates.6559.polNum,candidates.6559.electWon,candidates.6761.first,candidates.6761.last,candidates.6761.party,candidates.6761.candidateID,candidates.6761.ballotOrder,candidates.6761.polID,candidates.6761.polNum,candidates.6761.electWon,candidates.5094.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,KY-20221108_Eday80,18,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 4,4,307165,99,0,827781,True,20221108KY18835,2022-11-08,KY,5094,Thomas,Massie,True,GOP,5094,3,61880,19938,0,Matthew,Lehman,Dem,6559,1,70010,20812,0,Ethan,Osborne,Ind,6761,2,71646,20981,0,,
1667949842,2022-11-08 23:24:02 +0000,e733c733b3b3c33f13905f9501db69cb94a55a64,KY-20221108_Eday80,18,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 4,4,307165,99,0,827781,True,20221108KY18835,2022-11-08,KY,5094,Thomas,Massie,True,GOP,5094,3,61880,19938,0,Matthew,Lehman,Dem,6559,1,70010,20812,0,Ethan,Osborne,Ind,6761,2,71646,20981,0,,
1667950106,2022-11-08 23:28:26 +0000,03bd9b09dc6ae9d95766d3877a273fc07c395a68,KY-20221108_Eday80,18,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,307165,99,0,827781,True,20221108KY18835,2022-11-08,KY,5094,Thomas,Massie,True,GOP,5094,3,61880,19938,0,Matthew,Lehman,Dem,6559,1,70010,20812,0,Ethan,Osborne,Ind,6761,2,71646,20981,0,,
1667954884,2022-11-09 00:48:04 +0000,8f544a76833fbb21dc3fbc0ce7b73e3714be8529,KY-20221108_Eday80,18,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,307165,99,23579,827781,True,20221108KY18835,2022-11-08,KY,5094,Thomas,Massie,True,GOP,5094,3,61880,19938,0,Matthew,Lehman,Dem,6559,1,70010,20812,0,Ethan,Osborne,Ind,6761,2,71646,20981,0,,
1667955702,2022-11-09 01:01:42 +0000,f6f1267e463cf8ecb93583f1dab12bfae681d775,KY-20221108_Eday80,18,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,307187,99,28452,827781,True,20221108KY18835,2022-11-08,KY,5094,Thomas,Massie,True,GOP,5094,3,61880,19938,0,Matthew,Lehman,Dem,6559,1,70010,20812,0,Ethan,Osborne,Ind,6761,2,71646,20981,0,,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,KY-20221108_Eday80,18,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,307187,99,32292,827781,True,20221108KY18835,2022-11-08,KY,5094,Thomas,Massie,True,GOP,5094,3,61880,19938,0,Matthew,Lehman,Dem,6559,1,70010,20812,0,Ethan,Osborne,Ind,6761,2,71646,20981,0,,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,KY-20221108_Eday80,18,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,307187,99,48871,827781,True,20221108KY18835,2022-11-08,KY,5094,Thomas,Massie,True,GOP,5094,3,61880,19938,0,Matthew,Lehman,Dem,6559,1,70010,20812,0,Ethan,Osborne,Ind,6761,2,71646,20981,0,,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,KY-20221108_Eday80,18,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,307187,99,49824,827781,True,20221108KY18835,2022-11-08,KY,5094,Thomas,Massie,True,GOP,5094,3,61880,19938,0,Matthew,Lehman,Dem,6559,1,70010,20812,0,Ethan,Osborne,Ind,6761,2,71646,20981,0,,
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,KY-20221108_Eday80,18,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,307187,99,81634,827781,True,20221108KY18835,2022-11-08,KY,5094,Thomas,Massie,True,GOP,5094,3,61880,19938,0,Matthew,Lehman,Dem,6559,1,70010,20812,0,Ethan,Osborne,Ind,6761,2,71646,20981,0,,
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,KY-20221108_Eday80,18,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,307187,99,87637,827781,True,20221108KY18835,2022-11-08,KY,5094,Thomas,Massie,True,GOP,5094,3,61880,19938,0,Matthew,Lehman,Dem,6559,1,70010,20812,0,Ethan,Osborne,Ind,6761,2,71646,20981,0,,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,KY-20221108_Eday80,18,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,307187,99,130464,827781,True,20221108KY18835,2022-11-08,KY,5094,Thomas,Massie,True,GOP,5094,3,61880,19938,0,Matthew,Lehman,Dem,6559,1,70010,20812,0,Ethan,Osborne,Ind,6761,2,71646,20981,0,2022-11-09T01:55:45.781Z,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,KY-20221108_Eday80,18,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,307187,99,140050,827781,True,20221108KY18835,2022-11-08,KY,5094,Thomas,Massie,True,GOP,5094,3,61880,19938,0,Matthew,Lehman,Dem,6559,1,70010,20812,0,Ethan,Osborne,Ind,6761,2,71646,20981,0,2022-11-09T01:55:45.781Z,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,KY-20221108_Eday80,18,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,307187,99,175316,827781,True,20221108KY18835,2022-11-08,KY,5094,Thomas,Massie,True,GOP,5094,3,61880,19938,0,Matthew,Lehman,Dem,6559,1,70010,20812,0,Ethan,Osborne,Ind,6761,2,71646,20981,0,2022-11-09T01:55:45.781Z,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,KY-20221108_Eday80,18,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,307187,99,187343,827781,True,20221108KY18835,2022-11-08,KY,5094,Thomas,Massie,True,GOP,5094,3,61880,19938,0,Matthew,Lehman,Dem,6559,1,70010,20812,0,Ethan,Osborne,Ind,6761,2,71646,20981,0,2022-11-09T01:55:45.781Z,
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,KY-20221108_Eday80,18,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,307187,99,186181,827781,True,20221108KY18835,2022-11-08,KY,5094,Thomas,Massie,True,GOP,5094,3,61880,19938,0,Matthew,Lehman,Dem,6559,1,70010,20812,0,Ethan,Osborne,Ind,6761,2,71646,20981,0,2022-11-09T01:55:45.781Z,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,KY-20221108_Eday80,18,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,307187,99,187343,827781,True,20221108KY18835,2022-11-08,KY,5094,Thomas,Massie,True,GOP,5094,3,61880,19938,0,Matthew,Lehman,Dem,6559,1,70010,20812,0,Ethan,Osborne,Ind,6761,2,71646,20981,0,2022-11-09T01:55:45.781Z,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,KY-20221108_Eday80,18,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,307187,99,199897,827781,True,20221108KY18835,2022-11-08,KY,5094,Thomas,Massie,True,GOP,5094,3,61880,19938,0,Matthew,Lehman,Dem,6559,1,70010,20812,0,Ethan,Osborne,Ind,6761,2,71646,20981,0,2022-11-09T01:55:45.781Z,
1667966001,2022-11-09 03:53:21 +0000,cee0a612753351ddb30fde2a157613da20f2be01,KY-20221108_Eday80,18,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,307187,99,211947,827781,True,20221108KY18835,2022-11-08,KY,5094,Thomas,Massie,True,GOP,5094,3,61880,19938,0,Matthew,Lehman,Dem,6559,1,70010,20812,0,Ethan,Osborne,Ind,6761,2,71646,20981,0,2022-11-09T01:55:45.781Z,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,KY-20221108_Eday80,18,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,307187,99,257212,827781,True,20221108KY18835,2022-11-08,KY,5094,Thomas,Massie,True,GOP,5094,3,61880,19938,0,Matthew,Lehman,Dem,6559,1,70010,20812,0,Ethan,Osborne,Ind,6761,2,71646,20981,0,2022-11-09T01:55:45.781Z,
1667968092,2022-11-08 22:28:12 -0600,c3a7bcfa6d57d19e0339cd5eff437c13c5a7dec5,KY-20221108_Eday80,18,General,G,Active Tabulation,Called,H,U.S. House,True,District 4,4,307187,99,257629,827781,True,20221108KY18835,2022-11-08,KY,5094,Thomas,Massie,True,GOP,5094,3,61880,19938,0,Matthew,Lehman,Dem,6559,1,70010,20812,0,Ethan,Osborne,Ind,6761,2,71646,20981,0,2022-11-09T01:55:45.781Z,
