captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.1.colorIndex,candidates.0.winner,candidates.0.calledAt
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108KY18878,live,0.0,KY,Kentucky,18,1,2022-11-08T23:00:00.000Z,state,0,2022-11-07T20:49:17.374Z,0,3713,0.0,6773,0,0.0,6774,0,0.0,1726727,99,0,3560353,0,0,,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108KY18878,live,0.0,KY,Kentucky,18,1,2022-11-08T23:00:00.000Z,state,0,2022-11-08T20:34:55.009Z,0,3713,0.0,6773,0,0.0,6774,0,0.0,1726727,99,0,3560353,0,0,,,,
1667949028,2022-11-08 23:10:28 +0000,1af998fab4b75e7c8b2a13fbf0b3df6b3aab5232,20221108KY18878,live,0.0,KY,Kentucky,18,1,2022-11-08T23:00:00.000Z,state,0,2022-11-08T23:03:52.346Z,0,3713,0.0,6773,0,0.0,6774,0,0.0,1726727,99,0,3560353,0,0,,,,
1667949299,2022-11-08 23:14:59 +0000,b334f05b75bafb94958f7797e615fb57e746d9de,20221108KY18878,live,0.04,KY,Kentucky,18,1,2022-11-08T23:00:00.000Z,state,0,2022-11-08T23:11:16.978Z,0,3713,0.0,6773,443,63.2,6774,258,36.8,1726727,99,701,3560353,0,2,0.0,,,
1667949842,2022-11-08 23:24:02 +0000,e733c733b3b3c33f13905f9501db69cb94a55a64,20221108KY18878,live,0.27,KY,Kentucky,18,1,2022-11-08T23:00:00.000Z,state,0,2022-11-08T23:18:58.370Z,0,3713,0.0,6773,3090,65.61,6774,1620,34.39,1726727,99,4710,3560353,0,10,0.0,,,
1667950106,2022-11-08 23:28:26 +0000,03bd9b09dc6ae9d95766d3877a273fc07c395a68,20221108KY18878,live,0.36,KY,Kentucky,18,1,2022-11-08T23:00:00.000Z,state,0,2022-11-08T23:22:05.487Z,0,3713,0.0,6773,4143,66.03,6774,2131,33.97,1726727,99,6274,3560353,0,13,0.0,,,
1667950906,2022-11-08 23:41:46 +0000,e16ff5d831c790d2a4ca6ae54f46d1aa82402f94,20221108KY18878,live,0.37,KY,Kentucky,18,1,2022-11-08T23:00:00.000Z,state,0,2022-11-08T23:38:46.181Z,0,3713,0.0,6773,4242,65.82,6774,2203,34.18,1726727,99,6445,3560353,0,14,0.0,,,
1667951181,2022-11-08 23:46:21 +0000,c8f35c523efdf4413ea5833ae3ff85e5f5285402,20221108KY18878,live,2.76,KY,Kentucky,18,1,2022-11-08T23:00:00.000Z,state,0,2022-11-08T23:42:46.937Z,4,3713,0.11,6774,31768,66.7,6773,15862,33.3,1726727,99,47630,3560353,4,102,1.0,0.0,,
1667951453,2022-11-08 23:50:53 +0000,51814c015a687d0f6e1b2067a56d2aa6de446931,20221108KY18878,live,2.82,KY,Kentucky,18,1,2022-11-08T23:00:00.000Z,state,0,2022-11-08T23:46:29.833Z,4,3713,0.11,6774,32282,66.27,6773,16428,33.73,1726727,99,48710,3560353,4,105,1.0,0.0,,
1667951984,2022-11-08 23:59:44 +0000,1d5f0496addabb850b6478bc4089a95c0ef07c4b,20221108KY18878,live,3.0,KY,Kentucky,18,1,2022-11-08T23:00:00.000Z,state,0,2022-11-08T23:56:36.721Z,4,3713,0.11,6774,33690,65.08,6773,18077,34.92,1726727,99,51767,3560353,4,111,1.0,0.0,,
1667952254,2022-11-09 00:04:14 +0000,01f078a675119f6cdf4e095b5cc2a41189aff91c,20221108KY18878,live,3.39,KY,Kentucky,18,1,2022-11-08T23:00:00.000Z,state,0,2022-11-09T00:00:26.897Z,50,3713,1.35,6774,36870,63.01,6773,21643,36.99,1726727,99,58513,3560353,50,126,1.0,0.0,,
1667952515,2022-11-09 00:08:35 +0000,b696a55e80164ecdcb71059e68ae6204a1f65e5b,20221108KY18878,live,3.47,KY,Kentucky,18,1,2022-11-08T23:00:00.000Z,state,0,2022-11-09T00:02:15.498Z,57,3713,1.54,6774,37201,62.13,6773,22673,37.87,1726727,99,59874,3560353,57,129,1.0,0.0,,
1667952827,2022-11-09 00:13:47 +0000,e67364b5505081c4cca0f28ef8e8d84768d1cc02,20221108KY18878,live,3.8,KY,Kentucky,18,1,2022-11-08T23:00:00.000Z,state,0,2022-11-09T00:10:00.112Z,57,3713,1.54,6774,39290,59.9,6773,26299,40.1,1726727,99,65589,3560353,57,141,1.0,0.0,,
