captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,officeID,officeName,description,national,state,keyRace,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.6773.last,candidates.6773.party,candidates.6773.candidateID,candidates.6773.ballotOrder,candidates.6773.polID,candidates.6773.polNum,candidates.6773.electWon,candidates.6774.last,candidates.6774.party,candidates.6774.candidateID,candidates.6774.ballotOrder,candidates.6774.polID,candidates.6774.polNum,candidates.6774.electWon,raceCallStatus,candidates.6774.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,KY-20221108_Eday80,18,Ballot Issue,G,Awaiting Poll Close,I,Amendment,No requirement to fund,True,True,True,2 - No Right to Abortion,1,1726727,99,0,3560353,True,20221108KY18878,2022-11-08,KY,Yes,Yes,6773,1,2,20098,0,No,No,6774,2,3,20099,0,,,
1667949573,2022-11-08 23:19:33 +0000,2891155c76df951385c61df78f71bb7f4a65a56b,KY-20221108_Eday80,18,Ballot Issue,G,Active Tabulation,I,Amendment,No requirement to fund,True,True,True,2 - No Right to Abortion,1,1726727,99,701,3560353,True,20221108KY18878,2022-11-08,KY,Yes,Yes,6773,1,2,20098,0,No,No,6774,2,3,20099,0,,,
1667950369,2022-11-08 23:32:49 +0000,88781f78b51366cb56dbc8603a43b441a541be7f,KY-20221108_Eday80,18,Ballot Issue,G,Active Tabulation,I,Amendment,No requirement to fund,True,True,True,2 - No Right to Abortion,1,1726727,99,6274,3560353,True,20221108KY18878,2022-11-08,KY,Yes,Yes,6773,1,2,20098,0,No,No,6774,2,3,20099,0,,,
1667951181,2022-11-08 23:46:21 +0000,c8f35c523efdf4413ea5833ae3ff85e5f5285402,KY-20221108_Eday80,18,Ballot Issue,G,Active Tabulation,I,Amendment,No requirement to fund,True,True,True,2 - No Right to Abortion,1,1726727,99,8426,3560353,True,20221108KY18878,2022-11-08,KY,Yes,Yes,6773,1,2,20098,0,No,No,6774,2,3,20099,0,,,
1667951715,2022-11-08 23:55:15 +0000,faab8f07ee94099dfc5995c0bbfcebae02c81c74,KY-20221108_Eday80,18,Ballot Issue,G,Active Tabulation,I,Amendment,No requirement to fund,True,True,True,2 - No Right to Abortion,1,1726727,99,7319,3560353,True,20221108KY18878,2022-11-08,KY,Yes,Yes,6773,1,2,20098,0,No,No,6774,2,3,20099,0,,,
1667951984,2022-11-08 23:59:44 +0000,1d5f0496addabb850b6478bc4089a95c0ef07c4b,KY-20221108_Eday80,18,Ballot Issue,G,Active Tabulation,I,Amendment,No requirement to fund,True,True,True,2 - No Right to Abortion,1,1726727,99,48710,3560353,True,20221108KY18878,2022-11-08,KY,Yes,Yes,6773,1,2,20098,0,No,No,6774,2,3,20099,0,,,
1667952827,2022-11-09 00:13:47 +0000,e67364b5505081c4cca0f28ef8e8d84768d1cc02,KY-20221108_Eday80,18,Ballot Issue,G,Active Tabulation,I,Amendment,No requirement to fund,True,True,True,2 - No Right to Abortion,1,1726727,99,59874,3560353,True,20221108KY18878,2022-11-08,KY,Yes,Yes,6773,1,2,20098,0,No,No,6774,2,3,20099,0,,,
1667953197,2022-11-09 00:19:57 +0000,4752cb39f35c63d02e72237179350aec6f014171,KY-20221108_Eday80,18,Ballot Issue,G,Active Tabulation,I,Amendment,No requirement to fund,True,True,True,2 - No Right to Abortion,1,1726727,99,65589,3560353,True,20221108KY18878,2022-11-08,KY,Yes,Yes,6773,1,2,20098,0,No,No,6774,2,3,20099,0,,,
1667953518,2022-11-09 00:25:18 +0000,c5fd4e03c2339afc5fd044a64f91f261b7e7cfa1,KY-20221108_Eday80,18,Ballot Issue,G,Active Tabulation,I,Amendment,No requirement to fund,True,True,True,2 - No Right to Abortion,1,1726727,99,59874,3560353,True,20221108KY18878,2022-11-08,KY,Yes,Yes,6773,1,2,20098,0,No,No,6774,2,3,20099,0,,,
1667953790,2022-11-09 00:29:50 +0000,6070b11d4c3c0a9b2acaa63cc75a94579377e299,KY-20221108_Eday80,18,Ballot Issue,G,Active Tabulation,I,Amendment,No requirement to fund,True,True,True,2 - No Right to Abortion,1,1726727,99,82924,3560353,True,20221108KY18878,2022-11-08,KY,Yes,Yes,6773,1,2,20098,0,No,No,6774,2,3,20099,0,,,
