captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,candidates.2.candidateID,candidates.2.voteCount,candidates.2.votePct,candidates.3.candidateID,candidates.3.voteCount,candidates.3.votePct,candidates.4.candidateID,candidates.4.voteCount,candidates.4.votePct,candidates.5.candidateID,candidates.5.voteCount,candidates.5.votePct,candidates.6.candidateID,candidates.6.voteCount,candidates.6.votePct,candidates.7.candidateID,candidates.7.voteCount,candidates.7.votePct,candidates.8.candidateID,candidates.8.voteCount,candidates.8.votePct,candidates.9.candidateID,candidates.9.voteCount,candidates.9.votePct,candidates.10.candidateID,candidates.10.voteCount,candidates.10.votePct,candidates.11.candidateID,candidates.11.voteCount,candidates.11.votePct,candidates.12.candidateID,candidates.12.voteCount,candidates.12.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.1.colorIndex,candidates.0.winner,candidates.0.calledAt
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108LA20555,live,0.0,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-07T20:49:34.595Z,0,3937,0.0,25319,0,0.0,25330,0,0.0,25325,0,0.0,25328,0,0.0,25327,0,0.0,25326,0,0.0,25334,0,0.0,25329,0,0.0,25331,0,0.0,25332,0,0.0,25333,0,0.0,25335,0,0.0,25336,0,0.0,1606652,99,0,3010596,0,0,,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108LA20555,live,0.0,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-08T21:28:35.142Z,0,3937,0.0,25319,0,0.0,25330,0,0.0,25325,0,0.0,25328,0,0.0,25327,0,0.0,25326,0,0.0,25334,0,0.0,25329,0,0.0,25331,0,0.0,25332,0,0.0,25333,0,0.0,25335,0,0.0,25336,0,0.0,1700000,99,0,3010596,0,0,,,,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,20221108LA20555,live,0.0,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T02:03:49.507Z,0,3937,0.0,25319,0,0.0,25330,0,0.0,25325,0,0.0,25328,0,0.0,25327,0,0.0,25326,0,0.0,25334,0,0.0,25329,0,0.0,25331,0,0.0,25332,0,0.0,25333,0,0.0,25335,0,0.0,25336,0,0.0,1700000,99,0,3010596,0,0,,,,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,20221108LA20555,live,7.41,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T02:25:16.901Z,5,3937,0.13,25319,87288,69.33,25332,15866,12.6,25327,14698,11.67,25335,2884,2.29,25328,1704,1.35,25330,1061,0.84,25325,707,0.56,25333,701,0.56,25331,400,0.32,25334,225,0.18,25326,132,0.1,25336,120,0.1,25329,117,0.09,1700000,99,125903,3010596,5,292,0.0,,,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,20221108LA20555,live,9.57,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T02:31:04.184Z,6,3937,0.15,25319,109971,67.63,25332,23017,14.16,25327,18789,11.55,25335,4394,2.7,25328,2125,1.31,25330,1343,0.83,25333,867,0.53,25325,865,0.53,25331,505,0.31,25334,286,0.18,25326,171,0.11,25329,140,0.09,25336,133,0.08,1700000,99,162606,3010596,6,377,0.0,,,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,20221108LA20555,live,9.7,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T02:38:38.462Z,12,3937,0.3,25319,111933,67.9,25332,23109,14.02,25327,18887,11.46,25335,4397,2.67,25328,2163,1.31,25330,1351,0.82,25325,875,0.53,25333,871,0.53,25331,511,0.31,25334,295,0.18,25326,175,0.11,25329,141,0.09,25336,135,0.08,1700000,99,164843,3010596,12,382,0.0,,,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,20221108LA20555,live,9.7,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T02:45:32.463Z,12,3937,0.3,25319,111933,67.9,25332,23109,14.02,25327,18887,11.46,25335,4397,2.67,25328,2163,1.31,25330,1351,0.82,25325,875,0.53,25333,871,0.53,25331,511,0.31,25334,295,0.18,25326,175,0.11,25329,141,0.09,25336,135,0.08,1700000,99,164843,3010596,12,382,0.0,,,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,20221108LA20555,live,20.59,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T02:59:17.771Z,807,3937,20.5,25319,235379,67.23,25327,47663,13.61,25332,42547,12.15,25335,7815,2.23,25328,5766,1.65,25330,3081,0.88,25325,2327,0.66,25333,1924,0.55,25331,1299,0.37,25334,877,0.25,25326,655,0.19,25329,438,0.13,25336,341,0.1,1700000,99,350112,3010596,807,811,0.0,1.0,,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,20221108LA20555,live,22.86,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T03:03:14.750Z,942,3937,23.93,25319,261251,67.24,25327,53549,13.78,25332,46553,11.98,25335,8564,2.2,25328,6435,1.66,25330,3474,0.89,25325,2577,0.66,25333,2137,0.55,25331,1456,0.37,25334,975,0.25,25326,721,0.19,25329,479,0.12,25336,383,0.1,1700000,99,388554,3010596,942,900,0.0,1.0,,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,20221108LA20555,live,26.35,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T03:08:04.371Z,1141,3937,28.98,25319,294135,65.66,25327,67960,15.17,25332,54039,12.06,25335,9754,2.18,25328,7653,1.71,25330,4054,0.9,25325,3035,0.68,25333,2460,0.55,25331,1711,0.38,25334,1271,0.28,25326,890,0.2,25329,562,0.13,25336,441,0.1,1700000,99,447965,3010596,1141,1037,0.0,1.0,,
