captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,numRunoff,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.25320.first,candidates.25320.last,candidates.25320.party,candidates.25320.incumbent,candidates.25320.candidateID,candidates.25320.polID,candidates.25320.ballotOrder,candidates.25320.polNum,candidates.25337.first,candidates.25337.last,candidates.25337.party,candidates.25337.candidateID,candidates.25337.polID,candidates.25337.ballotOrder,candidates.25337.polNum,candidates.25338.first,candidates.25338.last,candidates.25338.party,candidates.25338.candidateID,candidates.25338.polID,candidates.25338.ballotOrder,candidates.25338.polNum,candidates.25320.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,LA-20221108_Eday62,19,Open Primary,X,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 1,1,2,273360,99,0,716143,True,20221108LA20556,2022-11-08,LA,25320,Steve,Scalise,GOP,True,25320,54369,3,21330,Howard,Kearney,Lib,25337,65606,2,21883,Katie,Darling,Dem,25338,71727,1,22305,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,LA-20221108_Eday80,19,Open Primary,X,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 1,1,2,283084,99,0,716143,True,20221108LA20556,2022-11-08,LA,25320,Steve,Scalise,GOP,True,25320,54369,3,21330,Howard,Kearney,Lib,25337,65606,2,21883,Katie,Darling,Dem,25338,71727,1,22305,,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,LA-20221108_Eday80,19,Open Primary,X,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 1,1,2,283084,99,0,716143,True,20221108LA20556,2022-11-08,LA,25320,Steve,Scalise,GOP,True,25320,54369,3,21330,Howard,Kearney,Lib,25337,65606,2,21883,Katie,Darling,Dem,25338,71727,1,22305,,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,LA-20221108_Eday80,19,Open Primary,X,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,2,283084,99,29322,716143,True,20221108LA20556,2022-11-08,LA,25320,Steve,Scalise,GOP,True,25320,54369,3,21330,Howard,Kearney,Lib,25337,65606,2,21883,Katie,Darling,Dem,25338,71727,1,22305,,
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,LA-20221108_Eday80,19,Open Primary,X,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,2,259352,99,70816,716143,True,20221108LA20556,2022-11-08,LA,25320,Steve,Scalise,GOP,True,25320,54369,3,21330,Howard,Kearney,Lib,25337,65606,2,21883,Katie,Darling,Dem,25338,71727,1,22305,,
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,LA-20221108_Eday80,19,Open Primary,X,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,2,207700,99,141060,716143,True,20221108LA20556,2022-11-08,LA,25320,Steve,Scalise,GOP,True,25320,54369,3,21330,Howard,Kearney,Lib,25337,65606,2,21883,Katie,Darling,Dem,25338,71727,1,22305,,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,LA-20221108_Eday80,19,Open Primary,X,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,2,207264,99,175914,716143,True,20221108LA20556,2022-11-08,LA,25320,Steve,Scalise,GOP,True,25320,54369,3,21330,Howard,Kearney,Lib,25337,65606,2,21883,Katie,Darling,Dem,25338,71727,1,22305,,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,LA-20221108_Eday80,19,Open Primary,X,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,2,207408,99,195468,716143,True,20221108LA20556,2022-11-08,LA,25320,Steve,Scalise,GOP,True,25320,54369,3,21330,Howard,Kearney,Lib,25337,65606,2,21883,Katie,Darling,Dem,25338,71727,1,22305,,
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,LA-20221108_Eday80,19,Open Primary,X,Active Tabulation,Called,H,U.S. House,True,District 1,1,2,207408,99,196166,716143,True,20221108LA20556,2022-11-08,LA,25320,Steve,Scalise,GOP,True,25320,54369,3,21330,Howard,Kearney,Lib,25337,65606,2,21883,Katie,Darling,Dem,25338,71727,1,22305,2022-11-09T03:58:18.423Z,
1667968885,2022-11-08 22:41:25 -0600,5c24a01105c8e263f0bd136533d71002afb61845,LA-20221108_Eday80,19,Open Primary,X,Active Tabulation,Called,H,U.S. House,True,District 1,1,2,207408,99,238936,716143,True,20221108LA20556,2022-11-08,LA,25320,Steve,Scalise,GOP,True,25320,54369,3,21330,Howard,Kearney,Lib,25337,65606,2,21883,Katie,Darling,Dem,25338,71727,1,22305,2022-11-09T03:58:18.423Z,
1667969681,2022-11-08 22:54:41 -0600,4488651d53a6ff54750765f807b5aba2e7544f5e,LA-20221108_Eday80,19,Open Primary,X,Active Tabulation,Called,H,U.S. House,True,District 1,1,2,246712,99,243148,716143,True,20221108LA20556,2022-11-08,LA,25320,Steve,Scalise,GOP,True,25320,54369,3,21330,Howard,Kearney,Lib,25337,65606,2,21883,Katie,Darling,Dem,25338,71727,1,22305,2022-11-09T03:58:18.423Z,
1667970594,2022-11-08 23:09:54 -0600,d4f30f0656d3b91d4423d751f85b9496715af7d9,LA-20221108_Eday80,19,Open Primary,X,Active Tabulation,Called,H,U.S. House,True,District 1,1,2,246712,99,243484,716143,True,20221108LA20556,2022-11-08,LA,25320,Steve,Scalise,GOP,True,25320,54369,3,21330,Howard,Kearney,Lib,25337,65606,2,21883,Katie,Darling,Dem,25338,71727,1,22305,2022-11-09T03:58:18.423Z,
1667973160,2022-11-08 23:52:40 -0600,a8c30e49fdf2578eef8c8f50f6106d095bb0fc07,LA-20221108_Eday80,19,Open Primary,X,Active Tabulation,Called,H,U.S. House,True,District 1,1,2,246205,99,243995,716143,True,20221108LA20556,2022-11-08,LA,25320,Steve,Scalise,GOP,True,25320,54369,3,21330,Howard,Kearney,Lib,25337,65606,2,21883,Katie,Darling,Dem,25338,71727,1,22305,2022-11-09T03:58:18.423Z,
1668251575,2022-11-12 05:12:55 -0600,78468e8d04821f13a74b0ae7a886ed6fde7484aa,LA-20221108_Eday80,19,Open Primary,X,Tabulation Paused,Called,H,U.S. House,True,District 1,1,2,246205,99,243996,716143,True,20221108LA20556,2022-11-08,LA,25320,Steve,Scalise,GOP,True,25320,54369,3,21330,Howard,Kearney,Lib,25337,65606,2,21883,Katie,Darling,Dem,25338,71727,1,22305,2022-11-09T03:58:18.423Z,
