captureTimestamp,captureDateTime,captureRevision,statePostal,reportingunitID,reportingunitLevel,pollClosingTime,level,fipsCode,lastUpdated,precinctsReporting,eevp,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,candidates.2.candidateID,candidates.2.voteCount,candidates.2.votePct,candidates.3.candidateID,candidates.3.voteCount,candidates.3.votePct,candidates.4.candidateID,candidates.4.voteCount,candidates.4.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,LA,22059,2,2022-11-09T02:00:00.000Z,FIPSCode,22059,2022-11-07T20:49:34.994Z,0,0.0,26,0.0,25347,0,0.0,25349,0,0.0,25350,0,0.0,25351,0,0.0,25352,0,0.0,4832,99,0,8818,0,0
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,LA,22059,2,2022-11-09T02:00:00.000Z,FIPSCode,22059,2022-11-08T19:34:19.512Z,0,0.0,26,0.0,25347,0,0.0,25349,0,0.0,25350,0,0.0,25351,0,0.0,25352,0,0.0,5506,99,0,8818,0,0
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,LA,22059,2,2022-11-09T02:00:00.000Z,FIPSCode,22059,2022-11-09T02:03:45.036Z,0,0.0,26,0.0,25347,0,0.0,25349,0,0.0,25350,0,0.0,25351,0,0.0,25352,0,0.0,5506,99,0,8818,0,0
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,LA,22059,2,2022-11-09T02:00:00.000Z,FIPSCode,22059,2022-11-09T02:25:13.775Z,0,25.52,26,0.0,25351,1259,89.61,25349,46,3.27,25350,40,2.85,25347,36,2.56,25352,24,1.71,5506,99,1405,8818,0,7
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,LA,22059,2,2022-11-09T02:00:00.000Z,FIPSCode,22059,2022-11-09T02:45:27.910Z,0,25.52,26,0.0,25351,1259,89.61,25349,46,3.27,25350,40,2.85,25347,36,2.56,25352,24,1.71,5506,99,1405,8818,0,7
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,LA,22059,2,2022-11-09T02:00:00.000Z,FIPSCode,22059,2022-11-09T02:59:13.787Z,15,59.57,26,57.69,25351,2892,88.17,25349,130,3.96,25347,109,3.32,25350,86,2.62,25352,63,1.92,5506,99,3280,8818,15,15
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,LA,22059,2,2022-11-09T02:00:00.000Z,FIPSCode,22059,2022-11-09T02:59:13.787Z,15,59.57,26,57.69,25351,2892,88.17,25349,130,3.96,25347,109,3.32,25350,86,2.62,25352,63,1.92,5506,99,3280,8818,15,15
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,LA,22059,2,2022-11-09T02:00:00.000Z,FIPSCode,22059,2022-11-09T03:07:49.865Z,15,69.76,26,57.69,25351,2892,88.17,25349,130,3.96,25347,109,3.32,25350,86,2.62,25352,63,1.92,4702,99,3280,8818,15,18
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,LA,22059,2,2022-11-09T02:00:00.000Z,FIPSCode,22059,2022-11-09T03:11:54.992Z,19,80.66,26,73.08,25351,3259,88.8,25349,131,3.57,25347,114,3.11,25350,91,2.48,25352,75,2.04,4550,99,3670,8818,19,21
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,LA,22059,2,2022-11-09T02:00:00.000Z,FIPSCode,22059,2022-11-09T03:24:53.919Z,26,99.0,26,100.0,25351,4405,89.01,25347,172,3.48,25349,160,3.23,25350,117,2.36,25352,95,1.92,4999,99,4949,8818,26,26
