captureTimestamp,captureDateTime,captureRevision,statePostal,reportingunitID,reportingunitLevel,pollClosingTime,level,fipsCode,lastUpdated,precinctsReporting,eevp,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,candidates.2.candidateID,candidates.2.voteCount,candidates.2.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,LA,22033,2,2022-11-09T01:00:00.000Z,FIPSCode,22033,2022-11-07T03:12:06.697Z,0,0.0,247,0.0,25354,0,0.0,25324,0,0.0,25353,0,0.0,128674,99,0,231167,0,0
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,LA,22033,2,2022-11-09T02:00:00.000Z,FIPSCode,22033,2022-11-08T19:34:19.408Z,0,0.0,247,0.0,25354,0,0.0,25324,0,0.0,25353,0,0.0,145974,99,0,231167,0,0
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,LA,22033,2,2022-11-09T02:00:00.000Z,FIPSCode,22033,2022-11-09T02:03:44.049Z,0,0.0,247,0.0,25354,0,0.0,25324,0,0.0,25353,0,0.0,145974,99,0,231167,0,0
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,LA,22033,2,2022-11-09T02:00:00.000Z,FIPSCode,22033,2022-11-09T02:03:44.049Z,0,0.0,247,0.0,25354,0,0.0,25324,0,0.0,25353,0,0.0,145974,99,0,231167,0,0
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,LA,22033,2,2022-11-09T02:00:00.000Z,FIPSCode,22033,2022-11-09T02:03:44.049Z,0,0.0,247,0.0,25354,0,0.0,25324,0,0.0,25353,0,0.0,145974,99,0,231167,0,0
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,LA,22033,2,2022-11-09T02:00:00.000Z,FIPSCode,22033,2022-11-09T02:45:26.061Z,0,0.0,247,0.0,25354,0,0.0,25324,0,0.0,25353,0,0.0,145974,99,0,231167,0,0
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,LA,22033,2,2022-11-09T02:00:00.000Z,FIPSCode,22033,2022-11-09T02:59:13.032Z,38,7.18,247,15.38,25324,7581,72.32,25354,2326,22.19,25353,576,5.49,145974,99,10483,231167,38,18
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,LA,22033,2,2022-11-09T02:00:00.000Z,FIPSCode,22033,2022-11-09T02:59:13.032Z,38,7.18,247,15.38,25324,7581,72.32,25354,2326,22.19,25353,576,5.49,145974,99,10483,231167,38,18
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,LA,22033,2,2022-11-09T02:00:00.000Z,FIPSCode,22033,2022-11-09T03:07:51.547Z,38,7.18,247,15.38,25324,7581,72.32,25354,2326,22.19,25353,576,5.49,145974,99,10483,231167,38,18
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,LA,22033,2,2022-11-09T02:00:00.000Z,FIPSCode,22033,2022-11-09T03:11:57.224Z,73,13.82,247,29.55,25324,14553,72.16,25354,4476,22.19,25353,1139,5.65,145974,99,20168,231167,73,34
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,LA,22033,2,2022-11-09T02:00:00.000Z,FIPSCode,22033,2022-11-09T03:24:53.701Z,105,42.08,247,42.51,25324,23608,74.37,25354,6381,20.1,25353,1754,5.53,75426,99,31743,231167,105,104
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,LA,22033,2,2022-11-09T02:00:00.000Z,FIPSCode,22033,2022-11-09T03:24:53.701Z,105,42.08,247,42.51,25324,23608,74.37,25354,6381,20.1,25353,1754,5.53,75426,99,31743,231167,105,104
1667965148,2022-11-09 03:39:08 +0000,6fdfe90630de6ba7d3077daaa37563b39e419cfc,LA,22033,2,2022-11-09T02:00:00.000Z,FIPSCode,22033,2022-11-09T03:35:04.422Z,105,42.08,247,42.51,25324,23608,74.37,25354,6381,20.1,25353,1754,5.53,75426,99,31743,231167,105,104
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,LA,22033,2,2022-11-09T02:00:00.000Z,FIPSCode,22033,2022-11-09T03:43:50.444Z,105,42.08,247,42.51,25324,23608,74.37,25354,6381,20.1,25353,1754,5.53,75426,99,31743,231167,105,104
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,LA,22033,2,2022-11-09T02:00:00.000Z,FIPSCode,22033,2022-11-09T04:00:50.567Z,147,59.86,247,59.51,25324,34193,75.74,25354,8499,18.83,25353,2455,5.44,75426,99,45147,231167,147,148
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,LA,22033,2,2022-11-09T02:00:00.000Z,FIPSCode,22033,2022-11-09T04:05:33.434Z,147,59.86,247,59.51,25324,34193,75.74,25354,8499,18.83,25353,2455,5.44,75426,99,45147,231167,147,148
1667967862,2022-11-08 22:24:22 -0600,70f93394ffa370662e7d52b8ef52310baba3c929,LA,22033,2,2022-11-09T02:00:00.000Z,FIPSCode,22033,2022-11-09T04:20:07.602Z,147,59.86,247,59.51,25324,34193,75.74,25354,8499,18.83,25353,2455,5.44,75426,99,45147,231167,147,148
1667968002,2022-11-08 22:26:42 -0600,1235204137f0f06fe3cd4983951d9356477924c9,LA,22033,2,2022-11-09T02:00:00.000Z,FIPSCode,22033,2022-11-09T04:24:26.107Z,244,99.0,247,98.79,25324,58028,76.11,25354,14024,18.39,25353,4191,5.5,75426,99,76243,231167,244,245
1667968047,2022-11-08 22:27:27 -0600,3febed665f84b6f0a9717d87750ee8049f50fab6,LA,22033,2,2022-11-09T02:00:00.000Z,FIPSCode,22033,2022-11-09T04:24:26.107Z,244,99.0,247,98.79,25324,58028,76.11,25354,14024,18.39,25353,4191,5.5,75426,99,76243,231167,244,245
1667968844,2022-11-08 22:40:44 -0600,9af6e1ce44325ca43504ad5e0ccab8e9f14ef964,LA,22033,2,2022-11-09T02:00:00.000Z,FIPSCode,22033,2022-11-09T04:39:16.529Z,247,99.0,247,100.0,25324,58518,76.06,25354,14197,18.45,25353,4220,5.49,75426,99,76935,231167,247,245
1667969067,2022-11-08 22:44:27 -0600,73d0e74cb03400217dbc75a62135f42bc460c502,LA,22033,2,2022-11-09T02:00:00.000Z,FIPSCode,22033,2022-11-09T04:39:16.529Z,247,99.0,247,100.0,25324,58518,76.06,25354,14197,18.45,25353,4220,5.49,75426,99,76935,231167,247,245
1667969116,2022-11-08 22:45:16 -0600,79682069eac6cae3840febac265b40363b9c51ff,LA,22033,2,2022-11-09T02:00:00.000Z,FIPSCode,22033,2022-11-09T04:44:22.393Z,247,99.0,247,100.0,25324,58518,76.06,25354,14197,18.45,25353,4220,5.49,77712,99,76935,231167,247,245
1667969376,2022-11-08 22:49:36 -0600,4ac813ba060ccffdf02cdf61aae9dd9c0b214438,LA,22033,2,2022-11-09T02:00:00.000Z,FIPSCode,22033,2022-11-09T04:44:22.393Z,247,99.0,247,100.0,25324,58518,76.06,25354,14197,18.45,25353,4220,5.49,77712,99,76935,231167,247,245
1667969592,2022-11-08 22:53:12 -0600,1aa535c5b76797aa0c55f68109cd2149e6f7b08a,LA,22033,2,2022-11-09T02:00:00.000Z,FIPSCode,22033,2022-11-09T04:51:26.437Z,247,99.0,247,100.0,25324,58518,76.06,25354,14197,18.45,25353,4220,5.49,77712,99,76935,231167,247,245
1667969855,2022-11-08 22:57:35 -0600,8c3f41d4804fda622cab89f365a05518b70e5a91,LA,22033,2,2022-11-09T02:00:00.000Z,FIPSCode,22033,2022-11-09T04:56:07.422Z,247,99.0,247,100.0,25324,58518,76.06,25354,14197,18.45,25353,4220,5.49,77712,99,76935,231167,247,245
1667972308,2022-11-08 23:38:28 -0600,ba9f5f7b5ce443fdefcabab3b6292f3cd1310af6,LA,22033,2,2022-11-09T02:00:00.000Z,FIPSCode,22033,2022-11-09T05:31:20.400Z,247,99.0,247,100.0,25324,58518,76.06,25354,14197,18.45,25353,4220,5.49,77712,99,76935,231167,247,245
1667972810,2022-11-08 23:46:50 -0600,aa61daf8417c040e13c56de238053c966d7a0302,LA,22033,2,2022-11-09T02:00:00.000Z,FIPSCode,22033,2022-11-09T05:45:25.798Z,247,99.0,247,100.0,25324,58518,76.06,25354,14197,18.45,25353,4220,5.49,77712,99,76935,231167,247,245
1667976914,2022-11-09 00:55:14 -0600,5c39d98cea3779ab691e2ae42f4961d1de16c4b9,LA,22033,2,2022-11-09T02:00:00.000Z,FIPSCode,22033,2022-11-09T06:54:21.339Z,247,99.0,247,100.0,25324,84763,77.07,25354,19742,17.95,25353,5481,4.98,77712,99,109986,231167,247,245
1667977245,2022-11-09 01:00:45 -0600,941801650b13c3c4f4a2abd9523403803c17f776,LA,22033,2,2022-11-09T02:00:00.000Z,FIPSCode,22033,2022-11-09T07:00:05.237Z,247,99.0,247,100.0,25324,84763,77.07,25354,19742,17.95,25353,5481,4.98,111097,99,109986,231167,247,245
1667977976,2022-11-09 01:12:56 -0600,49c0f85ed6cbaaac8f357b536c767f0a23714980,LA,22033,2,2022-11-09T02:00:00.000Z,FIPSCode,22033,2022-11-09T07:11:37.953Z,247,99.0,247,100.0,25324,84763,77.07,25354,19742,17.95,25353,5481,4.98,111097,99,109986,231167,247,245
1667978139,2022-11-09 01:15:39 -0600,6e2e8e564c230fac37dee2fdeebdd5738ebfcc2b,LA,22033,2,2022-11-09T02:00:00.000Z,FIPSCode,22033,2022-11-09T07:14:37.225Z,247,99.0,247,100.0,25324,84763,77.07,25354,19742,17.95,25353,5481,4.98,111097,99,109986,231167,247,245
1668141260,2022-11-10 22:34:20 -0600,a2d806b833382796c6a575d0974f85fb99c3cce1,LA,22033,2,2022-11-09T02:00:00.000Z,FIPSCode,22033,2022-11-09T07:14:37.225Z,247,99.0,247,100.0,25324,84763,77.07,25354,19742,17.95,25353,5481,4.98,111097,99,109986,231167,247,245
1668164496,2022-11-11 05:01:36 -0600,eb3938fdcb9eecc05df63ea23750c5ab17210c58,LA,22033,2,2022-11-09T02:00:00.000Z,FIPSCode,22033,2022-11-09T07:14:37.225Z,247,99.0,247,100.0,25324,84763,77.07,25354,19742,17.95,25353,5481,4.98,111097,99,109986,231167,247,245
1668250929,2022-11-12 05:02:09 -0600,4445d507c7f9ac510b7c9f8cbe64dd6d41924dd4,LA,22033,2,2022-11-09T02:00:00.000Z,FIPSCode,22033,2022-11-09T07:14:37.225Z,247,99.0,247,100.0,25324,84763,77.07,25354,19742,17.95,25353,5481,4.98,111097,99,109986,231167,247,245
1668510152,2022-11-15 05:02:32 -0600,4aa9e94abe2d3abc602cfa3eac5f2e399f0d9b69,LA,22033,2,2022-11-09T02:00:00.000Z,FIPSCode,22033,2022-11-09T07:14:37.225Z,247,99.0,247,100.0,25324,84763,77.07,25354,19742,17.95,25353,5481,4.98,111097,99,109986,231167,247,245
1668596578,2022-11-16 05:02:58 -0600,1c53580951582eac68b66016e2e98a895c26387d,LA,22033,2,2022-11-09T02:00:00.000Z,FIPSCode,22033,2022-11-16T11:02:36.262Z,247,99.0,247,100.0,25324,84768,77.07,25354,19746,17.95,25353,5481,4.98,111097,99,109995,231167,247,245
