captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,candidates.2.candidateID,candidates.2.voteCount,candidates.2.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.0.winner,candidates.0.calledAt
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108LA20561,live,0.0,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-07T20:49:35.017Z,0,523,0.0,25354,0,0.0,25324,0,0.0,25353,0,0.0,266648,99,0,704389,0,0,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108LA20561,live,0.0,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-08T19:34:19.422Z,0,523,0.0,25354,0,0.0,25324,0,0.0,25353,0,0.0,303974,99,0,704389,0,0,,,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,20221108LA20561,live,0.0,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T02:03:46.956Z,0,523,0.0,25354,0,0.0,25324,0,0.0,25353,0,0.0,303974,99,0,704389,0,0,,,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,20221108LA20561,live,6.55,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T02:25:14.632Z,0,523,0.0,25324,17164,86.16,25354,1536,7.71,25353,1222,6.13,303974,99,19922,704389,0,34,0.0,,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,20221108LA20561,live,6.55,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T02:31:04.200Z,0,523,0.0,25324,17164,86.16,25354,1536,7.71,25353,1222,6.13,303974,99,19922,704389,0,34,0.0,,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,20221108LA20561,live,6.55,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T02:45:31.970Z,0,523,0.0,25324,17164,86.16,25354,1536,7.71,25353,1222,6.13,303974,99,19922,704389,0,34,0.0,,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,20221108LA20561,live,18.56,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T02:59:15.653Z,90,523,17.21,25324,46541,82.49,25354,6186,10.96,25353,3691,6.54,303974,99,56418,704389,90,97,0.0,,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,20221108LA20561,live,19.19,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T03:01:17.265Z,100,523,19.12,25324,48171,82.57,25354,6346,10.88,25353,3822,6.55,303974,99,58339,704389,100,100,0.0,,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,20221108LA20561,live,19.46,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T03:08:02.952Z,100,523,19.12,25324,48171,82.57,25354,6346,10.88,25353,3822,6.55,299802,99,58339,704389,100,102,0.0,,
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,20221108LA20561,live,29.34,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T03:14:20.661Z,170,523,32.5,25324,66663,81.13,25354,9936,12.09,25353,5565,6.77,280058,99,82164,704389,170,153,0.0,,
