captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.1.colorIndex,candidates.0.winner,candidates.0.calledAt
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108LA20569,live,0.0,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,0,2022-11-07T20:49:35.358Z,0,3937,0.0,25384,0,0.0,25385,0,0.0,1700000,99,0,3010596,0,0,,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108LA20569,live,0.0,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,0,2022-11-08T21:28:35.182Z,0,3937,0.0,25384,0,0.0,25385,0,0.0,1700000,99,0,3010596,0,0,,,,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,20221108LA20569,live,0.0,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:04:07.805Z,0,3937,0.0,25384,0,0.0,25385,0,0.0,1700000,99,0,3010596,0,0,,,,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,20221108LA20569,live,7.08,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:25:16.693Z,5,3937,0.13,25385,69706,57.92,25384,50637,42.08,1700000,99,120343,3010596,5,279,0.0,1.0,,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,20221108LA20569,live,9.15,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:31:04.312Z,6,3937,0.15,25385,87387,56.19,25384,68127,43.81,1700000,99,155514,3010596,6,360,0.0,1.0,,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,20221108LA20569,live,9.27,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:39:39.116Z,12,3937,0.3,25385,88680,56.27,25384,68909,43.73,1700000,99,157589,3010596,12,365,0.0,1.0,,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,20221108LA20569,live,19.1,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:59:26.386Z,784,3937,19.91,25385,193543,59.61,25384,131157,40.39,1700000,99,324700,3010596,784,752,0.0,,,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,20221108LA20569,live,23.54,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T03:05:49.823Z,1048,3937,26.62,25385,240185,60.02,25384,160007,39.98,1700000,99,400192,3010596,1048,927,0.0,,,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,20221108LA20569,live,24.32,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T03:08:04.760Z,1097,3937,27.86,25385,247553,59.88,25384,165877,40.12,1700000,99,413430,3010596,1097,957,0.0,,,
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,20221108LA20569,live,33.13,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T03:15:43.847Z,1661,3937,42.19,25385,339863,60.35,25384,223303,39.65,1700000,99,563166,3010596,1661,1304,0.0,,,
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,20221108LA20569,live,43.21,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T03:24:43.103Z,2284,3937,58.01,25385,446985,60.85,25384,287562,39.15,1700000,99,734547,3010596,2284,1701,0.0,,,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,20221108LA20569,live,46.15,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T03:28:45.047Z,2454,3937,62.33,25385,477540,60.86,25384,307092,39.14,1700000,99,784632,3010596,2454,1817,0.0,,,
1667965148,2022-11-09 03:39:08 +0000,6fdfe90630de6ba7d3077daaa37563b39e419cfc,20221108LA20569,live,50.33,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T03:35:26.026Z,2739,3937,69.57,25385,522716,61.09,25384,332887,38.91,1700000,99,855603,3010596,2739,1981,0.0,,,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,20221108LA20569,live,57.44,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T03:44:09.424Z,3129,3937,79.48,25385,595201,60.96,25384,381210,39.04,1700000,99,976411,3010596,3129,2261,0.0,,,
