captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.0.winner,candidates.0.calledAt
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108MA22948,live,0.0,MA,Massachusetts,22,1,2022-11-09T01:00:00.000Z,state,0,2022-11-08T05:38:05.849Z,0,257,0.0,32612,0,0.0,35464,0,0.0,321481,95,0,997129,0,0,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108MA22948,live,0.0,MA,Massachusetts,22,1,2022-11-09T01:00:00.000Z,state,0,2022-11-08T19:42:24.085Z,0,257,0.0,32612,0,0.0,35464,0,0.0,322141,95,0,997129,0,0,,,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,20221108MA22948,live,4.4,MA,Massachusetts,22,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:41:33.908Z,0,257,0.0,32612,11545,81.48,35464,2624,18.52,322141,95,14169,997129,0,11,0.0,,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,20221108MA22948,live,6.53,MA,Massachusetts,22,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:45:29.412Z,4,257,1.56,32612,16363,77.82,35464,4665,22.18,322141,95,21028,997129,4,17,0.0,,
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,20221108MA22948,live,7.88,MA,Massachusetts,22,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:52:54.232Z,8,257,3.11,32612,18583,73.19,35464,6807,26.81,322141,95,25390,997129,8,20,0.0,,
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,20221108MA22948,live,8.55,MA,Massachusetts,22,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:57:43.957Z,9,257,3.5,32612,19793,71.87,35464,7747,28.13,322141,95,27540,997129,9,22,0.0,,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,20221108MA22948,live,9.82,MA,Massachusetts,22,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:03:40.169Z,24,257,9.34,32612,22657,71.61,35464,8981,28.39,322141,95,31638,997129,24,25,0.0,,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,20221108MA22948,live,10.24,MA,Massachusetts,22,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:12:12.355Z,25,257,9.73,32612,23742,71.97,35464,9246,28.03,322141,95,32988,997129,25,26,0.0,,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,20221108MA22948,live,10.32,MA,Massachusetts,22,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:18:21.523Z,25,257,9.73,32612,23742,71.97,35464,9246,28.03,319625,95,32988,997129,25,27,0.0,,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,20221108MA22948,live,18.95,MA,Massachusetts,22,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:38:07.465Z,67,257,26.07,32612,42071,69.46,35464,18499,30.54,319625,95,60570,997129,67,49,0.0,,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,20221108MA22948,live,19.45,MA,Massachusetts,22,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:46:24.444Z,69,257,26.85,32612,43143,69.38,35464,19038,30.62,319625,95,62181,997129,69,50,0.0,,
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,20221108MA22948,live,20.69,MA,Massachusetts,22,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:52:00.417Z,72,257,28.02,32612,45320,68.54,35464,20803,31.46,319625,95,66123,997129,72,53,0.0,,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,20221108MA22948,live,21.17,MA,Massachusetts,22,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:59:18.007Z,73,257,28.4,32612,46103,68.15,35464,21551,31.85,319625,95,67654,997129,73,54,0.0,,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,20221108MA22948,live,24.1,MA,Massachusetts,22,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T03:11:13.103Z,81,257,31.52,32612,52133,67.68,35464,24894,32.32,319625,95,77027,997129,81,62,0.0,,
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,20221108MA22948,live,26.33,MA,Massachusetts,22,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T03:15:17.260Z,87,257,33.85,32612,57241,68.01,35464,26919,31.99,319625,95,84160,997129,87,68,0.0,,
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,20221108MA22948,live,26.72,MA,Massachusetts,22,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T03:20:13.758Z,88,257,34.24,32612,57946,67.84,35464,27469,32.16,319625,95,85415,997129,88,69,0.0,,
