captureTimestamp,captureDateTime,captureRevision,statePostal,reportingunitID,reportingunitLevel,pollClosingTime,level,fipsCode,electTotal,lastUpdated,precinctsReporting,eevp,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,MD,24021,2,2022-11-09T00:00:00.000Z,FIPSCode,24021,0,2022-11-07T03:10:34.164Z,0,0.0,83,0.0,32187,0,0.0,31822,0,0.0,114368,99,0,191109,0,0
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,MD,24021,2,2022-11-09T01:00:00.000Z,FIPSCode,24021,0,2022-11-08T19:51:12.303Z,0,0.0,83,0.0,32187,0,0.0,31822,0,0.0,107491,99,0,191109,0,0
1667946382,2022-11-08 22:26:22 +0000,73f2c650f342d3057cfca8879805e19e5c627823,MD,24021,2,2022-11-09T01:00:00.000Z,FIPSCode,24021,0,2022-11-08T22:20:36.716Z,0,0.0,83,0.0,32187,0,0.0,31822,0,0.0,107491,99,0,191109,0,0
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,MD,24021,2,2022-11-09T01:00:00.000Z,FIPSCode,24021,0,2022-11-08T22:20:36.716Z,0,0.0,83,0.0,32187,0,0.0,31822,0,0.0,107491,99,0,191109,0,0
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,MD,24021,2,2022-11-09T01:00:00.000Z,FIPSCode,24021,0,2022-11-08T22:20:36.716Z,0,0.0,83,0.0,32187,0,0.0,31822,0,0.0,107491,99,0,191109,0,0
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,MD,24021,2,2022-11-09T01:00:00.000Z,FIPSCode,24021,0,2022-11-08T22:20:36.716Z,0,0.0,83,0.0,32187,0,0.0,31822,0,0.0,107491,99,0,191109,0,0
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,MD,24021,2,2022-11-09T01:00:00.000Z,FIPSCode,24021,0,2022-11-09T01:48:58.692Z,0,0.0,83,0.0,32187,0,0.0,31822,0,0.0,107491,99,0,191109,0,0
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,MD,24021,2,2022-11-09T01:00:00.000Z,FIPSCode,24021,0,2022-11-09T02:08:21.555Z,0,0.0,83,0.0,32187,0,0.0,31822,0,0.0,107491,99,0,191109,0,0
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,MD,24021,2,2022-11-09T01:00:00.000Z,FIPSCode,24021,0,2022-11-09T02:14:01.812Z,15,18.22,83,0.0,31822,11657,59.51,32187,7930,40.49,107491,99,19587,191109,0,15
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,MD,24021,2,2022-11-09T01:00:00.000Z,FIPSCode,24021,0,2022-11-09T02:14:01.812Z,15,18.22,83,0.0,31822,11657,59.51,32187,7930,40.49,107491,99,19587,191109,0,15
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,MD,24021,2,2022-11-09T01:00:00.000Z,FIPSCode,24021,0,2022-11-09T02:14:01.812Z,15,18.22,83,0.0,31822,11657,59.51,32187,7930,40.49,107491,99,19587,191109,0,15
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,MD,24021,2,2022-11-09T01:00:00.000Z,FIPSCode,24021,0,2022-11-09T02:27:03.364Z,0,19.13,83,0.0,31822,12036,58.53,32187,8529,41.47,107491,99,20565,191109,0,16
