captureTimestamp,captureDateTime,captureRevision,statePostal,reportingunitID,reportingunitLevel,pollClosingTime,level,fipsCode,electTotal,lastUpdated,precinctsReporting,eevp,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,candidates.2.candidateID,candidates.2.voteCount,candidates.2.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,MN,27079,2,2022-11-09T01:00:00.000Z,FIPSCode,27079,0,2022-11-07T03:13:09.599Z,0,0.0,26,0.0,35274,0,0.0,33541,0,0.0,34783,0,0.0,13421,99,0,18488,0,0
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,MN,27079,2,2022-11-09T02:00:00.000Z,FIPSCode,27079,0,2022-11-08T18:08:19.838Z,0,0.0,26,0.0,35274,0,0.0,33541,0,0.0,34783,0,0.0,13629,99,0,18488,0,0
1667946903,2022-11-08 22:35:03 +0000,cb1028268673c8c2a42a51ee33da39f10a4ad1c1,MN,27079,2,2022-11-09T02:00:00.000Z,FIPSCode,27079,0,2022-11-08T22:31:36.914Z,0,0.0,26,0.0,35274,0,0.0,33541,0,0.0,34783,0,0.0,13629,99,0,18488,0,0
1667952827,2022-11-09 00:13:47 +0000,e67364b5505081c4cca0f28ef8e8d84768d1cc02,MN,27079,2,2022-11-09T02:00:00.000Z,FIPSCode,27079,0,2022-11-08T22:31:36.914Z,0,0.0,26,0.0,35274,0,0.0,33541,0,0.0,34783,0,0.0,13629,99,0,18488,0,0
1667953197,2022-11-09 00:19:57 +0000,4752cb39f35c63d02e72237179350aec6f014171,MN,27079,2,2022-11-09T02:00:00.000Z,FIPSCode,27079,0,2022-11-08T22:31:36.914Z,0,0.0,26,0.0,35274,0,0.0,33541,0,0.0,34783,0,0.0,13629,99,0,18488,0,0
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,MN,27079,2,2022-11-09T02:00:00.000Z,FIPSCode,27079,0,2022-11-09T02:09:58.284Z,1,0.0,26,3.85,35274,0,0.0,33541,0,0.0,34783,0,0.0,13629,99,0,18488,1,0
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,MN,27079,2,2022-11-09T02:00:00.000Z,FIPSCode,27079,0,2022-11-09T02:09:58.284Z,1,0.0,26,3.85,35274,0,0.0,33541,0,0.0,34783,0,0.0,13629,99,0,18488,1,0
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,MN,27079,2,2022-11-09T02:00:00.000Z,FIPSCode,27079,0,2022-11-09T02:09:58.284Z,1,0.0,26,3.85,35274,0,0.0,33541,0,0.0,34783,0,0.0,13629,99,0,18488,1,0
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,MN,27079,2,2022-11-09T02:00:00.000Z,FIPSCode,27079,0,2022-11-09T02:09:58.284Z,1,0.0,26,3.85,35274,0,0.0,33541,0,0.0,34783,0,0.0,13629,99,0,18488,1,0
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,MN,27079,2,2022-11-09T02:00:00.000Z,FIPSCode,27079,0,2022-11-09T03:41:11.105Z,8,21.09,26,30.77,34783,1958,68.1,33541,797,27.72,35274,120,4.17,13629,99,2875,18488,8,5
