captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.0.winner,candidates.0.calledAt
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108MN24013,live,0.0,MN,Minnesota,24,1,2022-11-09T01:00:00.000Z,state,0,2022-11-07T03:13:09.604Z,0,231,0.0,33543,0,0.0,34784,0,0.0,450835,99,0,380117,0,0,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108MN24013,live,0.0,MN,Minnesota,24,1,2022-11-09T02:00:00.000Z,state,0,2022-11-08T18:08:19.888Z,0,231,0.0,33543,0,0.0,34784,0,0.0,351473,99,0,380117,0,0,,,
1667946903,2022-11-08 22:35:03 +0000,cb1028268673c8c2a42a51ee33da39f10a4ad1c1,20221108MN24013,live,0.0,MN,Minnesota,24,1,2022-11-09T02:00:00.000Z,state,0,2022-11-08T22:31:36.949Z,0,231,0.0,33543,0,0.0,34784,0,0.0,351473,99,0,380117,0,0,,,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,20221108MN24013,live,0.0,MN,Minnesota,24,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:09:57.579Z,2,231,0.87,33543,0,0.0,34784,0,0.0,351473,99,0,380117,2,0,,,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,20221108MN24013,live,73.52,MN,Minnesota,24,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T03:10:54.443Z,175,231,75.76,33543,156636,60.61,34784,101777,39.39,351473,99,258413,380117,175,170,0.0,,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,20221108MN24013,live,81.61,MN,Minnesota,24,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T03:25:56.761Z,192,231,83.12,33543,173066,60.34,34784,113758,39.66,351473,99,286824,380117,192,189,0.0,,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,20221108MN24013,live,82.25,MN,Minnesota,24,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T03:41:10.871Z,194,231,83.98,33543,174612,60.4,34784,114465,39.6,351473,99,289077,380117,194,190,0.0,,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,20221108MN24013,live,92.26,MN,Minnesota,24,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T04:00:50.563Z,225,231,97.4,33543,193552,59.69,34784,130733,40.31,351473,99,324285,380117,225,213,0.0,,
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,20221108MN24013,live,96.74,MN,Minnesota,24,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T04:07:09.340Z,225,231,97.4,33543,193552,59.69,34784,130733,40.31,335214,99,324285,380117,225,223,0.0,X,2022-11-09T04:05:34.387Z
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,20221108MN24013,live,97.63,MN,Minnesota,24,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T04:12:03.194Z,227,231,98.27,33543,195091,59.61,34784,132168,40.39,335214,99,327259,380117,227,226,0.0,X,2022-11-09T04:05:34.387Z
1667967954,2022-11-08 22:25:54 -0600,ddd8cd55583cb4e51013ac431e84d23dc8167e7a,20221108MN24013,live,97.35,MN,Minnesota,24,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T04:24:20.212Z,227,231,98.27,33543,195091,59.61,34784,132168,40.39,336178,99,327259,380117,227,225,0.0,X,2022-11-09T04:05:34.387Z
1667968361,2022-11-08 22:32:41 -0600,0b888fe41bc653990f05b2c6fe09da530560e7a3,20221108MN24013,live,98.91,MN,Minnesota,24,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T04:31:13.321Z,230,231,99.57,33543,198234,59.61,34784,134291,40.39,336178,99,332525,380117,230,228,0.0,X,2022-11-09T04:05:34.387Z
1667968667,2022-11-08 22:37:47 -0600,a013d457c641e43c359ed7cf524810962213905d,20221108MN24013,live,98.69,MN,Minnesota,24,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T04:35:28.885Z,230,231,99.57,33543,198234,59.61,34784,134291,40.39,336950,99,332525,380117,230,228,0.0,X,2022-11-09T04:05:34.387Z
1667968931,2022-11-08 22:42:11 -0600,cca40a484cb23456c0df129e9bd1750068cb4880,20221108MN24013,live,99.0,MN,Minnesota,24,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T04:39:52.602Z,231,231,100.0,33543,198818,59.6,34784,134778,40.4,336950,99,333596,380117,231,229,0.0,X,2022-11-09T04:05:34.387Z
1667969204,2022-11-08 22:46:44 -0600,861af312a343e9b4769e08b8c7c8c17fab4dadef,20221108MN24013,live,99.0,MN,Minnesota,24,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T04:45:31.254Z,231,231,100.0,33543,198818,59.6,34784,134778,40.4,336966,99,333596,380117,231,229,0.0,X,2022-11-09T04:05:34.387Z
1667969897,2022-11-08 22:58:17 -0600,4cc79ac7abd56ff5901adb554fdccc45c88f1310,20221108MN24013,live,99.0,MN,Minnesota,24,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T04:57:07.258Z,231,231,100.0,33543,198818,59.6,34784,134778,40.4,336966,99,333596,380117,231,229,0.0,X,2022-11-09T04:05:34.387Z
1667970373,2022-11-08 23:06:13 -0600,3ea973c74a9585b2e944f9dd59e390b2b951b2cd,20221108MN24013,live,99.0,MN,Minnesota,24,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T05:03:16.139Z,231,231,100.0,33543,198818,59.6,34784,134778,40.4,336966,99,333596,380117,231,229,0.0,X,2022-11-09T04:05:34.387Z
1667970985,2022-11-08 23:16:25 -0600,458b8c029ed943a1966fd047ace4d102323e3185,20221108MN24013,live,99.0,MN,Minnesota,24,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T05:12:15.106Z,231,231,100.0,33543,198818,59.6,34784,134778,40.4,336966,99,333596,380117,231,229,0.0,X,2022-11-09T04:05:34.387Z
1667971438,2022-11-08 23:23:58 -0600,d5ddddc05986f343066e92d34cfda0b6971066eb,20221108MN24013,live,99.0,MN,Minnesota,24,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T05:22:57.798Z,231,231,100.0,33543,198818,59.6,34784,134778,40.4,336966,99,333596,380117,231,229,0.0,X,2022-11-09T04:05:34.387Z
1667971571,2022-11-08 23:26:11 -0600,d2379320e55d7c8b235939474aad516c1cf9a83b,20221108MN24013,live,99.0,MN,Minnesota,24,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T05:24:04.402Z,231,231,100.0,33543,198883,59.6,34784,134795,40.4,336966,99,333678,380117,231,229,0.0,X,2022-11-09T04:05:34.387Z
1667971657,2022-11-08 23:27:37 -0600,d29b633bc901fb24234e16251a717d43d2b1d6c1,20221108MN24013,live,99.0,MN,Minnesota,24,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T05:26:49.944Z,231,231,100.0,33543,198883,59.6,34784,134795,40.4,337049,99,333678,380117,231,229,0.0,X,2022-11-09T04:05:34.387Z
1667972541,2022-11-08 23:42:21 -0600,d38f954f3e6be3d250d58a04e08655875ea7700c,20221108MN24013,live,99.0,MN,Minnesota,24,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T05:41:17.596Z,231,231,100.0,33543,198883,59.6,34784,134795,40.4,337049,99,333678,380117,231,229,0.0,X,2022-11-09T04:05:34.387Z
