captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,candidates.2.candidateID,candidates.2.voteCount,candidates.2.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.0.winner,candidates.0.calledAt,candidates.1.colorIndex
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108MO26027,live,0.0,MO,Missouri,26,1,2022-11-09T01:00:00.000Z,state,0,2022-11-07T21:16:43.575Z,0,362,0.0,11177,0,0.0,10871,0,0.0,10875,0,0.0,432430,99,0,756426,0,0,,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108MO26027,live,0.0,MO,Missouri,26,1,2022-11-09T01:00:00.000Z,state,0,2022-11-08T19:35:09.098Z,0,362,0.0,11177,0,0.0,10871,0,0.0,10875,0,0.0,432430,99,0,756426,0,0,,,,
1667945072,2022-11-08 22:04:32 +0000,4259abc9791bb73bc477d87cfb35a8859b789680,20221108MO26027,live,0.0,MO,Missouri,26,1,2022-11-09T01:00:00.000Z,state,0,2022-11-08T21:59:51.508Z,0,362,0.0,11177,0,0.0,10871,0,0.0,10875,0,0.0,432430,99,0,756426,0,0,,,,
1667946382,2022-11-08 22:26:22 +0000,73f2c650f342d3057cfca8879805e19e5c627823,20221108MO26027,live,0.0,MO,Missouri,26,1,2022-11-09T01:00:00.000Z,state,0,2022-11-08T22:21:33.898Z,0,362,0.0,11177,0,0.0,10871,0,0.0,10875,0,0.0,432430,99,0,756426,0,0,,,,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,20221108MO26027,live,0.0,MO,Missouri,26,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:06:44.782Z,0,362,0.0,11177,0,0.0,10871,0,0.0,10875,0,0.0,432430,99,0,756426,0,0,,,,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,20221108MO26027,live,0.0,MO,Missouri,26,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:07:37.097Z,0,362,0.0,11177,0,0.0,10871,0,0.0,10875,0,0.0,432430,99,0,756426,0,0,,,,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,20221108MO26027,live,0.51,MO,Missouri,26,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:39:05.735Z,0,362,0.0,10875,1103,50.18,10871,1071,48.73,11177,24,1.09,432430,99,2198,756426,0,2,0.0,,,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,20221108MO26027,live,0.51,MO,Missouri,26,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:02:26.144Z,0,362,0.0,10875,1103,50.18,10871,1071,48.73,11177,24,1.09,432430,99,2198,756426,0,2,0.0,,,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,20221108MO26027,live,1.2,MO,Missouri,26,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:14:31.313Z,6,362,1.66,10875,3612,69.56,10871,1504,28.96,11177,77,1.48,432430,99,5193,756426,6,4,0.0,,,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,20221108MO26027,live,1.2,MO,Missouri,26,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:26:26.241Z,6,362,1.66,10875,3612,69.56,10871,1504,28.96,11177,77,1.48,432430,99,5193,756426,6,4,0.0,,,
