captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,candidates.2.candidateID,candidates.2.voteCount,candidates.2.votePct,candidates.3.candidateID,candidates.3.voteCount,candidates.3.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.1.colorIndex,candidates.0.winner,candidates.0.calledAt
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108MO27023,live,0.0,MO,Missouri,26,1,2022-11-09T01:00:00.000Z,state,0,2022-11-07T21:16:44.231Z,0,3266,0.0,11174,0,0.0,10829,0,0.0,11173,0,0.0,10826,0,0.0,2606490,99,0,4224608,0,0,,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108MO27023,live,0.0,MO,Missouri,26,1,2022-11-09T01:00:00.000Z,state,0,2022-11-08T19:35:11.564Z,0,3266,0.0,11174,0,0.0,10829,0,0.0,11173,0,0.0,10826,0,0.0,2650000,99,0,4224608,0,0,,,,
1667945072,2022-11-08 22:04:32 +0000,4259abc9791bb73bc477d87cfb35a8859b789680,20221108MO27023,live,0.0,MO,Missouri,26,1,2022-11-09T01:00:00.000Z,state,0,2022-11-08T22:01:50.987Z,0,3266,0.0,11174,0,0.0,10829,0,0.0,11173,0,0.0,10826,0,0.0,2650000,99,0,4224608,0,0,,,,
1667945337,2022-11-08 22:08:57 +0000,98ebc4e8a976c121315c6a94b1742124c79eda02,20221108MO27023,live,0.0,MO,Missouri,26,1,2022-11-09T01:00:00.000Z,state,0,2022-11-08T22:04:56.901Z,0,3266,0.0,11174,0,0.0,10829,0,0.0,11173,0,0.0,10826,0,0.0,2650000,99,0,4224608,0,0,,,,
1667946382,2022-11-08 22:26:22 +0000,73f2c650f342d3057cfca8879805e19e5c627823,20221108MO27023,live,0.0,MO,Missouri,26,1,2022-11-09T01:00:00.000Z,state,0,2022-11-08T22:23:26.437Z,0,3266,0.0,11174,0,0.0,10829,0,0.0,11173,0,0.0,10826,0,0.0,2650000,99,0,4224608,0,0,,,,
1667946645,2022-11-08 22:30:45 +0000,b4a2d52dc2885174b04713e13bf7fbb8eadd5f83,20221108MO27023,live,0.0,MO,Missouri,26,1,2022-11-09T01:00:00.000Z,state,0,2022-11-08T22:27:36.023Z,0,3266,0.0,11174,0,0.0,10829,0,0.0,11173,0,0.0,10826,0,0.0,2650000,99,0,4224608,0,0,,,,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,20221108MO27023,live,0.54,MO,Missouri,26,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:06:45.126Z,1,3266,0.03,10826,8537,60.15,10829,5439,38.32,11174,123,0.87,11173,95,0.67,2650000,99,14194,4224608,1,17,0.0,,,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,20221108MO27023,live,0.61,MO,Missouri,26,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:10:26.346Z,1,3266,0.03,10826,9359,57.7,10829,6611,40.76,11174,140,0.86,11173,110,0.68,2650000,99,16220,4224608,1,20,0.0,1.0,,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,20221108MO27023,live,0.68,MO,Missouri,26,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:32:31.984Z,2,3266,0.06,10826,9907,54.7,10829,7922,43.74,11174,160,0.88,11173,123,0.68,2650000,99,18112,4224608,2,22,0.0,1.0,,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,20221108MO27023,live,0.82,MO,Missouri,26,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:38:26.708Z,3,3266,0.09,10826,11380,52.61,10829,9897,45.75,11174,211,0.98,11173,143,0.66,2650000,99,21631,4224608,3,27,0.0,1.0,,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,20221108MO27023,live,1.09,MO,Missouri,26,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:45:23.301Z,3,3266,0.09,10826,14832,51.51,10829,13478,46.81,11174,278,0.97,11173,205,0.71,2650000,99,28793,4224608,3,35,0.0,1.0,,
