captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,candidates.2.candidateID,candidates.2.voteCount,candidates.2.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.0.winner,candidates.0.calledAt
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108MO27025,live,0.0,MO,Missouri,26,1,2022-11-09T01:00:00.000Z,state,0,2022-11-07T03:14:37.137Z,0,655,0.0,10265,0,0.0,10857,0,0.0,11175,0,0.0,295079,99,0,1402327,0,0,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108MO27025,live,0.0,MO,Missouri,26,1,2022-11-09T01:00:00.000Z,state,0,2022-11-08T19:35:11.282Z,0,655,0.0,10265,0,0.0,10857,0,0.0,11175,0,0.0,445154,99,0,1296865,0,0,,,
1667946645,2022-11-08 22:30:45 +0000,b4a2d52dc2885174b04713e13bf7fbb8eadd5f83,20221108MO27025,live,0.0,MO,Missouri,26,1,2022-11-09T01:00:00.000Z,state,0,2022-11-08T22:27:11.352Z,0,655,0.0,10265,0,0.0,10857,0,0.0,11175,0,0.0,445154,99,0,1296865,0,0,,,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,20221108MO27025,live,0.0,MO,Missouri,26,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:06:44.453Z,0,655,0.0,10265,0,0.0,10857,0,0.0,11175,0,0.0,445154,99,0,1296865,0,0,,,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,20221108MO27025,live,4.08,MO,Missouri,26,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:46:07.487Z,18,655,2.75,10265,14121,77.74,10857,3507,19.31,11175,537,2.96,445154,99,18165,1296865,18,27,0.0,,
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,20221108MO27025,live,10.78,MO,Missouri,26,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:49:43.968Z,18,655,2.75,10265,36804,76.68,10857,9859,20.54,11175,1337,2.79,445154,99,48000,1296865,18,71,0.0,,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,20221108MO27025,live,10.78,MO,Missouri,26,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:31:51.904Z,18,655,2.75,10265,36804,76.68,10857,9859,20.54,11175,1337,2.79,445154,99,48000,1296865,18,71,0.0,,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,20221108MO27025,live,17.98,MO,Missouri,26,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:44:33.014Z,18,655,2.75,10265,55630,69.52,10857,21921,27.39,11175,2468,3.08,445154,99,80019,1296865,18,118,0.0,,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,20221108MO27025,live,17.98,MO,Missouri,26,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:57:12.416Z,18,655,2.75,10265,55630,69.52,10857,21921,27.39,11175,2468,3.08,445154,99,80019,1296865,18,118,0.0,,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,20221108MO27025,live,20.23,MO,Missouri,26,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T03:08:14.474Z,41,655,6.26,10265,63111,70.07,10857,24180,26.85,11175,2772,3.08,445154,99,90063,1296865,41,133,0.0,,
1667965148,2022-11-09 03:39:08 +0000,6fdfe90630de6ba7d3077daaa37563b39e419cfc,20221108MO27025,live,20.23,MO,Missouri,26,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T03:32:39.859Z,41,655,6.26,10265,63111,70.07,10857,24180,26.85,11175,2772,3.08,445154,99,90063,1296865,41,133,0.0,,
1667966001,2022-11-09 03:53:21 +0000,cee0a612753351ddb30fde2a157613da20f2be01,20221108MO27025,live,27.45,MO,Missouri,26,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T03:50:00.716Z,85,655,12.98,10265,86937,71.15,10857,31722,25.96,11175,3528,2.89,445154,99,122187,1296865,85,180,0.0,,
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,20221108MO27025,live,27.45,MO,Missouri,26,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T04:05:24.915Z,85,655,12.98,10265,86937,71.15,10857,31722,25.96,11175,3528,2.89,445154,99,122187,1296865,85,180,0.0,,
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,20221108MO27025,live,40.47,MO,Missouri,26,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T04:14:56.188Z,159,655,24.27,10265,131774,73.15,10857,43289,24.03,11175,5073,2.82,445154,99,180136,1296865,159,265,0.0,,
1667967954,2022-11-08 22:25:54 -0600,ddd8cd55583cb4e51013ac431e84d23dc8167e7a,20221108MO27025,live,40.47,MO,Missouri,26,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T04:23:58.094Z,159,655,24.27,10265,131774,73.15,10857,43289,24.03,11175,5073,2.82,445154,99,180136,1296865,159,265,0.0,X,2022-11-09T04:23:57.801Z
1667968494,2022-11-08 22:34:54 -0600,cfbd241bb06919184c9a5ad42a24eb60bc59879a,20221108MO27025,live,44.35,MO,Missouri,26,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T04:34:14.368Z,180,655,27.48,10265,144615,73.25,10857,47242,23.93,11175,5558,2.82,445154,99,197415,1296865,180,290,0.0,X,2022-11-09T04:23:57.801Z
