captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.1.colorIndex,candidates.0.winner,candidates.0.calledAt
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108MO27544,live,0.0,MO,Missouri,26,1,2022-11-09T01:00:00.000Z,state,0,2022-11-07T21:16:44.705Z,0,3266,0.0,11186,0,0.0,11187,0,0.0,2606490,99,0,4224608,0,0,,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108MO27544,live,0.0,MO,Missouri,26,1,2022-11-09T01:00:00.000Z,state,0,2022-11-08T19:35:11.490Z,0,3266,0.0,11186,0,0.0,11187,0,0.0,2650000,99,0,4224608,0,0,,,,
1667945072,2022-11-08 22:04:32 +0000,4259abc9791bb73bc477d87cfb35a8859b789680,20221108MO27544,live,0.0,MO,Missouri,26,1,2022-11-09T01:00:00.000Z,state,0,2022-11-08T22:01:51.027Z,0,3266,0.0,11186,0,0.0,11187,0,0.0,2650000,99,0,4224608,0,0,,,,
1667945337,2022-11-08 22:08:57 +0000,98ebc4e8a976c121315c6a94b1742124c79eda02,20221108MO27544,live,0.0,MO,Missouri,26,1,2022-11-09T01:00:00.000Z,state,0,2022-11-08T22:05:13.639Z,0,3266,0.0,11186,0,0.0,11187,0,0.0,2650000,99,0,4224608,0,0,,,,
1667946382,2022-11-08 22:26:22 +0000,73f2c650f342d3057cfca8879805e19e5c627823,20221108MO27544,live,0.0,MO,Missouri,26,1,2022-11-09T01:00:00.000Z,state,0,2022-11-08T22:23:07.782Z,0,3266,0.0,11186,0,0.0,11187,0,0.0,2650000,99,0,4224608,0,0,,,,
1667946645,2022-11-08 22:30:45 +0000,b4a2d52dc2885174b04713e13bf7fbb8eadd5f83,20221108MO27544,live,0.0,MO,Missouri,26,1,2022-11-09T01:00:00.000Z,state,0,2022-11-08T22:27:11.395Z,0,3266,0.0,11186,0,0.0,11187,0,0.0,2650000,99,0,4224608,0,0,,,,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,20221108MO27544,live,0.0,MO,Missouri,26,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:06:47.542Z,0,3266,0.0,11186,0,0.0,11187,0,0.0,2650000,99,0,4224608,0,0,,,,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,20221108MO27544,live,0.0,MO,Missouri,26,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:07:24.195Z,0,3266,0.0,11186,0,0.0,11187,0,0.0,2650000,99,0,4224608,0,0,,,,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,20221108MO27544,live,0.64,MO,Missouri,26,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:41:10.143Z,1,3266,0.03,11186,10493,62.29,11187,6352,37.71,2650000,99,16845,4224608,1,21,0.0,,,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,20221108MO27544,live,0.89,MO,Missouri,26,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:45:06.848Z,1,3266,0.03,11186,15269,64.48,11187,8410,35.52,2650000,99,23679,4224608,1,29,0.0,,,
