captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,officeID,officeName,national,state,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.11186.last,candidates.11186.party,candidates.11186.candidateID,candidates.11186.ballotOrder,candidates.11186.polID,candidates.11186.polNum,candidates.11186.electWon,candidates.11187.last,candidates.11187.party,candidates.11187.candidateID,candidates.11187.ballotOrder,candidates.11187.polID,candidates.11187.polNum,candidates.11187.electWon,raceCallStatus,candidates.11186.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,MO-20221108_Eday80,26,Ballot Issue,G,Awaiting Poll Close,I,Constitutional Amendment,True,True,4 - Increase Police Funding,4,2606490,99,0,4224608,True,20221108MO27544,2022-11-08,MO,Yes,Yes,11186,1,2,28836,0.0,No,No,11187,2,3,28837,0.0,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,MO-20221108_Eday80,26,Ballot Issue,G,Awaiting Poll Close,I,Constitutional Amendment,True,True,4 - Increase Police Funding,4,2650000,99,0,4224608,True,20221108MO27544,2022-11-08,MO,Yes,Yes,11186,1,2,28836,0.0,No,No,11187,2,3,28837,0.0,,,
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,4 - Increase Police Funding,4,2650000,99,0,4224608,True,20221108MO27544,2022-11-08,MO,Yes,Yes,11186,1,2,28836,0.0,No,No,11187,2,3,28837,0.0,,,
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,4 - Increase Police Funding,4,2650000,99,16845,4224608,True,20221108MO27544,2022-11-08,MO,Yes,Yes,11186,1,2,28836,0.0,No,No,11187,2,3,28837,0.0,,,
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,4 - Increase Police Funding,4,2650000,99,116550,4224608,True,20221108MO27544,2022-11-08,MO,Yes,Yes,11186,1,2,28836,0.0,No,No,11187,2,3,28837,0.0,,,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,4 - Increase Police Funding,4,2650000,99,123686,4224608,True,20221108MO27544,2022-11-08,MO,Yes,Yes,11186,1,2,28836,0.0,No,No,11187,2,3,28837,0.0,,,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,4 - Increase Police Funding,4,2650000,99,158623,4224608,True,20221108MO27544,2022-11-08,MO,Yes,Yes,11186,1,2,28836,0.0,No,No,11187,2,3,28837,0.0,,,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,4 - Increase Police Funding,4,2650000,99,163441,4224608,True,20221108MO27544,2022-11-08,MO,Yes,Yes,11186,1,2,28836,0.0,No,No,11187,2,3,28837,0.0,,,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,4 - Increase Police Funding,4,2650000,99,197729,4224608,True,20221108MO27544,2022-11-08,MO,Yes,Yes,11186,1,2,28836,0.0,No,No,11187,2,3,28837,0.0,,,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,MO-20221108_Eday80,26,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,True,True,4 - Increase Police Funding,4,2650000,99,189985,4224608,True,20221108MO27544,2022-11-08,MO,Yes,Yes,11186,1,2,28836,0.0,No,No,11187,2,3,28837,0.0,,,
