captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.1.colorIndex,candidates.0.winner,candidates.0.calledAt
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108MS26488,live,0.0,MS,Mississippi,25,1,2022-11-09T01:00:00.000Z,state,0,2022-11-07T21:18:28.056Z,0,477,0.0,31994,0,0.0,32680,0,0.0,196358,99,0,800559,0,0,,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108MS26488,live,0.0,MS,Mississippi,25,1,2022-11-09T01:00:00.000Z,state,0,2022-11-08T18:34:28.606Z,0,477,0.0,31994,0,0.0,32680,0,0.0,196358,99,0,800559,0,0,,,,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,20221108MS26488,live,0.16,MS,Mississippi,25,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:12:55.180Z,1,477,0.21,31994,190,61.09,32680,121,38.91,196358,99,311,800559,1,1,0.0,,,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,20221108MS26488,live,0.5,MS,Mississippi,25,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:33:31.086Z,2,477,0.42,31994,568,57.66,32680,417,42.34,196358,99,985,800559,2,2,0.0,,,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,20221108MS26488,live,0.81,MS,Mississippi,25,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:44:40.130Z,4,477,0.84,31994,814,51.16,32680,777,48.84,196358,99,1591,800559,4,4,0.0,1.0,,
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,20221108MS26488,live,1.53,MS,Mississippi,25,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:54:51.241Z,7,477,1.47,31994,1946,64.59,32680,1067,35.41,196358,99,3013,800559,7,7,0.0,1.0,,
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,20221108MS26488,live,2.63,MS,Mississippi,25,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:56:34.849Z,15,477,3.14,31994,3271,63.44,32680,1885,36.56,196358,99,5156,800559,15,13,0.0,1.0,,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,20221108MS26488,live,5.91,MS,Mississippi,25,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:04:25.566Z,35,477,7.34,31994,7338,63.26,32680,4261,36.74,196358,99,11599,800559,35,28,0.0,1.0,,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,20221108MS26488,live,7.86,MS,Mississippi,25,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:09:47.932Z,50,477,10.48,31994,9953,64.5,32680,5479,35.5,196358,99,15432,800559,50,37,0.0,1.0,,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,20221108MS26488,live,10.03,MS,Mississippi,25,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:14:39.198Z,67,477,14.05,31994,12968,65.86,32680,6721,34.14,196358,99,19689,800559,67,48,0.0,1.0,,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,20221108MS26488,live,10.57,MS,Mississippi,25,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:17:09.380Z,72,477,15.09,31994,13465,64.85,32680,7298,35.15,196358,99,20763,800559,72,50,0.0,1.0,,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,20221108MS26488,live,13.25,MS,Mississippi,25,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:22:33.420Z,91,477,19.08,31994,16894,65.04,32680,9082,34.96,196044,99,25976,800559,91,63,0.0,1.0,,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,20221108MS26488,live,13.98,MS,Mississippi,25,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:27:12.181Z,98,477,20.55,31994,17975,64.89,32680,9726,35.11,198105,99,27701,800559,98,67,0.0,1.0,,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,20221108MS26488,live,16.53,MS,Mississippi,25,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:28:24.576Z,98,477,20.55,31994,22203,67.8,32680,10545,32.2,198105,99,32748,800559,98,79,0.0,1.0,,
