captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,candidates.2.candidateID,candidates.2.voteCount,candidates.2.votePct,candidates.3.candidateID,candidates.3.voteCount,candidates.3.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.1.colorIndex,candidates.2.colorIndex,candidates.0.winner,candidates.0.calledAt
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108MT28576,live,0.0,MT,Montana,27,1,2022-11-09T03:00:00.000Z,state,0,2022-11-07T22:55:05.362Z,0,362,0.0,36002,0,0.0,36217,0,0.0,36216,0,0.0,36218,0,0.0,243334,99,0,497392,0,0,,,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108MT28576,live,0.0,MT,Montana,27,1,2022-11-09T03:00:00.000Z,state,0,2022-11-08T18:54:16.549Z,0,362,0.0,36002,0,0.0,36217,0,0.0,36216,0,0.0,36218,0,0.0,243334,99,0,497392,0,0,,,,,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,20221108MT28576,live,0.0,MT,Montana,27,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T03:01:35.537Z,0,362,0.0,36002,0,0.0,36217,0,0.0,36216,0,0.0,36218,0,0.0,243334,99,0,497392,0,0,,,,,
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,20221108MT28576,live,2.58,MT,Montana,27,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T03:20:24.346Z,7,362,1.93,36217,2645,42.21,36216,1910,30.48,36218,1593,25.42,36002,119,1.9,243334,99,6267,497392,7,9,0.0,,,,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,20221108MT28576,live,10.04,MT,Montana,27,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T03:26:40.525Z,23,362,6.35,36217,9149,37.45,36218,8733,35.75,36216,6209,25.42,36002,336,1.38,243334,99,24427,497392,23,36,0.0,1.0,,,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,20221108MT28576,live,10.16,MT,Montana,27,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T03:45:20.269Z,24,362,6.63,36217,9315,37.69,36218,8770,35.49,36216,6291,25.46,36002,338,1.37,243334,99,24714,497392,24,37,0.0,1.0,,,
1667966001,2022-11-09 03:53:21 +0000,cee0a612753351ddb30fde2a157613da20f2be01,20221108MT28576,live,10.16,MT,Montana,27,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T03:50:12.345Z,24,362,6.63,36217,9315,37.69,36218,8770,35.49,36216,6291,25.46,36002,338,1.37,243334,99,24714,497392,24,37,0.0,1.0,,,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,20221108MT28576,live,11.88,MT,Montana,27,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T04:03:30.401Z,34,362,9.39,36217,12202,42.2,36218,9475,32.77,36216,6828,23.61,36002,411,1.42,243334,99,28916,497392,34,43,0.0,1.0,,,
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,20221108MT28576,live,12.27,MT,Montana,27,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T04:05:57.337Z,37,362,10.22,36217,12908,43.25,36218,9577,32.09,36216,6948,23.28,36002,415,1.39,243334,99,29848,497392,37,44,0.0,1.0,,,
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,20221108MT28576,live,12.94,MT,Montana,27,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T04:16:29.820Z,39,362,10.77,36217,13983,44.4,36218,9914,31.48,36216,7165,22.75,36002,430,1.37,243334,99,31492,497392,39,47,0.0,1.0,,,
