captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.42895.first,candidates.42895.last,candidates.42895.party,candidates.42895.incumbent,candidates.42895.candidateID,candidates.42895.polID,candidates.42895.ballotOrder,candidates.42895.polNum,candidates.42895.electWon,candidates.45604.first,candidates.45604.last,candidates.45604.party,candidates.45604.candidateID,candidates.45604.polID,candidates.45604.ballotOrder,candidates.45604.polNum,candidates.45604.electWon,candidates.42895.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,NC-20221108_Eday62,34,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 7,7,274177,99,0,1002002,True,20221108NC34973,2022-11-08,NC,42895,David,Rouzer,GOP,True,42895,35605,2,36667,0,Charles,Graham,Dem,45604,70269,1,37131,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,NC-20221108_Eday80,34,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 7,7,314027,99,0,1002002,True,20221108NC34973,2022-11-08,NC,42895,David,Rouzer,GOP,True,42895,35605,2,36667,0,Charles,Graham,Dem,45604,70269,1,37131,0,,
1667954884,2022-11-09 00:48:04 +0000,8f544a76833fbb21dc3fbc0ce7b73e3714be8529,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,314027,99,123850,1002002,True,20221108NC34973,2022-11-08,NC,42895,David,Rouzer,GOP,True,42895,35605,2,36667,0,Charles,Graham,Dem,45604,70269,1,37131,0,,
1667956006,2022-11-09 01:06:46 +0000,01cc2f6d0039b2fcb59e03eced60e58dcb253844,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,314027,99,133305,1002002,True,20221108NC34973,2022-11-08,NC,42895,David,Rouzer,GOP,True,42895,35605,2,36667,0,Charles,Graham,Dem,45604,70269,1,37131,0,,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,314027,99,151934,1002002,True,20221108NC34973,2022-11-08,NC,42895,David,Rouzer,GOP,True,42895,35605,2,36667,0,Charles,Graham,Dem,45604,70269,1,37131,0,,
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,314027,99,156954,1002002,True,20221108NC34973,2022-11-08,NC,42895,David,Rouzer,GOP,True,42895,35605,2,36667,0,Charles,Graham,Dem,45604,70269,1,37131,0,,
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,314027,99,177852,1002002,True,20221108NC34973,2022-11-08,NC,42895,David,Rouzer,GOP,True,42895,35605,2,36667,0,Charles,Graham,Dem,45604,70269,1,37131,0,,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,314027,99,185823,1002002,True,20221108NC34973,2022-11-08,NC,42895,David,Rouzer,GOP,True,42895,35605,2,36667,0,Charles,Graham,Dem,45604,70269,1,37131,0,,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,314027,99,199951,1002002,True,20221108NC34973,2022-11-08,NC,42895,David,Rouzer,GOP,True,42895,35605,2,36667,0,Charles,Graham,Dem,45604,70269,1,37131,0,,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,314027,99,193347,1002002,True,20221108NC34973,2022-11-08,NC,42895,David,Rouzer,GOP,True,42895,35605,2,36667,0,Charles,Graham,Dem,45604,70269,1,37131,0,,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,314027,99,199951,1002002,True,20221108NC34973,2022-11-08,NC,42895,David,Rouzer,GOP,True,42895,35605,2,36667,0,Charles,Graham,Dem,45604,70269,1,37131,0,,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,314027,99,224669,1002002,True,20221108NC34973,2022-11-08,NC,42895,David,Rouzer,GOP,True,42895,35605,2,36667,0,Charles,Graham,Dem,45604,70269,1,37131,0,,
