captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,candidates.2.candidateID,candidates.2.voteCount,candidates.2.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.1.colorIndex,candidates.0.winner,candidates.0.calledAt
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108NC34977,live,0.0,NC,North Carolina,34,1,2022-11-08T23:30:00.000Z,state,0,2022-11-07T03:18:23.890Z,0,275,0.0,45621,0,0.0,45620,0,0.0,45954,0,0.0,310998,99,0,1366826,0,0,,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108NC34977,live,0.0,NC,North Carolina,34,1,2022-11-09T00:30:00.000Z,state,0,2022-11-08T18:41:43.418Z,0,275,0.0,45621,0,0.0,45620,0,0.0,45954,0,0.0,340614,99,0,1366826,0,0,,,,
1667947695,2022-11-08 22:48:15 +0000,d34bad58f4d41f9cfcdcd94796fa010d33630ef0,20221108NC34977,live,0.0,NC,North Carolina,34,1,2022-11-09T00:30:00.000Z,state,0,2022-11-08T22:43:56.794Z,0,275,0.0,45621,0,0.0,45620,0,0.0,45954,0,0.0,340614,99,0,1366826,0,0,,,,
1667954061,2022-11-09 00:34:21 +0000,f42b15f4268586407ce223466d2394d526a81df4,20221108NC34977,live,0.0,NC,North Carolina,34,1,2022-11-09T00:30:00.000Z,state,0,2022-11-09T00:32:10.480Z,0,275,0.0,45621,0,0.0,45620,0,0.0,45954,0,0.0,340614,99,0,1366826,0,0,,,,
1667954328,2022-11-09 00:38:48 +0000,bfe97281aaab58d7c74edee2f505906bcc18daea,20221108NC34977,live,48.58,NC,North Carolina,34,1,2022-11-09T00:30:00.000Z,state,0,2022-11-09T00:36:32.402Z,0,275,0.0,45620,88579,53.53,45621,74899,45.26,45954,2007,1.21,340614,99,165485,1366826,0,134,0.0,1.0,,
1667954620,2022-11-09 00:43:40 +0000,390deeca213dc77033625c9727e9139ac530f13c,20221108NC34977,live,55.83,NC,North Carolina,34,1,2022-11-09T00:30:00.000Z,state,0,2022-11-09T00:40:56.105Z,0,275,0.0,45620,99201,52.16,45621,88609,46.59,45954,2361,1.24,340614,99,190171,1366826,0,154,0.0,1.0,,
1667954884,2022-11-09 00:48:04 +0000,8f544a76833fbb21dc3fbc0ce7b73e3714be8529,20221108NC34977,live,55.83,NC,North Carolina,34,1,2022-11-09T00:30:00.000Z,state,0,2022-11-09T00:42:26.618Z,0,275,0.0,45620,99201,52.16,45621,88609,46.59,45954,2361,1.24,340614,99,190171,1366826,0,154,0.0,1.0,,
1667955153,2022-11-09 00:52:33 +0000,5dbf5007b88cfdc60ec0e8e538e0df6eb1e86637,20221108NC34977,live,56.52,NC,North Carolina,34,1,2022-11-09T00:30:00.000Z,state,0,2022-11-09T00:48:56.564Z,1,275,0.36,45620,99645,51.76,45621,90452,46.99,45954,2415,1.25,340614,99,192512,1366826,1,155,0.0,1.0,,
1667955430,2022-11-09 00:57:10 +0000,e9bf9bc2954735d2abe72015bd1ac602b27e7679,20221108NC34977,live,56.52,NC,North Carolina,34,1,2022-11-09T00:30:00.000Z,state,0,2022-11-09T00:54:15.351Z,1,275,0.36,45620,99648,51.76,45621,90461,46.99,45954,2416,1.25,340614,99,192525,1366826,1,155,0.0,1.0,,
1667955702,2022-11-09 01:01:42 +0000,f6f1267e463cf8ecb93583f1dab12bfae681d775,20221108NC34977,live,56.69,NC,North Carolina,34,1,2022-11-09T00:30:00.000Z,state,0,2022-11-09T00:58:49.648Z,2,275,0.73,45620,99723,51.65,45621,90941,47.1,45954,2429,1.26,340614,99,193093,1366826,2,156,0.0,1.0,,
1667956006,2022-11-09 01:06:46 +0000,01cc2f6d0039b2fcb59e03eced60e58dcb253844,20221108NC34977,live,56.82,NC,North Carolina,34,1,2022-11-09T00:30:00.000Z,state,0,2022-11-09T01:03:52.638Z,3,275,1.09,45620,99807,51.57,45621,91282,47.17,45954,2438,1.26,340614,99,193527,1366826,3,156,0.0,1.0,,
