captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.42409.first,candidates.42409.last,candidates.42409.incumbent,candidates.42409.party,candidates.42409.candidateID,candidates.42409.ballotOrder,candidates.42409.polID,candidates.42409.polNum,candidates.42409.electWon,candidates.45703.first,candidates.45703.last,candidates.45703.party,candidates.45703.candidateID,candidates.45703.ballotOrder,candidates.45703.polID,candidates.45703.polNum,candidates.45703.electWon,candidates.42409.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,NC-20221108_Eday80,34,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 5,5,313753,99,0,1303726,True,20221108NC35388,2022-11-08,NC,42409,Virginia,Foxx,True,GOP,42409,1,1877,34897,0,Kyle,Parrish,Dem,45703,2,70262,38886,0,,
1667954884,2022-11-09 00:48:04 +0000,8f544a76833fbb21dc3fbc0ce7b73e3714be8529,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,313753,99,37797,1303726,True,20221108NC35388,2022-11-08,NC,42409,Virginia,Foxx,True,GOP,42409,1,1877,34897,0,Kyle,Parrish,Dem,45703,2,70262,38886,0,,
1667955702,2022-11-09 01:01:42 +0000,f6f1267e463cf8ecb93583f1dab12bfae681d775,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,313753,99,115874,1303726,True,20221108NC35388,2022-11-08,NC,42409,Virginia,Foxx,True,GOP,42409,1,1877,34897,0,Kyle,Parrish,Dem,45703,2,70262,38886,0,,
1667956006,2022-11-09 01:06:46 +0000,01cc2f6d0039b2fcb59e03eced60e58dcb253844,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,313753,99,37797,1303726,True,20221108NC35388,2022-11-08,NC,42409,Virginia,Foxx,True,GOP,42409,1,1877,34897,0,Kyle,Parrish,Dem,45703,2,70262,38886,0,,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,313753,99,115874,1303726,True,20221108NC35388,2022-11-08,NC,42409,Virginia,Foxx,True,GOP,42409,1,1877,34897,0,Kyle,Parrish,Dem,45703,2,70262,38886,0,,
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,313753,99,129944,1303726,True,20221108NC35388,2022-11-08,NC,42409,Virginia,Foxx,True,GOP,42409,1,1877,34897,0,Kyle,Parrish,Dem,45703,2,70262,38886,0,,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,313753,99,135714,1303726,True,20221108NC35388,2022-11-08,NC,42409,Virginia,Foxx,True,GOP,42409,1,1877,34897,0,Kyle,Parrish,Dem,45703,2,70262,38886,0,,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,313753,99,148572,1303726,True,20221108NC35388,2022-11-08,NC,42409,Virginia,Foxx,True,GOP,42409,1,1877,34897,0,Kyle,Parrish,Dem,45703,2,70262,38886,0,,
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,313753,99,166855,1303726,True,20221108NC35388,2022-11-08,NC,42409,Virginia,Foxx,True,GOP,42409,1,1877,34897,0,Kyle,Parrish,Dem,45703,2,70262,38886,0,,
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,NC-20221108_Eday80,34,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,313753,99,171333,1303726,True,20221108NC35388,2022-11-08,NC,42409,Virginia,Foxx,True,GOP,42409,1,1877,34897,0,Kyle,Parrish,Dem,45703,2,70262,38886,0,,
