captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,officeID,officeName,description,national,state,keyRace,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.32035.last,candidates.32035.party,candidates.32035.candidateID,candidates.32035.ballotOrder,candidates.32035.polID,candidates.32035.polNum,candidates.32035.electWon,candidates.32036.last,candidates.32036.party,candidates.32036.candidateID,candidates.32036.ballotOrder,candidates.32036.polID,candidates.32036.polNum,candidates.32036.electWon,raceCallStatus,candidates.32035.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,NE-20221108_Eday80,28,Ballot Issue,G,Awaiting Poll Close,I,Initiative,Incrementally to $15,True,True,True,433  - Raise Minimum Wage,1,725000,99,0,1241451,True,20221108NE29537,2022-11-08,NE,For,Yes,32035,1,2,29743,0,Against,No,32036,2,3,28864,0,,,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,NE-20221108_Eday80,28,Ballot Issue,G,Active Tabulation,I,Initiative,Incrementally to $15,True,True,True,433  - Raise Minimum Wage,1,725000,99,163412,1241451,True,20221108NE29537,2022-11-08,NE,For,Yes,32035,1,2,29743,0,Against,No,32036,2,3,28864,0,,,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,NE-20221108_Eday80,28,Ballot Issue,G,Active Tabulation,I,Initiative,Incrementally to $15,True,True,True,433  - Raise Minimum Wage,1,725000,99,160444,1241451,True,20221108NE29537,2022-11-08,NE,For,Yes,32035,1,2,29743,0,Against,No,32036,2,3,28864,0,,,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,NE-20221108_Eday80,28,Ballot Issue,G,Active Tabulation,I,Initiative,Incrementally to $15,True,True,True,433  - Raise Minimum Wage,1,725000,99,163412,1241451,True,20221108NE29537,2022-11-08,NE,For,Yes,32035,1,2,29743,0,Against,No,32036,2,3,28864,0,,,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,NE-20221108_Eday80,28,Ballot Issue,G,Active Tabulation,I,Initiative,Incrementally to $15,True,True,True,433  - Raise Minimum Wage,1,725000,99,180533,1241451,True,20221108NE29537,2022-11-08,NE,For,Yes,32035,1,2,29743,0,Against,No,32036,2,3,28864,0,,,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,NE-20221108_Eday80,28,Ballot Issue,G,Active Tabulation,I,Initiative,Incrementally to $15,True,True,True,433  - Raise Minimum Wage,1,725000,99,175136,1241451,True,20221108NE29537,2022-11-08,NE,For,Yes,32035,1,2,29743,0,Against,No,32036,2,3,28864,0,,,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,NE-20221108_Eday80,28,Ballot Issue,G,Active Tabulation,I,Initiative,Incrementally to $15,True,True,True,433  - Raise Minimum Wage,1,725000,99,184283,1241451,True,20221108NE29537,2022-11-08,NE,For,Yes,32035,1,2,29743,0,Against,No,32036,2,3,28864,0,,,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,NE-20221108_Eday80,28,Ballot Issue,G,Active Tabulation,I,Initiative,Incrementally to $15,True,True,True,433  - Raise Minimum Wage,1,725000,99,186598,1241451,True,20221108NE29537,2022-11-08,NE,For,Yes,32035,1,2,29743,0,Against,No,32036,2,3,28864,0,,,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,NE-20221108_Eday80,28,Ballot Issue,G,Active Tabulation,I,Initiative,Incrementally to $15,True,True,True,433  - Raise Minimum Wage,1,725000,99,258177,1241451,True,20221108NE29537,2022-11-08,NE,For,Yes,32035,1,2,29743,0,Against,No,32036,2,3,28864,0,,,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,NE-20221108_Eday80,28,Ballot Issue,G,Active Tabulation,I,Initiative,Incrementally to $15,True,True,True,433  - Raise Minimum Wage,1,725000,99,260681,1241451,True,20221108NE29537,2022-11-08,NE,For,Yes,32035,1,2,29743,0,Against,No,32036,2,3,28864,0,,,
