captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,candidates.2.candidateID,candidates.2.voteCount,candidates.2.votePct,candidates.3.candidateID,candidates.3.voteCount,candidates.3.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.1.colorIndex,candidates.0.winner,candidates.0.calledAt
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108NH30005,live,0.0,NH,New Hampshire,30,1,2022-11-09T00:00:00.000Z,state,0,2022-11-07T21:17:34.697Z,0,304,0.0,46562,0,0.0,49921,0,0.0,50883,0,0.0,50884,0,0.0,620000,99,0,869863,0,0,,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108NH30005,live,0.0,NH,New Hampshire,30,1,2022-11-09T00:00:00.000Z,state,0,2022-11-08T18:33:21.224Z,0,304,0.0,46562,0,0.0,49921,0,0.0,50883,0,0.0,50884,0,0.0,620000,99,0,869863,0,0,,,,
1667947695,2022-11-08 22:48:15 +0000,d34bad58f4d41f9cfcdcd94796fa010d33630ef0,20221108NH30005,live,0.0,NH,New Hampshire,30,1,2022-11-09T00:00:00.000Z,state,0,2022-11-08T22:46:09.492Z,0,304,0.0,46562,0,0.0,49921,0,0.0,50883,0,0.0,50884,0,0.0,620000,99,0,869863,0,0,,,,
1667947961,2022-11-08 22:52:41 +0000,61cf3818eb7b56b77db7de41bfdda7ab59f4de65,20221108NH30005,live,0.0,NH,New Hampshire,30,1,2022-11-09T00:00:00.000Z,state,0,2022-11-08T22:50:28.880Z,0,304,0.0,46562,0,0.0,49921,0,0.0,50883,0,0.0,50884,0,0.0,620000,99,0,869863,0,0,,,,
1667948224,2022-11-08 22:57:04 +0000,5811cb367141367f8bc77ffdad931a3c41c67ea4,20221108NH30005,live,0.0,NH,New Hampshire,30,1,2022-11-09T00:00:00.000Z,state,0,2022-11-08T22:53:06.676Z,0,304,0.0,46562,0,0.0,49921,0,0.0,50883,0,0.0,50884,0,0.0,620000,99,0,869863,0,0,,,,
1667953197,2022-11-09 00:19:57 +0000,4752cb39f35c63d02e72237179350aec6f014171,20221108NH30005,live,0.46,NH,New Hampshire,30,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T00:15:20.555Z,2,304,0.66,49921,1686,59.39,46562,1118,39.38,50884,19,0.67,50883,16,0.56,620000,99,2839,869863,2,1,0.0,1.0,,
1667953518,2022-11-09 00:25:18 +0000,c5fd4e03c2339afc5fd044a64f91f261b7e7cfa1,20221108NH30005,live,1.76,NH,New Hampshire,30,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T00:22:19.473Z,7,304,2.3,49921,5513,50.38,46562,5273,48.19,50884,98,0.9,50883,59,0.54,620000,99,10943,869863,7,5,0.0,1.0,,
1667953790,2022-11-09 00:29:50 +0000,6070b11d4c3c0a9b2acaa63cc75a94579377e299,20221108NH30005,live,3.05,NH,New Hampshire,30,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T00:27:19.356Z,11,304,3.62,46562,9621,50.89,49921,9013,47.68,50884,165,0.87,50883,105,0.56,620000,99,18904,869863,11,9,1.0,0.0,,
1667954061,2022-11-09 00:34:21 +0000,f42b15f4268586407ce223466d2394d526a81df4,20221108NH30005,live,3.85,NH,New Hampshire,30,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T00:30:15.409Z,13,304,4.28,49921,12327,51.58,46562,11232,47.0,50884,216,0.9,50883,123,0.51,620000,99,23898,869863,13,12,0.0,1.0,,
1667954328,2022-11-09 00:38:48 +0000,bfe97281aaab58d7c74edee2f505906bcc18daea,20221108NH30005,live,5.11,NH,New Hampshire,30,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T00:35:15.809Z,17,304,5.59,49921,16060,50.74,46562,15140,47.83,50884,299,0.94,50883,154,0.49,620000,99,31653,869863,17,16,0.0,1.0,,
1667954620,2022-11-09 00:43:40 +0000,390deeca213dc77033625c9727e9139ac530f13c,20221108NH30005,live,5.81,NH,New Hampshire,30,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T00:38:09.200Z,19,304,6.25,49921,18208,50.52,46562,17316,48.05,50884,333,0.92,50883,183,0.51,620000,99,36040,869863,19,18,0.0,1.0,,
1667954884,2022-11-09 00:48:04 +0000,8f544a76833fbb21dc3fbc0ce7b73e3714be8529,20221108NH30005,live,6.11,NH,New Hampshire,30,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T00:45:50.647Z,20,304,6.58,49921,19370,51.16,46562,17941,47.39,50884,358,0.95,50883,193,0.51,620000,99,37862,869863,20,19,0.0,1.0,,
1667955153,2022-11-09 00:52:33 +0000,5dbf5007b88cfdc60ec0e8e538e0df6eb1e86637,20221108NH30005,live,8.66,NH,New Hampshire,30,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T00:50:15.127Z,26,304,8.55,49921,26527,49.42,46562,26419,49.22,50884,463,0.86,50883,266,0.5,620000,99,53675,869863,26,26,0.0,1.0,,
1667955430,2022-11-09 00:57:10 +0000,e9bf9bc2954735d2abe72015bd1ac602b27e7679,20221108NH30005,live,9.91,NH,New Hampshire,30,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T00:53:24.816Z,30,304,9.87,49921,30434,49.51,46562,30163,49.07,50884,555,0.9,50883,315,0.51,620000,99,61467,869863,30,30,0.0,1.0,,
1667955702,2022-11-09 01:01:42 +0000,f6f1267e463cf8ecb93583f1dab12bfae681d775,20221108NH30005,live,10.18,NH,New Hampshire,30,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T00:55:38.377Z,31,304,10.2,49921,31184,49.39,46562,31045,49.17,50884,581,0.92,50883,331,0.52,620000,99,63141,869863,31,31,0.0,1.0,,
1667956006,2022-11-09 01:06:46 +0000,01cc2f6d0039b2fcb59e03eced60e58dcb253844,20221108NH30005,live,10.48,NH,New Hampshire,30,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:00:13.919Z,32,304,10.53,49921,32084,49.39,46562,31931,49.16,50884,595,0.92,50883,344,0.53,620000,99,64954,869863,32,32,0.0,1.0,,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,20221108NH30005,live,11.18,NH,New Hampshire,30,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:06:17.525Z,35,304,11.51,46562,34531,49.8,49921,33812,48.76,50884,630,0.91,50883,367,0.53,620000,99,69340,869863,35,34,1.0,0.0,,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,20221108NH30005,live,11.46,NH,New Hampshire,30,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:12:23.129Z,36,304,11.84,46562,35504,49.99,49921,34488,48.56,50884,655,0.92,50883,378,0.53,620000,99,71025,869863,36,35,1.0,0.0,,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,20221108NH30005,live,11.63,NH,New Hampshire,30,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:16:35.319Z,37,304,12.17,46562,36032,49.97,49921,35025,48.58,50884,664,0.92,50883,381,0.53,620000,99,72102,869863,37,35,1.0,0.0,,
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,20221108NH30005,live,12.2,NH,New Hampshire,30,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:21:13.721Z,39,304,12.83,46562,37965,50.19,49921,36580,48.36,50884,688,0.91,50883,409,0.54,620000,99,75642,869863,39,37,1.0,0.0,,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,20221108NH30005,live,13.12,NH,New Hampshire,30,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:26:22.392Z,41,304,13.49,46562,41164,50.6,49921,39047,48.0,50884,714,0.88,50883,423,0.52,620000,99,81348,869863,41,40,1.0,0.0,,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,20221108NH30005,live,13.3,NH,New Hampshire,30,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:32:33.477Z,42,304,13.82,46562,41773,50.68,49921,39515,47.94,50884,720,0.87,50883,425,0.52,620000,99,82433,869863,42,40,1.0,0.0,X,2022-11-09T01:32:25.485Z
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,20221108NH30005,live,13.53,NH,New Hampshire,30,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:35:12.918Z,43,304,14.14,46562,42328,50.45,49921,40395,48.15,50884,743,0.89,50883,434,0.52,620000,99,83900,869863,43,41,1.0,0.0,X,2022-11-09T01:32:25.485Z
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,20221108NH30005,live,13.87,NH,New Hampshire,30,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:39:46.292Z,46,304,15.13,46562,43580,50.69,49921,41189,47.91,50884,757,0.88,50883,447,0.52,620000,99,85973,869863,46,42,1.0,0.0,X,2022-11-09T01:32:25.485Z
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,20221108NH30005,live,14.31,NH,New Hampshire,30,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:44:22.563Z,48,304,15.79,46562,44794,50.5,49921,42674,48.11,50884,777,0.88,50883,463,0.52,620000,99,88708,869863,48,43,1.0,0.0,X,2022-11-09T01:32:25.485Z
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,20221108NH30005,live,14.74,NH,New Hampshire,30,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:49:03.334Z,50,304,16.45,46562,46502,50.88,49921,43635,47.74,50884,792,0.87,50883,471,0.52,620000,99,91400,869863,50,45,1.0,0.0,X,2022-11-09T01:32:25.485Z
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,20221108NH30005,live,15.27,NH,New Hampshire,30,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:54:08.524Z,53,304,17.43,46562,48775,51.53,49921,44586,47.1,50884,808,0.85,50883,493,0.52,620000,99,94662,869863,53,46,1.0,0.0,X,2022-11-09T01:32:25.485Z
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,20221108NH30005,live,15.42,NH,New Hampshire,30,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T02:00:34.689Z,54,304,17.76,46562,49346,51.6,49921,44961,47.02,50884,821,0.86,50883,497,0.52,620000,99,95625,869863,54,47,1.0,0.0,X,2022-11-09T01:32:25.485Z
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,20221108NH30005,live,15.42,NH,New Hampshire,30,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T02:06:02.158Z,54,304,17.76,46562,49346,51.6,49921,44961,47.02,50884,821,0.86,50883,497,0.52,620000,99,95625,869863,54,47,1.0,0.0,X,2022-11-09T01:32:25.485Z
