captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.43358.first,candidates.43358.last,candidates.43358.abbrv,candidates.43358.incumbent,candidates.43358.party,candidates.43358.candidateID,candidates.43358.ballotOrder,candidates.43358.polID,candidates.43358.polNum,candidates.43358.electWon,candidates.49950.first,candidates.49950.last,candidates.49950.party,candidates.49950.candidateID,candidates.49950.ballotOrder,candidates.49950.polID,candidates.49950.polNum,candidates.49950.electWon,candidates.43358.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,NH-20221108_Eday80,30,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 2,2,309697,99,0,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,,
1667953790,2022-11-09 00:29:50 +0000,6070b11d4c3c0a9b2acaa63cc75a94579377e299,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,309697,99,5759,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,,
1667954620,2022-11-09 00:43:40 +0000,390deeca213dc77033625c9727e9139ac530f13c,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,309697,99,13242,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,,
1667954884,2022-11-09 00:48:04 +0000,8f544a76833fbb21dc3fbc0ce7b73e3714be8529,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,309697,99,9631,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,,
1667955153,2022-11-09 00:52:33 +0000,5dbf5007b88cfdc60ec0e8e538e0df6eb1e86637,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,309697,99,13242,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,,
1667955430,2022-11-09 00:57:10 +0000,e9bf9bc2954735d2abe72015bd1ac602b27e7679,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,305378,99,18103,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,305378,99,19907,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,305234,99,19907,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,306878,99,25148,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,306878,99,31424,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,,
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,305972,99,34371,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,306151,99,37780,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,306525,99,38128,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,306151,99,37780,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,306525,99,38128,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,306525,99,38401,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,306650,99,39983,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,306650,99,42835,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,,
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,306650,99,47874,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,,
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,307766,99,56731,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,319596,99,70367,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,319596,99,85007,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,319596,99,89839,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,319596,99,102797,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,,
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,319596,99,121857,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,,
1667968047,2022-11-08 22:27:27 -0600,3febed665f84b6f0a9717d87750ee8049f50fab6,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,320079,99,140105,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,,
1667968138,2022-11-08 22:28:58 -0600,78be3d1941803188124b187362be51adf1e8fdfb,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,320079,99,140469,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,,
1667968227,2022-11-08 22:30:27 -0600,b78ec951061d2bf917e09f1eb01cb079af5e3a88,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,320079,99,140105,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,,
1667968272,2022-11-08 22:31:12 -0600,97ef6c54bfa1c7ef6beea70c87aafe0c54251ad8,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,320079,99,140469,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,,
1667968361,2022-11-08 22:32:41 -0600,0b888fe41bc653990f05b2c6fe09da530560e7a3,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,320079,99,140105,815202,True,20221108NH30017,2022-11-08,NH,43358,Ann,McLane Kuster,McLnKstr,True,Dem,43358,2,61213,38526,0,Robert,Burns,GOP,49950,1,67511,39237,0,,
