captureTimestamp,captureDateTime,captureRevision,statePostal,reportingunitID,reportingunitLevel,pollClosingTime,level,fipsCode,electTotal,lastUpdated,precinctsReporting,eevp,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,candidates.2.candidateID,candidates.2.voteCount,candidates.2.votePct,candidates.3.candidateID,candidates.3.voteCount,candidates.3.votePct,candidates.4.candidateID,candidates.4.voteCount,candidates.4.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,NJ,34015,2,2022-11-09T00:00:00.000Z,FIPSCode,34015,0,2022-11-07T03:18:47.635Z,0,0.0,170,0,38250,0,0.0,39939,0,0.0,39986,0,0.0,39987,0,0.0,39988,0,0.0,111304,99,0,156965,0,0
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,NJ,34015,2,2022-11-09T01:00:00.000Z,FIPSCode,34015,0,2022-11-08T19:53:37.002Z,0,0.0,170,0,38250,0,0.0,39939,0,0.0,39986,0,0.0,39987,0,0.0,39988,0,0.0,60617,99,0,156965,0,0
1667946382,2022-11-08 22:26:22 +0000,73f2c650f342d3057cfca8879805e19e5c627823,NJ,34015,2,2022-11-09T01:00:00.000Z,FIPSCode,34015,0,2022-11-08T22:23:59.769Z,0,0.0,170,0,38250,0,0.0,39939,0,0.0,39986,0,0.0,39987,0,0.0,39988,0,0.0,60617,99,0,156965,0,0
1667954620,2022-11-09 00:43:40 +0000,390deeca213dc77033625c9727e9139ac530f13c,NJ,34015,2,2022-11-09T01:00:00.000Z,FIPSCode,34015,0,2022-11-09T00:39:58.851Z,0,0.0,170,0,38250,0,0.0,39939,0,0.0,39986,0,0.0,39987,0,0.0,39988,0,0.0,60617,90,0,156965,0,0
1667956006,2022-11-09 01:06:46 +0000,01cc2f6d0039b2fcb59e03eced60e58dcb253844,NJ,34015,2,2022-11-09T01:00:00.000Z,FIPSCode,34015,0,2022-11-09T01:00:32.254Z,0,0.0,170,0,38250,0,0.0,39939,0,0.0,39986,0,0.0,39987,0,0.0,39988,0,0.0,60617,90,0,156965,0,0
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,NJ,34015,2,2022-11-09T01:00:00.000Z,FIPSCode,34015,0,2022-11-09T01:13:34.944Z,0,26.19,170,0,38250,11931,75.15,39939,3670,23.12,39987,151,0.95,39988,94,0.59,39986,31,0.2,60617,90,15877,156965,0,45
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,NJ,34015,2,2022-11-09T01:00:00.000Z,FIPSCode,34015,0,2022-11-09T01:19:33.171Z,0,35.79,170,0,38250,15552,71.68,39939,5755,26.53,39987,207,0.95,39988,138,0.64,39986,43,0.2,60617,90,21695,156965,0,61
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,NJ,34015,2,2022-11-09T01:00:00.000Z,FIPSCode,34015,0,2022-11-09T01:25:16.683Z,0,35.79,170,0,38250,15552,71.68,39939,5755,26.53,39987,207,0.95,39988,138,0.64,39986,43,0.2,60617,90,21695,156965,0,61
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,NJ,34015,2,2022-11-09T01:00:00.000Z,FIPSCode,34015,0,2022-11-09T01:29:32.673Z,0,36.56,170,0,38250,15861,71.57,39939,5901,26.63,39987,212,0.96,39988,142,0.64,39986,46,0.21,60617,90,22162,156965,0,62
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,NJ,34015,2,2022-11-09T01:00:00.000Z,FIPSCode,34015,0,2022-11-09T01:41:30.906Z,0,43.83,170,0,38250,17855,67.2,39939,8205,30.88,39987,277,1.04,39988,177,0.67,39986,57,0.21,60617,90,26571,156965,0,75
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,NJ,34015,2,2022-11-09T01:00:00.000Z,FIPSCode,34015,0,2022-11-09T01:44:32.675Z,0,51.22,170,0,38250,19856,63.95,39939,10571,34.05,39987,335,1.08,39988,216,0.7,39986,72,0.23,60617,90,31050,156965,0,87
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,NJ,34015,2,2022-11-09T01:00:00.000Z,FIPSCode,34015,0,2022-11-09T01:50:33.672Z,0,55.49,170,0,38250,21145,62.86,39939,11788,35.05,39987,379,1.13,39988,244,0.73,39986,80,0.24,60617,90,33636,156965,0,94
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,NJ,34015,2,2022-11-09T01:00:00.000Z,FIPSCode,34015,0,2022-11-09T01:50:33.672Z,0,55.49,170,0,38250,21145,62.86,39939,11788,35.05,39987,379,1.13,39988,244,0.73,39986,80,0.24,60617,90,33636,156965,0,94
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,NJ,34015,2,2022-11-09T01:00:00.000Z,FIPSCode,34015,0,2022-11-09T01:58:59.337Z,0,63.19,170,0,38250,23085,60.27,39939,14395,37.58,39987,443,1.16,39988,289,0.75,39986,93,0.24,60617,90,38305,156965,0,107
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,NJ,34015,2,2022-11-09T01:00:00.000Z,FIPSCode,34015,0,2022-11-09T02:01:33.323Z,0,73.57,170,0,38250,25763,57.77,39939,17861,40.05,39987,533,1.2,39988,330,0.74,39986,111,0.25,60617,90,44598,156965,0,125
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,NJ,34015,2,2022-11-09T01:00:00.000Z,FIPSCode,34015,0,2022-11-09T02:08:35.194Z,0,81.99,170,0,38250,28076,56.49,39939,20483,41.22,39987,633,1.27,39988,385,0.77,39986,120,0.24,60617,90,49697,156965,0,139
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,NJ,34015,2,2022-11-09T01:00:00.000Z,FIPSCode,34015,0,2022-11-09T02:14:33.032Z,0,90.0,170,0,38250,30488,55.41,39939,23278,42.31,39987,702,1.28,39988,423,0.77,39986,132,0.24,60617,90,55023,156965,0,153
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,NJ,34015,2,2022-11-09T01:00:00.000Z,FIPSCode,34015,0,2022-11-09T02:22:36.840Z,0,90.0,170,0,38250,33121,54.34,39939,26380,43.28,39987,807,1.32,39988,489,0.8,39986,154,0.25,60617,90,60951,156965,0,153
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,NJ,34015,2,2022-11-09T01:00:00.000Z,FIPSCode,34015,0,2022-11-09T02:30:44.265Z,0,90.0,170,0,38250,35354,53.07,39939,29693,44.57,39987,881,1.32,39988,524,0.79,39986,169,0.25,60617,90,66621,156965,0,153
