captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.39970.first,candidates.39970.last,candidates.39970.party,candidates.39970.candidateID,candidates.39970.polID,candidates.39970.ballotOrder,candidates.39970.polNum,candidates.39970.electWon,candidates.39971.first,candidates.39971.last,candidates.39971.party,candidates.39971.candidateID,candidates.39971.polID,candidates.39971.ballotOrder,candidates.39971.polNum,candidates.39971.electWon,candidates.40005.first,candidates.40005.last,candidates.40005.party,candidates.40005.candidateID,candidates.40005.polID,candidates.40005.ballotOrder,candidates.40005.polNum,candidates.40005.electWon,candidates.40006.first,candidates.40006.last,candidates.40006.party,candidates.40006.candidateID,candidates.40006.polID,candidates.40006.ballotOrder,candidates.40006.polNum,candidates.40006.electWon,candidates.40007.first,candidates.40007.last,candidates.40007.party,candidates.40007.candidateID,candidates.40007.polID,candidates.40007.ballotOrder,candidates.40007.polNum,candidates.40007.electWon,candidates.40008.first,candidates.40008.last,candidates.40008.abbrv,candidates.40008.party,candidates.40008.candidateID,candidates.40008.polID,candidates.40008.ballotOrder,candidates.40008.polNum,candidates.40008.electWon,candidates.40009.first,candidates.40009.last,candidates.40009.party,candidates.40009.candidateID,candidates.40009.polID,candidates.40009.ballotOrder,candidates.40009.polNum,candidates.40009.electWon,candidates.39971.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,NJ-20221108_Eday62,31,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 8,8,254901,99,0,838860,True,20221108NJ31215,2022-11-08,NJ,Marcos,Arroyo,GOP,39970,70458,2,35550,0,Robert,Menendez,Dem,39971,70461,1,35551,0,Pablo,Olivera,Ind,40005,62581,6,34546,0,Dan,Delaney,Ind,40006,65366,4,34942,0,David,Cook,Ind,40007,71527,3,35572,0,Joanne,Kuniansky,Kuninsky,Ind,40008,69787,5,35510,0,John,Salierno,Ind,40009,71528,7,35573,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,NJ-20221108_Eday80,31,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 8,8,144340,99,0,838860,True,20221108NJ31215,2022-11-08,NJ,Marcos,Arroyo,GOP,39970,70458,2,35550,0,Robert,Menendez,Dem,39971,70461,1,35551,0,Pablo,Olivera,Ind,40005,62581,6,34546,0,Dan,Delaney,Ind,40006,65366,4,34942,0,David,Cook,Ind,40007,71527,3,35572,0,Joanne,Kuniansky,Kuninsky,Ind,40008,69787,5,35510,0,John,Salierno,Ind,40009,71528,7,35573,0,,
1667954884,2022-11-09 00:48:04 +0000,8f544a76833fbb21dc3fbc0ce7b73e3714be8529,NJ-20221108_Eday80,31,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 8,8,144340,90,0,838860,True,20221108NJ31215,2022-11-08,NJ,Marcos,Arroyo,GOP,39970,70458,2,35550,0,Robert,Menendez,Dem,39971,70461,1,35551,0,Pablo,Olivera,Ind,40005,62581,6,34546,0,Dan,Delaney,Ind,40006,65366,4,34942,0,David,Cook,Ind,40007,71527,3,35572,0,Joanne,Kuniansky,Kuninsky,Ind,40008,69787,5,35510,0,John,Salierno,Ind,40009,71528,7,35573,0,,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,NJ-20221108_Eday80,31,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 8,8,144340,90,0,838860,True,20221108NJ31215,2022-11-08,NJ,Marcos,Arroyo,GOP,39970,70458,2,35550,0,Robert,Menendez,Dem,39971,70461,1,35551,0,Pablo,Olivera,Ind,40005,62581,6,34546,0,Dan,Delaney,Ind,40006,65366,4,34942,0,David,Cook,Ind,40007,71527,3,35572,0,Joanne,Kuniansky,Kuninsky,Ind,40008,69787,5,35510,0,John,Salierno,Ind,40009,71528,7,35573,0,,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,NJ-20221108_Eday80,31,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 8,8,144340,90,0,838860,True,20221108NJ31215,2022-11-08,NJ,Marcos,Arroyo,GOP,39970,70458,2,35550,0,Robert,Menendez,Dem,39971,70461,1,35551,0,Pablo,Olivera,Ind,40005,62581,6,34546,0,Dan,Delaney,Ind,40006,65366,4,34942,0,David,Cook,Ind,40007,71527,3,35572,0,Joanne,Kuniansky,Kuninsky,Ind,40008,69787,5,35510,0,John,Salierno,Ind,40009,71528,7,35573,0,,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,NJ-20221108_Eday80,31,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 8,8,144340,90,0,838860,True,20221108NJ31215,2022-11-08,NJ,Marcos,Arroyo,GOP,39970,70458,2,35550,0,Robert,Menendez,Dem,39971,70461,1,35551,0,Pablo,Olivera,Ind,40005,62581,6,34546,0,Dan,Delaney,Ind,40006,65366,4,34942,0,David,Cook,Ind,40007,71527,3,35572,0,Joanne,Kuniansky,Kuninsky,Ind,40008,69787,5,35510,0,John,Salierno,Ind,40009,71528,7,35573,0,,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 8,8,144340,90,567,838860,True,20221108NJ31215,2022-11-08,NJ,Marcos,Arroyo,GOP,39970,70458,2,35550,0,Robert,Menendez,Dem,39971,70461,1,35551,0,Pablo,Olivera,Ind,40005,62581,6,34546,0,Dan,Delaney,Ind,40006,65366,4,34942,0,David,Cook,Ind,40007,71527,3,35572,0,Joanne,Kuniansky,Kuninsky,Ind,40008,69787,5,35510,0,John,Salierno,Ind,40009,71528,7,35573,0,,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 8,8,144340,90,21120,838860,True,20221108NJ31215,2022-11-08,NJ,Marcos,Arroyo,GOP,39970,70458,2,35550,0,Robert,Menendez,Dem,39971,70461,1,35551,0,Pablo,Olivera,Ind,40005,62581,6,34546,0,Dan,Delaney,Ind,40006,65366,4,34942,0,David,Cook,Ind,40007,71527,3,35572,0,Joanne,Kuniansky,Kuninsky,Ind,40008,69787,5,35510,0,John,Salierno,Ind,40009,71528,7,35573,0,,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 8,8,144340,90,22112,838860,True,20221108NJ31215,2022-11-08,NJ,Marcos,Arroyo,GOP,39970,70458,2,35550,0,Robert,Menendez,Dem,39971,70461,1,35551,0,Pablo,Olivera,Ind,40005,62581,6,34546,0,Dan,Delaney,Ind,40006,65366,4,34942,0,David,Cook,Ind,40007,71527,3,35572,0,Joanne,Kuniansky,Kuninsky,Ind,40008,69787,5,35510,0,John,Salierno,Ind,40009,71528,7,35573,0,,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,NJ-20221108_Eday80,31,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 8,8,144340,90,23083,838860,True,20221108NJ31215,2022-11-08,NJ,Marcos,Arroyo,GOP,39970,70458,2,35550,0,Robert,Menendez,Dem,39971,70461,1,35551,0,Pablo,Olivera,Ind,40005,62581,6,34546,0,Dan,Delaney,Ind,40006,65366,4,34942,0,David,Cook,Ind,40007,71527,3,35572,0,Joanne,Kuniansky,Kuninsky,Ind,40008,69787,5,35510,0,John,Salierno,Ind,40009,71528,7,35573,0,,
