captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.1.colorIndex,candidates.0.winner,candidates.0.calledAt
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108NM33279,live,0.0,NM,New Mexico,32,1,2022-11-09T02:00:00.000Z,state,0,2022-11-07T21:17:54.202Z,0,650,0.0,38895,0,0.0,39226,0,0.0,197733,98,0,612091,0,0,,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108NM33279,live,0.0,NM,New Mexico,32,1,2022-11-09T02:00:00.000Z,state,0,2022-11-08T21:40:24.818Z,0,650,0.0,38895,0,0.0,39226,0,0.0,197733,98,0,612091,0,0,,,,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,20221108NM33279,live,0.0,NM,New Mexico,32,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:03:27.140Z,0,650,0.0,38895,0,0.0,39226,0,0.0,203881,98,0,612091,0,0,,,,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,20221108NM33279,live,3.22,NM,New Mexico,32,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:16:48.112Z,0,650,0.0,39226,5086,77.54,38895,1473,22.46,203881,98,6559,612091,0,21,0.0,,,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,20221108NM33279,live,3.22,NM,New Mexico,32,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:22:20.288Z,0,650,0.0,39226,5086,77.54,38895,1473,22.46,203881,98,6559,612091,0,21,0.0,,,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,20221108NM33279,live,6.72,NM,New Mexico,32,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:34:06.861Z,0,650,0.0,39226,9022,63.22,38895,5248,36.78,212226,98,14270,612091,0,44,0.0,1.0,,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,20221108NM33279,live,19.14,NM,New Mexico,32,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:39:32.097Z,0,650,0.0,39226,23798,58.59,38895,16821,41.41,212226,98,40619,612091,0,124,0.0,1.0,,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,20221108NM33279,live,19.15,NM,New Mexico,32,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:40:56.286Z,0,650,0.0,39226,23801,58.58,38895,16830,41.42,212226,98,40631,612091,0,124,0.0,1.0,,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,20221108NM33279,live,19.54,NM,New Mexico,32,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:47:46.365Z,0,650,0.0,39226,24096,58.12,38895,17364,41.88,212226,98,41460,612091,0,127,0.0,1.0,,
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,20221108NM33279,live,21.89,NM,New Mexico,32,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:51:23.915Z,3,650,0.46,39226,26268,56.55,38895,20181,43.45,212226,98,46449,612091,3,142,0.0,1.0,,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,20221108NM33279,live,37.03,NM,New Mexico,32,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T03:06:47.214Z,3,650,0.46,39226,46265,58.86,38895,32332,41.14,212226,98,78597,612091,3,241,0.0,1.0,,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,20221108NM33279,live,38.39,NM,New Mexico,32,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T03:11:59.749Z,3,650,0.46,39226,47474,58.27,38895,34000,41.73,212226,98,81474,612091,3,250,0.0,1.0,,
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,20221108NM33279,live,38.39,NM,New Mexico,32,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T03:14:08.326Z,3,650,0.46,39226,47474,58.27,38895,34000,41.73,212226,98,81474,612091,3,250,0.0,1.0,,
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,20221108NM33279,live,38.48,NM,New Mexico,32,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T03:18:52.473Z,3,650,0.46,39226,47537,58.21,38895,34125,41.79,212226,98,81662,612091,3,250,0.0,1.0,,
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,20221108NM33279,live,44.64,NM,New Mexico,32,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T03:24:28.253Z,3,650,0.46,39226,52665,55.59,38895,42076,44.41,212226,98,94741,612091,3,290,0.0,1.0,,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,20221108NM33279,live,45.43,NM,New Mexico,32,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T03:29:10.963Z,3,650,0.46,39226,53323,55.3,38895,43101,44.7,212226,98,96424,612091,3,295,0.0,1.0,,
1667965148,2022-11-09 03:39:08 +0000,6fdfe90630de6ba7d3077daaa37563b39e419cfc,20221108NM33279,live,47.63,NM,New Mexico,32,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T03:35:51.289Z,3,650,0.46,39226,55599,55.0,38895,45491,45.0,212226,98,101090,612091,3,310,0.0,1.0,,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,20221108NM33279,live,48.7,NM,New Mexico,32,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T03:42:08.548Z,3,650,0.46,39226,56835,55.0,38895,46509,45.0,212226,98,103344,612091,3,317,0.0,1.0,,
1667966001,2022-11-09 03:53:21 +0000,cee0a612753351ddb30fde2a157613da20f2be01,20221108NM33279,live,49.55,NM,New Mexico,32,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T03:50:28.931Z,3,650,0.46,39226,57696,54.86,38895,47468,45.14,212226,98,105164,612091,3,322,0.0,1.0,,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,20221108NM33279,live,54.8,NM,New Mexico,32,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T04:04:26.363Z,27,650,4.15,39226,62210,53.49,38895,54088,46.51,212226,98,116298,612091,27,356,0.0,1.0,,
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,20221108NM33279,live,55.94,NM,New Mexico,32,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T04:11:54.096Z,28,650,4.31,39226,63544,53.52,38895,55181,46.48,212226,98,118725,612091,28,364,0.0,1.0,,
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,20221108NM33279,live,56.38,NM,New Mexico,32,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T04:17:11.632Z,29,650,4.46,39226,63887,53.39,38895,55775,46.61,212226,98,119662,612091,29,366,0.0,1.0,,
1667967905,2022-11-08 22:25:05 -0600,7b53fc8cb8c53477e9f4fecf82fac92988ee5275,20221108NM33279,live,59.12,NM,New Mexico,32,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T04:23:08.627Z,23,650,3.54,39226,66479,52.98,38895,58998,47.02,212226,98,125477,612091,23,384,0.0,1.0,,
1667967954,2022-11-08 22:25:54 -0600,ddd8cd55583cb4e51013ac431e84d23dc8167e7a,20221108NM33279,live,59.12,NM,New Mexico,32,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T04:23:08.627Z,23,650,3.54,39226,66479,52.98,38895,58998,47.02,212226,98,125477,612091,23,384,0.0,1.0,,
1667968272,2022-11-08 22:31:12 -0600,97ef6c54bfa1c7ef6beea70c87aafe0c54251ad8,20221108NM33279,live,59.67,NM,New Mexico,32,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T04:30:36.575Z,23,650,3.54,39226,67015,52.92,38895,59615,47.08,212226,98,126630,612091,23,388,0.0,1.0,,
1667968361,2022-11-08 22:32:41 -0600,0b888fe41bc653990f05b2c6fe09da530560e7a3,20221108NM33279,live,59.67,NM,New Mexico,32,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T04:31:35.309Z,23,650,3.54,39226,67015,52.92,38895,59615,47.08,212226,98,126630,612091,23,388,0.0,1.0,,
1667968494,2022-11-08 22:34:54 -0600,cfbd241bb06919184c9a5ad42a24eb60bc59879a,20221108NM33279,live,59.67,NM,New Mexico,32,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T04:34:29.206Z,23,650,3.54,39226,67015,52.92,38895,59615,47.08,212226,98,126630,612091,23,388,0.0,1.0,,
1667968667,2022-11-08 22:37:47 -0600,a013d457c641e43c359ed7cf524810962213905d,20221108NM33279,live,59.67,NM,New Mexico,32,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T04:35:30.765Z,23,650,3.54,39226,67015,52.92,38895,59615,47.08,212226,98,126630,612091,23,388,0.0,1.0,,
1667968709,2022-11-08 22:38:29 -0600,a479186c1a21e09ae947de1863bf72d461e8b879,20221108NM33279,live,59.67,NM,New Mexico,32,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T04:37:28.662Z,23,650,3.54,39226,67015,52.92,38895,59615,47.08,212226,98,126630,612091,23,388,0.0,1.0,,
1667968844,2022-11-08 22:40:44 -0600,9af6e1ce44325ca43504ad5e0ccab8e9f14ef964,20221108NM33279,live,59.67,NM,New Mexico,32,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T04:39:11.682Z,23,650,3.54,39226,67015,52.92,38895,59615,47.08,212226,98,126630,612091,23,388,0.0,1.0,,
1667968885,2022-11-08 22:41:25 -0600,5c24a01105c8e263f0bd136533d71002afb61845,20221108NM33279,live,60.01,NM,New Mexico,32,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T04:39:48.373Z,23,650,3.54,39226,67318,52.86,38895,60033,47.14,212226,98,127351,612091,23,390,0.0,1.0,,
1667968931,2022-11-08 22:42:11 -0600,cca40a484cb23456c0df129e9bd1750068cb4880,20221108NM33279,live,62.92,NM,New Mexico,32,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T04:40:54.893Z,23,650,3.54,39226,70307,52.66,38895,63215,47.34,212226,98,133522,612091,23,409,0.0,1.0,,
1667969549,2022-11-08 22:52:29 -0600,d5fdf591369d5db6b2ad36681ee672e4aa744331,20221108NM33279,live,68.97,NM,New Mexico,32,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T04:51:13.138Z,63,650,9.69,39226,73636,50.31,38895,72741,49.69,212226,98,146377,612091,63,448,0.0,1.0,,
1667969636,2022-11-08 22:53:56 -0600,343edcc3a5440ed7e985b5b1b439acfe9dc3a7bb,20221108NM33279,live,68.97,NM,New Mexico,32,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T04:52:29.417Z,63,650,9.69,39226,73636,50.31,38895,72741,49.69,212226,98,146377,612091,63,448,0.0,1.0,,
1667969855,2022-11-08 22:57:35 -0600,8c3f41d4804fda622cab89f365a05518b70e5a91,20221108NM33279,live,68.97,NM,New Mexico,32,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T04:56:32.907Z,63,650,9.69,39226,73636,50.31,38895,72741,49.69,212226,98,146377,612091,63,448,0.0,1.0,,
1667969942,2022-11-08 22:59:02 -0600,302c96144aa0d22b0603db04cac0928c1e8a79f9,20221108NM33279,live,70.51,NM,New Mexico,32,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T04:58:28.607Z,63,650,9.69,39226,75253,50.29,38895,74381,49.71,212226,98,149634,612091,63,458,0.0,1.0,,
1667970027,2022-11-08 23:00:27 -0600,0d3c5c12e1d5e510cd8a9d7ec7188e7376d3702a,20221108NM33279,live,71.87,NM,New Mexico,32,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T04:59:27.371Z,63,650,9.69,39226,76784,50.34,38895,75749,49.66,212226,98,152533,612091,63,467,0.0,1.0,,
1667970284,2022-11-08 23:04:44 -0600,0fc8b3fccaefe74cf333b488517dd0339b8dd0b7,20221108NM33279,live,76.37,NM,New Mexico,32,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T05:03:53.412Z,90,650,13.85,39226,81732,50.43,38895,80342,49.57,212226,98,162074,612091,90,496,0.0,1.0,,
1667970373,2022-11-08 23:06:13 -0600,3ea973c74a9585b2e944f9dd59e390b2b951b2cd,20221108NM33279,live,76.84,NM,New Mexico,32,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T05:04:51.096Z,90,650,13.85,39226,81732,50.43,38895,80342,49.57,210937,98,162074,612091,90,499,0.0,1.0,,
1667970461,2022-11-08 23:07:41 -0600,7d669d180641a9a00e537201f92d2f70ea120169,20221108NM33279,live,79.37,NM,New Mexico,32,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T05:07:00.313Z,90,650,13.85,39226,81732,50.43,38895,80342,49.57,204211,98,162074,612091,90,516,0.0,1.0,,
1667970899,2022-11-08 23:14:59 -0600,ca5b649b3885623b3ef37439107a0fa8db2d1846,20221108NM33279,live,84.12,NM,New Mexico,32,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T05:11:49.361Z,104,650,16.0,38895,86327,50.26,39226,85446,49.74,204211,98,171773,612091,104,547,1.0,0.0,,
1667970985,2022-11-08 23:16:25 -0600,458b8c029ed943a1966fd047ace4d102323e3185,20221108NM33279,live,85.17,NM,New Mexico,32,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T05:14:08.679Z,104,650,16.0,38895,87084,50.07,39226,86848,49.93,204211,98,173932,612091,104,554,1.0,0.0,,
1667971395,2022-11-08 23:23:15 -0600,d97519c7c3720d6e80913290b35064b53dd231cc,20221108NM33279,live,86.26,NM,New Mexico,32,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T05:22:16.469Z,104,650,16.0,38895,88161,50.05,39226,87993,49.95,204211,98,176154,612091,104,561,1.0,0.0,,
