captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.1.colorIndex,candidates.0.winner,candidates.0.calledAt
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108NV30992,live,0.0,NV,Nevada,29,1,2022-11-09T02:00:00.000Z,state,0,2022-11-07T03:15:34.318Z,0,411,0.0,36899,0,0.0,37685,0,0.0,205124,99,0,831615,0,0,,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108NV30992,live,0.0,NV,Nevada,29,1,2022-11-09T03:00:00.000Z,state,0,2022-11-08T20:32:55.275Z,0,411,0.0,36899,0,0.0,37685,0,0.0,281501,99,0,831615,0,0,,,,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,20221108NV30992,live,0.0,NV,Nevada,29,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T03:30:14.047Z,0,411,0.0,36899,0,0.0,37685,0,0.0,281501,99,0,831615,0,0,,,,
1667972541,2022-11-08 23:42:21 -0600,d38f954f3e6be3d250d58a04e08655875ea7700c,20221108NV30992,live,0.65,NV,Nevada,29,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T05:41:07.072Z,0,411,0.0,37685,1177,63.9,36899,665,36.1,281501,99,1842,831615,0,3,0.0,,,
1667973248,2022-11-08 23:54:08 -0600,fb954f3a0e354e923f1bd778e51927737d2c1332,20221108NV30992,live,47.13,NV,Nevada,29,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T05:52:28.681Z,0,411,0.0,36899,76178,57.42,37685,56496,42.58,281501,99,132674,831615,0,194,1.0,0.0,,
1667973466,2022-11-08 23:57:46 -0600,99efdc0f1ed1d3ebdb4c01c2b3affc8219305bc0,20221108NV30992,live,47.13,NV,Nevada,29,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T05:56:34.644Z,0,411,0.0,36899,76178,57.42,37685,56496,42.58,281501,99,132674,831615,0,194,1.0,0.0,,
1667973555,2022-11-08 23:59:15 -0600,574ef20eb007a0ff55ecd54e4003b61f517e06b5,20221108NV30992,live,47.13,NV,Nevada,29,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T05:58:32.107Z,0,411,0.0,36899,76178,57.42,37685,56496,42.58,281501,99,132674,831615,0,194,1.0,0.0,,
1667973648,2022-11-09 00:00:48 -0600,56d1333c268e0ca83267f304bc7ebda9b0c770b6,20221108NV30992,live,47.28,NV,Nevada,29,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T06:00:09.289Z,0,411,0.0,36899,76248,57.28,37685,56858,42.72,281501,99,133106,831615,0,194,1.0,0.0,,
1667973737,2022-11-09 00:02:17 -0600,f7940d04f83247dd0cbf585d2d4f25b8c66e477d,20221108NV30992,live,45.31,NV,Nevada,29,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T06:01:23.338Z,0,411,0.0,36899,76248,57.28,37685,56858,42.72,293765,99,133106,831615,0,186,1.0,0.0,,
1667973835,2022-11-09 00:03:55 -0600,b3bdd8a625be8657c0e5a46d72158acdcfd366d2,20221108NV30992,live,45.31,NV,Nevada,29,1,2022-11-09T03:00:00.000Z,state,0,2022-11-09T06:02:46.169Z,0,411,0.0,36899,76248,57.28,37685,56858,42.72,293765,99,133106,831615,0,186,1.0,0.0,,
