captureTimestamp,captureDateTime,captureRevision,statePostal,reportingunitID,reportingunitLevel,pollClosingTime,level,fipsCode,electTotal,lastUpdated,precinctsReporting,eevp,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,candidates.2.candidateID,candidates.2.voteCount,candidates.2.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,NY,36005,2,2022-11-09T01:00:00.000Z,FIPSCode,36005,0,2022-11-07T17:11:54.981Z,0,0.0,245,0.0,81916,0,0.0,86448,0,0.0,86746,0,0.0,107758,99,0,234619,0,0
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,NY,36005,2,2022-11-09T02:00:00.000Z,FIPSCode,36005,0,2022-11-08T19:52:50.263Z,0,0.0,245,0.0,81916,0,0.0,86448,0,0.0,86746,0,0.0,107758,99,0,234619,0,0
1667946645,2022-11-08 22:30:45 +0000,b4a2d52dc2885174b04713e13bf7fbb8eadd5f83,NY,36005,2,2022-11-09T02:00:00.000Z,FIPSCode,36005,0,2022-11-08T22:27:05.089Z,0,0.0,245,0.0,81916,0,0.0,86448,0,0.0,86746,0,0.0,107758,99,0,234619,0,0
1667947162,2022-11-08 22:39:22 +0000,f4d4d4ee9c0c708eecc555d85fad1ae05b59ac98,NY,36005,2,2022-11-09T02:00:00.000Z,FIPSCode,36005,0,2022-11-08T22:36:29.257Z,0,0.0,245,0.0,81916,0,0.0,86448,0,0.0,86746,0,0.0,107758,99,0,234619,0,0
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,NY,36005,2,2022-11-09T02:00:00.000Z,FIPSCode,36005,0,2022-11-09T02:05:41.563Z,79,17.53,245,32.24,81916,14526,76.91,86448,4041,21.4,86746,319,1.69,107758,99,18886,234619,79,43
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,NY,36005,2,2022-11-09T02:00:00.000Z,FIPSCode,36005,0,2022-11-09T02:10:42.167Z,158,20.04,245,64.49,81916,16559,76.68,86448,4683,21.69,86746,352,1.63,107758,99,21594,234619,158,49
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,NY,36005,2,2022-11-09T02:00:00.000Z,FIPSCode,36005,0,2022-11-09T02:10:42.167Z,158,20.04,245,64.49,81916,16559,76.68,86448,4683,21.69,86746,352,1.63,107758,99,21594,234619,158,49
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,NY,36005,2,2022-11-09T02:00:00.000Z,FIPSCode,36005,0,2022-11-09T02:15:46.569Z,218,27.9,245,88.98,81916,22307,74.19,86448,7252,24.12,86746,508,1.69,107758,99,30067,234619,218,68
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,NY,36005,2,2022-11-09T02:00:00.000Z,FIPSCode,36005,0,2022-11-09T02:22:11.704Z,187,32.28,245,76.33,81916,25868,74.38,86448,8336,23.97,86746,575,1.65,107758,99,34779,234619,187,79
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,NY,36005,2,2022-11-09T02:00:00.000Z,FIPSCode,36005,0,2022-11-09T02:27:12.129Z,187,38.19,245,76.33,81916,30600,74.35,86448,9887,24.02,86746,668,1.62,107758,99,41155,234619,187,94
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,NY,36005,2,2022-11-09T02:00:00.000Z,FIPSCode,36005,0,2022-11-09T02:30:49.915Z,188,41.69,245,76.73,81916,33359,74.25,86448,10840,24.13,86746,727,1.62,107758,99,44926,234619,188,102
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,NY,36005,2,2022-11-09T02:00:00.000Z,FIPSCode,36005,0,2022-11-09T02:36:11.905Z,188,46.26,245,76.73,81916,36065,72.34,86448,12972,26.02,86746,817,1.64,107758,99,49854,234619,188,113
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,NY,36005,2,2022-11-09T02:00:00.000Z,FIPSCode,36005,0,2022-11-09T02:41:11.130Z,188,50.82,245,76.73,81916,39572,72.25,86448,14316,26.14,86746,880,1.61,107758,99,54768,234619,188,125
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,NY,36005,2,2022-11-09T02:00:00.000Z,FIPSCode,36005,0,2022-11-09T02:48:11.116Z,188,52.32,245,76.73,81916,40608,72.02,86448,14853,26.34,86746,920,1.63,107758,99,56381,234619,188,128
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,NY,36005,2,2022-11-09T02:00:00.000Z,FIPSCode,36005,0,2022-11-09T02:52:11.306Z,188,53.1,245,76.73,81916,41144,71.9,86448,15135,26.45,86746,943,1.65,107758,99,57222,234619,188,130
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,NY,36005,2,2022-11-09T02:00:00.000Z,FIPSCode,36005,0,2022-11-09T02:55:41.300Z,188,53.69,245,76.73,81916,41661,72.01,86448,15243,26.35,86746,954,1.65,107758,99,57858,234619,188,132
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,NY,36005,2,2022-11-09T02:00:00.000Z,FIPSCode,36005,0,2022-11-09T02:59:11.496Z,188,53.69,245,76.73,81916,41661,72.01,86448,15243,26.35,86746,954,1.65,107758,99,57858,234619,188,132
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,NY,36005,2,2022-11-09T02:00:00.000Z,FIPSCode,36005,0,2022-11-09T02:59:11.496Z,188,53.69,245,76.73,81916,41661,72.01,86448,15243,26.35,86746,954,1.65,107758,99,57858,234619,188,132
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,NY,36005,2,2022-11-09T02:00:00.000Z,FIPSCode,36005,0,2022-11-09T03:05:48.459Z,188,54.22,245,76.73,81916,42113,72.07,86448,15350,26.27,86746,967,1.65,107758,99,58430,234619,188,133
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,NY,36005,2,2022-11-09T02:00:00.000Z,FIPSCode,36005,0,2022-11-09T03:14:11.521Z,188,54.22,245,76.73,81916,42113,72.07,86448,15350,26.27,86746,967,1.65,107758,99,58430,234619,188,133
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,NY,36005,2,2022-11-09T02:00:00.000Z,FIPSCode,36005,0,2022-11-09T03:14:11.521Z,188,54.22,245,76.73,81916,42113,72.07,86448,15350,26.27,86746,967,1.65,107758,99,58430,234619,188,133
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,NY,36005,2,2022-11-09T02:00:00.000Z,FIPSCode,36005,0,2022-11-09T03:25:46.948Z,188,54.75,245,76.73,81916,42595,72.19,86448,15432,26.16,86746,973,1.65,107758,99,59000,234619,188,134
1667965148,2022-11-09 03:39:08 +0000,6fdfe90630de6ba7d3077daaa37563b39e419cfc,NY,36005,2,2022-11-09T02:00:00.000Z,FIPSCode,36005,0,2022-11-09T03:35:38.873Z,188,54.99,245,76.73,81916,42807,72.23,86448,15477,26.12,86746,977,1.65,107758,99,59261,234619,188,135
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,NY,36005,2,2022-11-09T02:00:00.000Z,FIPSCode,36005,0,2022-11-09T03:45:43.542Z,188,55.25,245,76.73,81916,43027,72.27,86448,15533,26.09,86746,979,1.64,107758,99,59539,234619,188,135
