captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.86394.first,candidates.86394.last,candidates.86394.party,candidates.86394.candidateID,candidates.86394.ballotOrder,candidates.86394.polID,candidates.86394.polNum,candidates.86394.electWon,candidates.86395.first,candidates.86395.last,candidates.86395.party,candidates.86395.candidateID,candidates.86395.ballotOrder,candidates.86395.polID,candidates.86395.polNum,candidates.86395.electWon,candidates.86395.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,NY-20221108_Eday62,33,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 19,19,292114,99,0,1074131,True,20221108NY36599,2022-11-08,NY,Josh,Riley,Dem,86394,1,71456,55594,0.0,Marcus,Molinaro,GOP,86395,2,67747,54605,0.0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,NY-20221108_Eday80,33,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 19,19,292114,99,0,1078757,True,20221108NY36599,2022-11-08,NY,Josh,Riley,Dem,86394,1,71456,55594,0.0,Marcus,Molinaro,GOP,86395,2,67747,54605,0.0,,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 19,19,292114,99,19725,1078757,True,20221108NY36599,2022-11-08,NY,Josh,Riley,Dem,86394,1,71456,55594,0.0,Marcus,Molinaro,GOP,86395,2,67747,54605,0.0,,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 19,19,292114,99,22808,1078757,True,20221108NY36599,2022-11-08,NY,Josh,Riley,Dem,86394,1,71456,55594,0.0,Marcus,Molinaro,GOP,86395,2,67747,54605,0.0,,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 19,19,292114,99,29406,1078757,True,20221108NY36599,2022-11-08,NY,Josh,Riley,Dem,86394,1,71456,55594,0.0,Marcus,Molinaro,GOP,86395,2,67747,54605,0.0,,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 19,19,292114,99,56825,1078757,True,20221108NY36599,2022-11-08,NY,Josh,Riley,Dem,86394,1,71456,55594,0.0,Marcus,Molinaro,GOP,86395,2,67747,54605,0.0,,
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 19,19,292114,99,87214,1078757,True,20221108NY36599,2022-11-08,NY,Josh,Riley,Dem,86394,1,71456,55594,0.0,Marcus,Molinaro,GOP,86395,2,67747,54605,0.0,,
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 19,19,292114,99,100616,1078757,True,20221108NY36599,2022-11-08,NY,Josh,Riley,Dem,86394,1,71456,55594,0.0,Marcus,Molinaro,GOP,86395,2,67747,54605,0.0,,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 19,19,292114,99,107697,1078757,True,20221108NY36599,2022-11-08,NY,Josh,Riley,Dem,86394,1,71456,55594,0.0,Marcus,Molinaro,GOP,86395,2,67747,54605,0.0,,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 19,19,293167,99,174858,1078757,True,20221108NY36599,2022-11-08,NY,Josh,Riley,Dem,86394,1,71456,55594,0.0,Marcus,Molinaro,GOP,86395,2,67747,54605,0.0,,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 19,19,293167,99,236212,1078757,True,20221108NY36599,2022-11-08,NY,Josh,Riley,Dem,86394,1,71456,55594,0.0,Marcus,Molinaro,GOP,86395,2,67747,54605,0.0,,
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 19,19,296953,99,253928,1078757,True,20221108NY36599,2022-11-08,NY,Josh,Riley,Dem,86394,1,71456,55594,0.0,Marcus,Molinaro,GOP,86395,2,67747,54605,0.0,,
1667968092,2022-11-08 22:28:12 -0600,c3a7bcfa6d57d19e0339cd5eff437c13c5a7dec5,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 19,19,296953,99,274612,1078757,True,20221108NY36599,2022-11-08,NY,Josh,Riley,Dem,86394,1,71456,55594,0.0,Marcus,Molinaro,GOP,86395,2,67747,54605,0.0,,
1667968931,2022-11-08 22:42:11 -0600,cca40a484cb23456c0df129e9bd1750068cb4880,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 19,19,291965,99,275945,1078757,True,20221108NY36599,2022-11-08,NY,Josh,Riley,Dem,86394,1,71456,55594,0.0,Marcus,Molinaro,GOP,86395,2,67747,54605,0.0,,
1667970637,2022-11-08 23:10:37 -0600,879713b6aae904f8cc55b1a8c3ce99346dd39ab3,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 19,19,291965,99,277386,1078757,True,20221108NY36599,2022-11-08,NY,Josh,Riley,Dem,86394,1,71456,55594,0.0,Marcus,Molinaro,GOP,86395,2,67747,54605,0.0,,
1667971482,2022-11-08 23:24:42 -0600,23c628a73988ac759f27061cca400c61ae3577c8,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 19,19,291965,99,279121,1078757,True,20221108NY36599,2022-11-08,NY,Josh,Riley,Dem,86394,1,71456,55594,0.0,Marcus,Molinaro,GOP,86395,2,67747,54605,0.0,,
1668007915,2022-11-09 09:31:55 -0600,66d69f6e59cdec8d3615269e3b8c0caff18823ab,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 19,19,291965,99,279134,1078757,True,20221108NY36599,2022-11-08,NY,Josh,Riley,Dem,86394,1,71456,55594,0.0,Marcus,Molinaro,GOP,86395,2,67747,54605,0.0,,
1668013894,2022-11-09 11:11:34 -0600,5a34255d3aefd2368129ef77fd2acdcf370b5145,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 19,19,291965,99,279134,1078757,True,20221108NY36599,2022-11-08,NY,Josh,Riley,Dem,86394,1,71456,55594,0.0,Marcus,Molinaro,GOP,86395,2,67747,54605,0.0,2022-11-09T17:08:29.189Z,
1668014726,2022-11-09 11:25:26 -0600,a32677c4e760138ae75c3352c8387e02c07ff2e9,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 19,19,292480,99,279134,1078757,True,20221108NY36599,2022-11-08,NY,Josh,Riley,Dem,86394,1,71456,55594,0.0,Marcus,Molinaro,GOP,86395,2,67747,54605,0.0,2022-11-09T17:08:29.189Z,
1668014768,2022-11-09 11:26:08 -0600,9ffc273adbb3a83519417aa9a3840515f35f0e97,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 19,19,291965,99,279134,1078757,True,20221108NY36599,2022-11-08,NY,Josh,Riley,Dem,86394,1,71456,55594,0.0,Marcus,Molinaro,GOP,86395,2,67747,54605,0.0,2022-11-09T17:08:29.189Z,
