captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.1.colorIndex,candidates.0.winner,candidates.0.calledAt
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108NY39859,live,0.0,NY,New York,33,1,2022-11-09T01:00:00.000Z,state,0,2022-11-07T17:08:43.398Z,0,705,0.0,77081,0,0.0,86427,0,0.0,260488,99,0,1164197,0,0,,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108NY39859,live,0.0,NY,New York,33,1,2022-11-09T02:00:00.000Z,state,0,2022-11-08T19:52:52.777Z,0,722,0.0,77081,0,0.0,86427,0,0.0,260488,99,0,1099444,0,0,,,,
1667946645,2022-11-08 22:30:45 +0000,b4a2d52dc2885174b04713e13bf7fbb8eadd5f83,20221108NY39859,live,0.0,NY,New York,33,1,2022-11-09T02:00:00.000Z,state,0,2022-11-08T22:27:05.564Z,0,722,0.0,77081,0,0.0,86427,0,0.0,260488,99,0,1099444,0,0,,,,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,20221108NY39859,live,0.0,NY,New York,33,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:14:53.638Z,0,722,0.0,77081,0,0.0,86427,0,0.0,260488,99,0,1099444,0,0,,,,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,20221108NY39859,live,3.33,NY,New York,33,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:19:40.143Z,0,722,0.0,77081,5414,62.37,86427,3266,37.63,260488,99,8680,1099444,0,24,0.0,,,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,20221108NY39859,live,6.19,NY,New York,33,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:37:36.071Z,21,722,2.91,77081,8770,54.36,86427,7362,45.64,260488,99,16132,1099444,21,39,0.0,,,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,20221108NY39859,live,42.43,NY,New York,33,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:43:22.817Z,165,722,22.85,77081,72783,65.85,86427,37746,34.15,260488,99,110529,1099444,165,306,0.0,,,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,20221108NY39859,live,52.65,NY,New York,33,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T03:02:50.878Z,245,722,33.93,77081,84730,61.78,86427,52420,38.22,260488,99,137150,1099444,245,364,0.0,1.0,,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,20221108NY39859,live,54.39,NY,New York,33,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T03:10:55.710Z,263,722,36.43,77081,86897,61.33,86427,54791,38.67,260488,99,141688,1099444,263,375,0.0,1.0,,
1667965148,2022-11-09 03:39:08 +0000,6fdfe90630de6ba7d3077daaa37563b39e419cfc,20221108NY39859,live,55.97,NY,New York,33,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T03:32:54.697Z,268,722,37.12,77081,88400,60.63,86427,57396,39.37,260488,99,145796,1099444,268,385,0.0,1.0,,
