captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.1.colorIndex,candidates.0.winner,candidates.0.calledAt
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108NY40470,live,0.0,NY,New York,33,1,2022-11-09T01:00:00.000Z,state,0,2022-11-07T17:09:05.013Z,0,14283,0.0,87227,0,0.0,87228,0,0.0,6822438,99,0,12359054,0,0,,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108NY40470,live,0.0,NY,New York,33,1,2022-11-09T02:00:00.000Z,state,0,2022-11-08T19:53:05.944Z,0,14244,0.0,87227,0,0.0,87228,0,0.0,6800000,99,0,10200000,0,0,,,,
1667946645,2022-11-08 22:30:45 +0000,b4a2d52dc2885174b04713e13bf7fbb8eadd5f83,20221108NY40470,live,0.0,NY,New York,33,1,2022-11-09T02:00:00.000Z,state,0,2022-11-08T22:27:13.772Z,0,14244,0.0,87227,0,0.0,87228,0,0.0,6800000,99,0,10200000,0,0,,,,
1667947162,2022-11-08 22:39:22 +0000,f4d4d4ee9c0c708eecc555d85fad1ae05b59ac98,20221108NY40470,live,0.0,NY,New York,33,1,2022-11-09T02:00:00.000Z,state,0,2022-11-08T22:37:30.193Z,0,14244,0.0,87227,0,0.0,87228,0,0.0,6800000,99,0,10200000,0,0,,,,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,20221108NY40470,live,6.82,NY,New York,33,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:06:16.863Z,626,14244,4.39,87227,384024,82.85,87228,79469,17.15,6800000,99,463493,10200000,626,971,0.0,,,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,20221108NY40470,live,7.16,NY,New York,33,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:10:43.257Z,1565,14244,10.99,87227,401685,82.47,87228,85407,17.53,6800000,99,487092,10200000,1565,1020,0.0,,,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,20221108NY40470,live,7.31,NY,New York,33,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:13:14.692Z,2586,14244,18.16,87227,409548,82.37,87228,87652,17.63,6800000,99,497200,10200000,2586,1041,0.0,,,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,20221108NY40470,live,8.88,NY,New York,33,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:19:53.457Z,3318,14244,23.29,87227,488730,80.93,87228,115196,19.07,6800000,99,603926,10200000,3318,1265,0.0,,,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,20221108NY40470,live,9.97,NY,New York,33,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:21:18.105Z,3730,14244,26.19,87227,545669,80.48,87228,132344,19.52,6800000,99,678013,10200000,3730,1420,0.0,,,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,20221108NY40470,live,10.98,NY,New York,33,1,2022-11-09T02:00:00.000Z,state,0,2022-11-09T02:26:16.809Z,3847,14244,27.01,87227,599362,80.27,87228,147284,19.73,6800000,99,746646,10200000,3847,1564,0.0,,,
