captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.47429.first,candidates.47429.last,candidates.47429.party,candidates.47429.candidateID,candidates.47429.polID,candidates.47429.ballotOrder,candidates.47429.polNum,candidates.47429.electWon,candidates.47430.first,candidates.47430.last,candidates.47430.abbrv,candidates.47430.party,candidates.47430.candidateID,candidates.47430.polID,candidates.47430.ballotOrder,candidates.47430.polNum,candidates.47430.electWon,candidates.47429.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,OH-20221108_Eday62,36,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 13,13,315313,99,0,1015509,True,20221108OH36039,2022-11-08,OH,Emilia,Sykes,Dem,47429,70115,1,41518,0,Madison,Gesiotto Gilbert,GsttGlb,GOP,47430,70149,2,42462,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,OH-20221108_Eday80,36,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 13,13,306713,99,0,1015509,True,20221108OH36039,2022-11-08,OH,Emilia,Sykes,Dem,47429,70115,1,41518,0,Madison,Gesiotto Gilbert,GsttGlb,GOP,47430,70149,2,42462,0,
1667954620,2022-11-09 00:43:40 +0000,390deeca213dc77033625c9727e9139ac530f13c,OH-20221108_Eday80,36,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,306713,99,26821,1015509,True,20221108OH36039,2022-11-08,OH,Emilia,Sykes,Dem,47429,70115,1,41518,0,Madison,Gesiotto Gilbert,GsttGlb,GOP,47430,70149,2,42462,0,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,OH-20221108_Eday80,36,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,306713,99,27104,1015509,True,20221108OH36039,2022-11-08,OH,Emilia,Sykes,Dem,47429,70115,1,41518,0,Madison,Gesiotto Gilbert,GsttGlb,GOP,47430,70149,2,42462,0,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,OH-20221108_Eday80,36,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,306713,99,88566,1015509,True,20221108OH36039,2022-11-08,OH,Emilia,Sykes,Dem,47429,70115,1,41518,0,Madison,Gesiotto Gilbert,GsttGlb,GOP,47430,70149,2,42462,0,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,OH-20221108_Eday80,36,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,306713,99,93669,1015509,True,20221108OH36039,2022-11-08,OH,Emilia,Sykes,Dem,47429,70115,1,41518,0,Madison,Gesiotto Gilbert,GsttGlb,GOP,47430,70149,2,42462,0,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,OH-20221108_Eday80,36,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,306713,99,93707,1015509,True,20221108OH36039,2022-11-08,OH,Emilia,Sykes,Dem,47429,70115,1,41518,0,Madison,Gesiotto Gilbert,GsttGlb,GOP,47430,70149,2,42462,0,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,OH-20221108_Eday80,36,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,306713,99,102152,1015509,True,20221108OH36039,2022-11-08,OH,Emilia,Sykes,Dem,47429,70115,1,41518,0,Madison,Gesiotto Gilbert,GsttGlb,GOP,47430,70149,2,42462,0,
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,OH-20221108_Eday80,36,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,306713,99,113374,1015509,True,20221108OH36039,2022-11-08,OH,Emilia,Sykes,Dem,47429,70115,1,41518,0,Madison,Gesiotto Gilbert,GsttGlb,GOP,47430,70149,2,42462,0,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,OH-20221108_Eday80,36,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 13,13,306713,99,141219,1015509,True,20221108OH36039,2022-11-08,OH,Emilia,Sykes,Dem,47429,70115,1,41518,0,Madison,Gesiotto Gilbert,GsttGlb,GOP,47430,70149,2,42462,0,
