captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.1.colorIndex,candidates.0.winner,candidates.0.calledAt
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108OH36043,live,0.0,OH,Ohio,36,1,2022-11-08T23:30:00.000Z,state,0,2022-11-07T03:19:17.446Z,0,513,0.0,47433,0,0.0,47432,0,0.0,274859,99,0,864192,0,0,,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108OH36043,live,0.0,OH,Ohio,36,1,2022-11-09T00:30:00.000Z,state,0,2022-11-08T19:56:30.502Z,0,513,0.0,47433,0,0.0,47432,0,0.0,267362,99,0,864192,0,0,,,,
1667946382,2022-11-08 22:26:22 +0000,73f2c650f342d3057cfca8879805e19e5c627823,20221108OH36043,live,0.0,OH,Ohio,36,1,2022-11-09T00:30:00.000Z,state,0,2022-11-08T22:23:30.672Z,0,513,0.0,47433,0,0.0,47432,0,0.0,267362,99,0,864192,0,0,,,,
1667946903,2022-11-08 22:35:03 +0000,cb1028268673c8c2a42a51ee33da39f10a4ad1c1,20221108OH36043,live,0.0,OH,Ohio,36,1,2022-11-09T00:30:00.000Z,state,0,2022-11-08T22:31:25.245Z,0,513,0.0,47433,0,0.0,47432,0,0.0,267362,99,0,864192,0,0,,,,
1667954061,2022-11-09 00:34:21 +0000,f42b15f4268586407ce223466d2394d526a81df4,20221108OH36043,live,0.0,OH,Ohio,36,1,2022-11-09T00:30:00.000Z,state,0,2022-11-09T00:31:59.910Z,0,513,0.0,47433,0,0.0,47432,0,0.0,267362,99,0,864192,0,0,,,,
1667954620,2022-11-09 00:43:40 +0000,390deeca213dc77033625c9727e9139ac530f13c,20221108OH36043,live,19.19,OH,Ohio,36,1,2022-11-09T00:30:00.000Z,state,0,2022-11-09T00:41:04.127Z,0,513,0.0,47433,31095,60.6,47432,20218,39.4,267362,99,51313,864192,0,98,0.0,1.0,,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,20221108OH36043,live,23.88,OH,Ohio,36,1,2022-11-09T00:30:00.000Z,state,0,2022-11-09T01:28:42.779Z,3,513,0.58,47433,35318,55.32,47432,28528,44.68,267362,99,63846,864192,3,123,0.0,1.0,,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,20221108OH36043,live,23.88,OH,Ohio,36,1,2022-11-09T00:30:00.000Z,state,0,2022-11-09T01:29:21.312Z,3,513,0.58,47433,35318,55.32,47432,28528,44.68,267362,99,63846,864192,3,123,0.0,1.0,,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,20221108OH36043,live,23.88,OH,Ohio,36,1,2022-11-09T00:30:00.000Z,state,0,2022-11-09T01:46:31.845Z,4,513,0.78,47433,35318,55.32,47432,28528,44.68,267362,99,63846,864192,4,123,0.0,1.0,,
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,20221108OH36043,live,24.2,OH,Ohio,36,1,2022-11-09T00:30:00.000Z,state,0,2022-11-09T01:47:35.985Z,30,513,5.85,47433,35790,55.33,47432,28899,44.67,267362,99,64689,864192,30,124,0.0,1.0,,
